fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
2023-12-31,2024-01-30,,-0.27,,,4
2023-09-30,2023-11-02,0.09,0.08,0.01,12.5,3
2023-06-30,2023-08-02,4.35,3.73,0.62,16.622,2
2023-03-31,2023-05-03,3.04,2.3,0.74,32.1739,1
2022-12-31,2023-02-01,3.17,0.69,2.48,359.4203,4
2022-09-30,2022-11-02,-0.38,-0.4,0.02,5.0,3
2022-06-30,2022-08-03,0.62,0.92,-0.3,-32.6087,2
2022-03-31,2022-05-04,-0.12,-0.07,-0.05,-71.4286,1
2021-12-31,2022-02-02,1.18,1.17,0.01,0.8547,4
2021-09-30,2021-10-27,0.66,0.64,0.02,3.125,3
2021-06-30,2021-07-28,3.46,2.84,0.62,21.831,2
2021-03-31,2021-05-04,-3.58,-3.1,-0.48,-15.4839,1
2020-12-31,2021-02-03,-1.12,-2.31,1.19,51.5152,4
2020-09-30,2020-10-28,-4.28,-5.14,0.86,16.7315,3
2020-06-30,2020-07-29,-5.96,-5.01,-0.95,-18.9621,2
2020-03-31,2020-05-12,2.05,0.53,1.52,286.7925,1
2019-12-31,2020-01-29,3.72,3.87,-0.15,-3.876,4
2019-09-30,2019-10-24,2.7,2.18,0.52,23.8532,3
2019-06-30,2019-07-24,4.33,4.61,-0.28,-6.0738,2
2019-03-31,2019-04-24,3.74,3.88,-0.14,-3.6082,1
2018-12-31,2019-01-30,2.56,2.47,0.09,3.6437,4
2018-09-30,2018-10-24,0.94,0.96,-0.02,-2.0833,3
2018-06-30,2018-07-25,3.1,2.71,0.39,14.3911,2
2018-03-31,2018-04-25,3.42,3.01,0.41,13.6213,1
2017-12-31,2018-01-31,2.71,1.66,1.05,63.253,4
2017-09-30,2017-10-25,1.39,1.32,0.07,5.303,3
2017-06-30,2017-07-26,2.94,2.96,-0.02,-0.6757,2
2017-03-31,2017-04-25,2.5,2.55,-0.05,-1.9608,1
2016-12-31,2017-01-31,2.48,2.4,0.08,3.3333,4
2016-09-30,2016-10-26,2.75,2.66,0.09,3.3835,3
2016-06-30,2016-07-29,3.68,3.55,0.13,3.662,2
2016-03-31,2016-04-27,4.29,4.28,0.01,0.2336,1
2015-12-31,2016-01-27,3.38,3.14,0.24,7.6433,4
2015-09-30,2015-10-21,2.62,2.63,-0.01,-0.3802,3
2015-06-30,2015-07-29,3.18,3.13,0.05,1.5974,2
2015-03-31,2015-04-22,3.74,3.53,0.21,5.949,1
2014-12-31,2015-01-28,1.83,1.72,0.11,6.3953,4
2014-09-30,2014-10-22,0.8,0.83,-0.03,-3.6145,3
2014-06-30,2014-07-23,1.86,1.79,0.07,3.9106,2
2014-03-31,2014-04-23,1.86,1.79,0.07,3.9106,1
2013-12-31,2014-01-29,0.94,0.93,0.01,1.0753,4
2013-09-30,2013-10-23,0.91,0.9,0.01,1.1111,3
2013-06-30,2013-07-23,1.34,1.36,-0.02,-1.4706,2
2013-03-31,2013-04-24,1.65,1.48,0.17,11.4865,1
2012-12-31,2013-01-30,0.76,0.7,0.06,8.5714,4
2012-09-30,2012-10-24,0.87,0.77,0.1,12.987,3
2012-06-30,2012-08-01,1.3,1.24,0.06,4.8387,2
2012-03-31,2012-04-25,1.12,1.0,0.12,12.0,1
2011-12-31,2012-02-01,0.56,0.56,0.0,0.0,4
2011-09-30,2011-10-26,0.49,0.44,0.05,11.3636,3
2011-06-30,2011-08-01,0.62,0.58,0.04,6.8966,2
2011-03-31,2011-04-28,0.89,0.87,0.02,2.2989,1
2010-12-31,2011-01-31,0.64,0.7,-0.06,-8.5714,4
2010-09-30,2010-10-27,0.67,0.64,0.03,4.6875,3
2010-06-30,2010-07-21,0.87,0.84,0.03,3.5714,2
2010-03-31,2010-04-19,1.12,1.13,-0.01,-0.885,1
2009-12-31,2010-01-25,0.52,0.48,0.04,8.3333,4
2009-09-30,2009-10-19,0.68,0.63,0.05,7.9365,3
2009-06-30,2009-07-21,1.17,1.18,-0.01,-0.8475,2
2009-03-31,2009-04-19,1.37,1.28,0.09,7.0313,1
2008-12-31,2009-01-26,0.88,0.67,0.21,31.3433,4
2008-09-30,2008-10-21,0.24,0.18,0.06,33.3333,3
2008-06-30,2008-07-22,0.13,0.14,-0.01,-7.1429,2
2008-03-31,2008-04-28,0.47,0.33,0.14,42.4242,1
2007-12-31,2008-01-29,0.24,0.16,0.08,50.0,4
2007-09-30,2007-10-29,0.35,0.3,0.05,16.6667,3
2007-06-30,2007-08-06,0.51,0.37,0.14,37.8378,2
2007-03-31,2007-05-01,0.4,0.4,0.0,0.0,1
2006-12-31,2007-01-30,0.17,0.1,0.07,70.0,4
