fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
2023-12-31,2024-01-25,0.3,0.18,0.12,66.6667,4
2023-09-30,2023-10-19,1.83,1.87,-0.04,-2.139,3
2023-06-30,2023-07-25,3.0,2.7,0.3,11.1111,2
2023-03-31,2023-04-20,-0.62,-0.48,-0.14,-29.1667,1
2022-12-31,2023-01-26,0.92,0.94,-0.02,-2.1277,4
2022-09-30,2022-10-20,2.53,2.39,0.14,5.8577,3
2022-06-30,2022-07-21,2.19,1.97,0.22,11.1675,2
2022-03-31,2022-04-21,-1.33,-1.5,0.17,11.3333,1
2021-12-31,2022-01-27,0.24,0.22,0.02,9.0909,4
2021-09-30,2021-10-21,1.47,1.3,0.17,13.0769,3
2021-06-30,2021-07-22,-0.3,-0.44,0.14,31.8182,2
2021-03-31,2021-04-22,-3.51,-3.63,0.12,3.3058,1
2020-12-31,2021-01-26,-2.55,-2.87,0.32,11.1498,4
2020-09-30,2020-10-22,-3.23,-2.94,-0.29,-9.8639,3
2020-06-30,2020-07-23,-3.54,-3.73,0.19,5.0938,2
2020-03-31,2020-05-05,-0.82,-1.13,0.31,27.4336,1
2019-12-31,2020-01-28,1.46,1.41,0.05,3.5461,4
2019-09-30,2019-10-24,2.63,2.52,0.11,4.3651,3
2019-06-30,2019-07-25,2.17,2.13,0.04,1.8779,2
2019-03-31,2019-04-25,0.17,0.12,0.05,41.6667,1
2018-12-31,2019-01-24,0.75,0.71,0.04,5.6338,4
2018-09-30,2018-10-25,1.91,1.81,0.1,5.5249,3
2018-06-30,2018-07-26,1.66,1.63,0.03,1.8405,2
2018-03-31,2018-04-23,0.14,0.12,0.02,16.6667,1
2017-12-31,2018-01-25,0.83,0.82,0.01,1.2195,4
2017-09-30,2017-10-25,2.24,2.26,-0.02,-0.885,3
2017-06-30,2017-07-26,2.51,2.52,-0.01,-0.3968,2
2017-03-31,2017-04-26,1.05,1.01,0.04,3.9604,1
2016-12-31,2017-02-08,1.56,1.4,0.16,11.4286,4
2016-09-30,2016-10-20,2.2,2.09,0.11,5.2632,3
2016-06-30,2016-07-21,2.12,2.09,0.03,1.4354,2
2016-03-31,2016-04-21,1.45,1.42,0.03,2.1127,1
2015-12-31,2016-01-21,1.46,1.4,0.06,4.2857,4
2015-09-30,2015-10-22,2.16,2.1,0.06,2.8571,3
2015-06-30,2015-07-23,1.76,1.73,0.03,1.7341,2
2015-03-31,2015-04-23,1.12,1.1,0.02,1.8182,1
2014-12-31,2015-01-22,0.94,0.93,0.01,1.0753,4
2014-09-30,2014-10-23,1.47,1.42,0.05,3.5211,3
2014-06-30,2014-07-24,1.13,1.11,0.02,1.8018,2
2014-03-31,2014-04-09,0.64,0.51,0.13,25.4902,1
2013-12-31,2014-01-23,0.55,0.53,0.02,3.7736,4
2013-09-30,2013-10-24,1.11,1.07,0.04,3.7383,3
2013-06-30,2013-07-25,0.74,0.76,-0.02,-2.6316,2
2013-03-31,2013-04-25,0.31,0.28,0.03,10.7143,1
2012-12-31,2013-01-24,0.35,0.35,0.0,0.0,4
2012-09-30,2012-10-25,1.05,1.04,0.01,0.9615,3
2012-06-30,2012-07-26,0.77,0.75,0.02,2.6667,2
2012-03-31,2012-04-19,0.2,0.18,0.02,11.1111,1
2011-12-31,2012-01-26,0.26,0.28,-0.02,-7.1429,4
2011-09-30,2011-10-20,0.9,0.83,0.07,8.4337,3
2011-06-30,2011-07-21,0.61,0.61,0.0,0.0,2
2011-03-31,2011-04-21,0.2,0.18,0.02,11.1111,1
2010-12-31,2011-01-25,0.32,0.25,0.07,28.0,4
2010-09-30,2010-10-21,0.8,0.78,0.02,2.5641,3
2010-06-30,2010-07-22,0.57,0.53,0.04,7.5472,2
2010-03-31,2010-04-22,0.09,0.09,0.0,0.0,1
2009-12-31,2010-01-28,0.03,0.08,-0.05,-62.5,4
2009-09-30,2009-10-22,0.58,0.56,0.02,3.5714,3
2009-06-30,2009-07-23,0.18,0.13,0.05,38.4615,2
2009-03-31,2009-04-23,-0.17,-0.12,-0.05,-41.6667,1
2008-12-31,2009-01-29,0.11,-0.01,0.12,1200.0,4
2008-09-30,2008-10-23,0.28,0.23,0.05,21.7391,3
2008-06-30,2008-07-24,-0.1,-0.1,0.0,0.0,2
2008-03-31,2008-04-24,-0.24,-0.24,0.0,0.0,1
2007-12-31,2008-01-24,-0.11,-0.08,-0.03,-37.5,4
2007-09-30,2007-10-25,0.51,0.48,0.03,6.25,3
2007-06-30,2007-07-26,0.29,0.31,-0.02,-6.4516,2
2007-03-31,2007-04-26,-0.1,-0.08,-0.02,-25.0,1
2006-12-31,2007-01-25,-0.02,,,,4
2006-09-30,2006-10-24,0.48,0.52,-0.04,-7.6923,3
2006-06-30,2006-07-25,0.38,0.32,0.06,18.75,2
2006-03-31,2006-04-20,0.02,-0.12,0.14,116.6667,1
2005-12-31,2006-01-26,0.01,0.01,0.0,0.0,4
2005-09-30,2005-10-20,0.54,0.53,0.01,1.8868,3
2005-06-30,2005-07-21,0.19,0.19,0.0,0.0,2
2005-03-31,2005-04-21,-0.38,-0.3,-0.08,-26.6667,1
2004-12-31,2005-01-28,-0.13,-0.16,0.03,18.75,4
2004-09-30,2004-10-21,0.52,0.39,0.13,33.3333,3
2004-06-30,2004-07-22,0.08,-0.02,0.1,500.0,2
2004-03-31,2004-04-23,-0.38,-0.33,-0.05,-15.1515,1
2003-12-31,2004-01-28,-0.19,-0.15,-0.04,-26.6667,4
2003-09-30,2003-10-21,0.38,0.29,0.09,31.0345,3
2003-06-30,2003-07-22,0.01,-0.08,0.09,112.5,2
2003-03-31,2003-04-22,-0.53,-0.51,-0.02,-3.9216,1
2002-12-31,2003-01-30,-0.4,-0.37,-0.03,-8.1081,4
2002-09-30,2002-10-23,0.1,0.07,0.03,42.8571,3
2002-06-30,2002-07-22,-0.04,-0.09,0.05,55.5556,2
2002-03-31,2002-04-19,-0.32,-0.38,0.06,15.7895,1
2001-12-31,2002-01-25,-0.59,-0.55,-0.04,-7.2727,4
2001-09-30,2001-10-18,0.07,-0.08,0.15,187.5,3
2001-06-30,2001-07-19,0.04,0.01,0.03,300.0,2
2001-03-31,2001-04-19,-0.31,-0.27,-0.04,-14.8148,1
2000-12-31,2001-01-26,-0.27,-0.21,-0.06,-28.5714,4
2000-09-30,2000-10-17,0.15,0.15,0.0,0.0,3
2000-06-30,2000-07-21,0.25,0.23,0.02,8.6957,2
2000-03-31,2000-04-19,-0.09,-0.03,-0.06,-200.0,1
1999-12-31,2000-01-26,0.14,0.14,0.0,0.0,4
1999-09-30,1999-10-21,0.52,0.52,0.0,0.0,3
1999-06-30,1999-07-19,0.4,0.34,0.06,17.6471,2
1999-03-31,1999-04-19,0.19,0.16,0.03,18.75,1
1998-12-31,1999-01-27,0.26,0.2,0.06,30.0,4
1998-09-30,1998-10-26,0.53,0.53,0.0,0.0,3
1998-06-30,1998-07-23,0.44,0.34,0.1,29.4118,2
1998-03-31,1998-04-23,0.14,0.09,0.05,55.5556,1
1997-12-31,1998-01-28,0.18,0.07,0.11,157.1429,4
1997-09-30,1997-10-23,0.49,0.44,0.05,11.3636,3
1997-06-30,1997-07-21,0.25,0.24,0.01,4.1667,2
1997-03-31,1997-04-21,-0.1,-0.09,-0.01,-11.1111,1
1996-12-31,1997-01-28,-0.09,-0.02,-0.07,-350.0,4
1996-09-30,1996-10-24,0.38,0.42,-0.04,-9.5238,3
1996-06-30,1996-07-18,0.22,0.2,0.02,10.0,2
1996-03-31,1996-04-22,-0.13,-0.13,0.0,0.0,1
