fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
2023-12-31,2024-01-25,0.37,0.12,0.25,208.3333,4
2023-09-30,2023-10-26,0.38,0.38,0.0,0.0,3
2023-06-30,2023-07-27,1.09,1.1,-0.01,-0.9091,2
2023-03-31,2023-04-27,-0.27,-0.23,-0.04,-17.3913,1
2022-12-31,2023-01-26,-0.38,-0.12,-0.26,-216.6667,4
2022-09-30,2022-10-27,0.5,0.42,0.08,19.0476,3
2022-06-30,2022-07-28,1.3,1.19,0.11,9.2437,2
2022-03-31,2022-04-28,-0.32,-0.3,-0.02,-6.6667,1
2021-12-31,2022-01-27,0.14,0.07,0.07,100.0,4
2021-09-30,2021-10-21,-0.23,-0.27,0.04,14.8148,3
2021-06-30,2021-07-22,-0.35,-0.23,-0.12,-52.1739,2
2021-03-31,2021-04-22,-1.72,-1.85,0.13,7.027,1
2020-12-31,2021-01-28,-1.29,-1.68,0.39,23.2143,4
2020-09-30,2020-10-22,-1.99,-2.35,0.36,15.3191,3
2020-06-30,2020-07-23,-2.67,-2.66,-0.01,-0.3759,2
2020-03-31,2020-04-28,-0.15,-0.41,0.26,63.4146,1
2019-12-31,2020-01-23,1.16,1.09,0.07,6.422,4
2019-09-30,2019-10-24,1.23,1.08,0.15,13.8889,3
2019-06-30,2019-07-25,1.37,1.34,0.03,2.2388,2
2019-03-31,2019-04-25,0.7,0.61,0.09,14.7541,1
2018-12-31,2019-01-24,1.17,1.06,0.11,10.3774,4
2018-09-30,2018-10-25,1.08,1.04,0.04,3.8462,3
2018-06-30,2018-07-26,1.26,1.22,0.04,3.2787,2
2018-03-31,2018-04-26,0.75,0.74,0.01,1.3514,1
2017-12-31,2018-01-25,0.77,0.7,0.07,10.0,4
2017-09-30,2017-10-26,0.88,0.81,0.07,8.642,3
2017-06-30,2017-07-27,1.24,1.16,0.08,6.8966,2
2017-03-31,2017-04-27,0.61,0.63,-0.02,-3.1746,1
2016-12-31,2017-01-26,0.75,0.68,0.07,10.2941,4
2016-09-30,2016-10-26,0.93,0.88,0.05,5.6818,3
2016-06-30,2016-07-21,1.19,1.21,-0.02,-1.6529,2
2016-03-31,2016-04-21,0.88,0.84,0.04,4.7619,1
2015-12-31,2016-01-21,0.9,0.9,0.0,0.0,4
2015-09-30,2015-10-22,0.94,0.92,0.02,2.1739,3
2015-06-30,2015-07-23,1.03,1.02,0.01,0.9804,2
2015-03-31,2015-04-23,0.66,0.65,0.01,1.5385,1
2014-12-31,2015-01-22,0.59,0.55,0.04,7.2727,4
2014-09-30,2014-10-23,0.55,0.53,0.02,3.7736,3
2014-06-30,2014-07-24,0.7,0.61,0.09,14.7541,2
2014-03-31,2014-04-24,0.18,0.16,0.02,12.5,1
2013-12-31,2014-01-23,0.33,0.29,0.04,13.7931,4
2013-09-30,2013-10-24,0.34,0.34,0.0,0.0,3
2013-06-30,2013-07-25,0.38,0.38,0.0,0.0,2
2013-03-31,2013-04-25,0.07,0.02,0.05,250.0,1
2012-12-31,2013-01-24,0.09,0.08,0.01,12.5,4
2012-09-30,2012-10-18,0.13,0.12,0.01,8.3333,3
2012-06-30,2012-07-19,0.36,0.32,0.04,12.5,2
2012-03-31,2012-04-19,-0.02,-0.05,0.03,60.0,1
2011-12-31,2012-01-19,0.09,0.08,0.01,12.5,4
2011-09-30,2011-10-20,0.15,0.13,0.02,15.3846,3
2011-06-30,2011-08-04,0.15,0.2,-0.05,-25.0,2
2011-03-31,2011-04-21,0.03,0.03,0.0,0.0,1
2010-12-31,2011-01-20,0.15,0.15,0.0,0.0,4
2010-09-30,2010-10-21,0.26,0.25,0.01,4.0,3
2010-06-30,2010-07-29,0.29,0.27,0.02,7.4074,2
2010-03-31,2010-04-22,0.03,0.03,0.0,0.0,1
2009-12-31,2010-01-21,0.1,0.07,0.03,42.8571,4
2009-09-30,2009-10-15,0.03,0.02,0.01,50.0,3
2009-06-30,2009-07-21,0.08,0.07,0.01,14.2857,2
2009-03-31,2009-04-16,-0.03,-0.01,-0.02,-200.0,1
2008-12-31,2009-01-22,0.08,0.05,0.03,60.0,4
2008-09-30,2008-10-16,0.09,0.07,0.02,28.5714,3
2008-06-30,2008-07-24,0.16,0.12,0.04,33.3333,2
2008-03-31,2008-04-17,0.06,0.01,0.05,500.0,1
2007-12-31,2008-01-23,0.12,0.1,0.02,20.0,4
2007-09-30,2007-10-18,0.21,0.21,0.0,0.0,3
2007-06-30,2007-07-18,0.25,0.22,0.03,13.6364,2
2007-03-31,2007-04-19,0.04,0.04,0.0,0.0,1
2006-12-31,2007-01-17,0.12,0.12,0.0,0.0,4
2006-09-30,2006-10-19,0.19,0.2,-0.01,-5.0,3
2006-06-30,2006-07-19,0.33,0.26,0.07,26.9231,2
2006-03-31,2006-04-20,0.08,0.07,0.01,14.2857,1
2005-12-31,2006-01-18,0.12,0.13,-0.01,-7.6923,4
2005-09-30,2005-10-20,0.21,0.18,0.03,16.6667,3
2005-06-30,2005-07-14,0.2,0.18,0.02,11.1111,2
2005-03-31,2005-04-14,0.09,0.05,0.04,80.0,1
2004-12-31,2005-01-19,0.07,0.08,-0.01,-12.5,4
2004-09-30,2004-10-14,0.15,0.12,0.03,25.0,3
2004-06-30,2004-07-15,0.15,0.16,-0.01,-6.25,2
2004-03-31,2004-04-15,0.04,0.04,0.0,0.0,1
2003-12-31,2004-01-22,0.08,0.08,0.0,0.0,4
2003-09-30,2003-10-20,0.13,0.13,0.0,0.0,3
2003-06-30,2003-07-21,0.13,0.12,0.01,8.3333,2
2003-03-31,2003-04-21,0.03,0.03,0.0,0.0,1
2002-12-31,2003-01-22,0.05,0.03,0.02,66.6667,4
2002-09-30,2002-10-17,0.06,0.05,0.01,20.0,3
2002-06-30,2002-07-18,0.1,0.11,-0.01,-9.0909,2
2002-03-31,2002-04-18,0.03,0.03,0.0,0.0,1
2001-12-31,2002-01-17,0.04,-0.01,0.05,500.0,4
2001-09-30,2001-10-18,0.1,0.1,0.0,0.0,3
2001-06-30,2001-07-19,0.22,0.22,0.0,0.0,2
2001-03-31,2001-04-19,0.15,0.16,-0.01,-6.25,1
2000-12-31,2001-01-16,0.19,0.18,0.01,5.5556,4
2000-09-30,2000-10-17,0.23,0.21,0.02,9.5238,3
2000-06-30,2000-07-18,0.24,0.21,0.03,14.2857,2
2000-03-31,2000-04-18,0.12,0.11,0.01,9.0909,1
1999-12-31,2000-01-18,0.12,0.12,0.0,0.0,4
1999-09-30,1999-10-19,0.16,0.16,0.0,0.0,3
1999-06-30,1999-07-20,0.19,0.2,-0.01,-5.0,2
1999-03-31,1999-04-20,0.13,0.11,0.02,18.1818,1
1998-12-31,1999-01-21,0.13,0.13,0.0,0.0,4
1998-09-30,1998-10-20,0.16,0.16,0.0,0.0,3
1998-06-30,1998-07-23,0.18,0.16,0.02,12.5,2
1998-03-31,1998-04-23,0.09,0.09,0.0,0.0,1
1997-12-31,1998-01-22,0.05,0.08,-0.03,-37.5,4
1997-09-30,1997-10-23,0.12,0.12,0.0,0.0,3
1997-06-30,1997-07-24,0.12,0.12,0.0,0.0,2
1997-03-31,1997-04-24,0.07,0.05,0.02,40.0,1
1996-12-31,1997-01-23,0.04,0.03,0.01,33.3333,4
1996-09-30,1996-10-24,0.08,0.08,0.0,0.0,3
1996-06-30,1996-07-25,0.11,0.11,0.0,0.0,2
1996-03-31,1996-04-23,0.04,0.05,-0.01,-20.0,1
