fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-12-31,2024-01-30,None,-0.28,None,None
2023-09-30,2023-10-31,-0.39,-0.25,-0.14,-56
2023-06-30,2023-08-01,0.45,0.44,0.01,2.2727
2023-03-31,2023-04-25,-0.34,-0.38,0.04,10.5263
2022-12-31,2023-01-26,0.22,0.2,0.02,10
2022-09-30,2022-10-25,0.21,0.23,-0.02,-8.6957
2022-06-30,2022-08-02,-0.47,-0.11,-0.36,-327.2727
2022-03-31,2022-04-26,-0.8,-0.85,0.05,5.8824
2021-12-31,2022-01-27,-0.36,-0.39,0.03,7.6923
2021-09-30,2021-10-26,-0.12,-0.18,0.06,33.3333
2021-06-30,2021-07-27,-0.65,-0.74,0.09,12.1622
2021-03-31,2021-04-26,-1.48,-1.69,0.21,12.426
2020-12-31,2021-01-28,-1.53,-1.69,0.16,9.4675
2020-09-30,2020-10-27,-1.75,-1.96,0.21,10.7143
2020-06-30,2020-07-28,-2.02,-1.92,-0.1,-5.2083
2020-03-31,2020-05-07,-0.42,-0.36,-0.06,-16.6667
2019-12-31,2020-01-23,0.56,0.55,0.01,1.8182
2019-09-30,2019-10-22,0.59,0.51,0.08,15.6863
2019-06-30,2019-07-23,0.6,0.57,0.03,5.2632
2019-03-31,2019-04-23,0.16,0.12,0.04,33.3333
2018-12-31,2019-01-24,0.5,0.42,0.08,19.0476
2018-09-30,2018-10-23,0.43,0.42,0.01,2.381
2018-06-30,2018-07-24,0.38,0.36,0.02,5.5556
2018-03-31,2018-04-24,0.27,0.22,0.05,22.7273
2017-12-31,2018-01-25,0.32,0.34,-0.02,-5.8824
2017-09-30,2017-10-24,0.55,0.53,0.02,3.7736
2017-06-30,2017-07-25,0.64,0.57,0.07,12.2807
2017-03-31,2017-04-25,0.25,0.23,0.02,8.6957
2016-12-31,2017-01-26,0.5,0.49,0.01,2.0408
2016-09-30,2016-10-25,0.58,0.6,-0.02,-3.3333
2016-06-30,2016-07-26,0.53,0.49,0.04,8.1633
2016-03-31,2016-04-26,0.59,0.53,0.06,11.3208
2015-12-31,2016-01-28,0.56,0.51,0.05,9.8039
2015-09-30,2015-10-27,0.58,0.57,0.01,1.7544
2015-06-30,2015-07-28,0.44,0.44,0,0
2015-03-31,2015-04-28,0.4,0.39,0.01,2.5641
2014-12-31,2015-01-29,0.26,0.24,0.02,8.3333
2014-09-30,2014-10-23,0.24,0.26,-0.02,-7.6923
2014-06-30,2014-07-24,0.19,0.19,0,0
2014-03-31,2014-04-24,0.01,0.07,-0.06,-85.7143
2013-12-31,2014-01-29,0.14,0.13,0.01,7.6923
2013-09-30,2013-10-29,0.21,0.22,-0.01,-4.5455
2013-06-30,2013-07-30,0.11,0.14,-0.03,-21.4286
2013-03-31,2013-04-25,0.05,0.1,-0.05,-50
2012-12-31,2013-01-29,0.0087,0.02,-0.0113,-56.5
2012-09-30,2012-10-25,0.14,0.13,0.01,7.6923
2012-06-30,2012-07-25,0.16,0.16,0,0
2012-03-31,2012-04-26,0.09,0.08,0.01,12.5
2011-12-31,2012-01-26,0.08,0.04,0.04,100
2011-09-30,2011-10-26,0.12,0.13,-0.01,-7.6923
2011-06-30,2011-07-26,0.08,0.09,-0.01,-11.1111
2011-03-31,2011-04-21,0.01,0.01,0,0
2010-12-31,2011-01-27,0.03,0.05,-0.02,-40
2010-09-30,2010-10-21,0.18,0.19,-0.01,-5.2632
2010-06-30,2010-07-22,0.1,0.08,0.02,25
2010-03-31,2010-04-28,-0.01,0.03,-0.04,-133.3333
2009-12-31,2010-01-28,0.04,0.03,0.01,33.3333
2009-09-30,2009-10-22,0.04,0.05,-0.01,-20
2009-06-30,2009-07-23,0.05,0.02,0.03,150
2009-03-31,2009-04-23,0.08,0.03,0.05,166.6667
2008-12-31,2009-01-29,0.02,-0.02,0.04,200
2008-09-30,2008-10-23,-0.02,-0.04,0.02,50
2008-06-30,2008-07-22,-0.03,-0.07,0.04,57.1429
2008-03-31,2008-04-22,-0.04,-0.07,0.03,42.8571
2007-12-31,2008-01-29,-0.02,-0.05,0.03,60
2007-09-30,2007-10-23,0.12,0.07,0.05,71.4286
2007-06-30,2007-07-24,0.11,0.12,-0.01,-8.3333
2007-03-31,2007-04-24,-0.12,-0.19,0.07,36.8421
2006-12-31,2007-01-30,0.09,0.11,-0.02,-18.1818
2006-09-30,2006-10-24,0,0,0,None
2006-06-30,2006-07-25,0.08,0.04,0.04,100
2006-03-31,2006-04-25,-0.18,-0.2,0.02,10
2005-12-31,2006-02-01,-0.19,-0.16,-0.03,-18.75
2005-09-30,2005-10-20,0.01,None,None,None
2005-06-30,2005-07-21,0.07,0.07,0,0
2005-03-31,2005-04-21,0.04,0.02,0.02,100
2004-12-31,2005-01-27,0.01,-0.03,0.04,133.3333
2004-09-30,2004-10-28,0.05,0.07,-0.02,-28.5714
2004-06-30,2004-07-22,0.13,0.14,-0.01,-7.1429
2004-03-31,2004-04-22,0.09,0.08,0.01,12.5
2003-12-31,2004-01-29,0.11,0.11,0,0
2003-09-30,2003-10-23,0.17,0.17,0,0
2003-06-30,2003-07-24,0.17,0.13,0.04,30.7692
2003-03-31,2003-04-24,0.11,0.1,0.01,10
2002-12-31,2003-01-30,0.1,0.09,0.01,11.1111
2002-09-30,2002-11-07,0.08,0.08,0,0
2002-06-30,2002-07-25,0.1,0.07,0.03,42.8571
2002-03-31,2002-04-25,0.0942,None,None,None
