fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-09-30,2023-11-07,0.14,0.14,0,0
2023-06-30,2023-08-03,0.4,0.41,-0.01,-2.439
2023-03-31,2023-04-27,0.68,0.56,0.12,21.4286
2022-12-31,2023-02-02,0.13,0.11,0.02,18.1818
2022-09-30,2022-11-01,0.12,0.04,0.08,200
2022-06-30,2022-08-08,-0.03,0.1,-0.13,-130
2022-03-31,2022-05-05,0.2,0.2,0,0
2021-12-31,2022-02-07,0.1,0.01,0.09,900
2021-09-30,2021-11-01,0.23,0.13,0.1,76.9231
2021-06-30,2021-07-28,0.07,-0.15,0.22,146.6667
2021-03-31,2021-05-05,-0.09,-0.28,0.19,67.8571
2020-12-31,2021-03-18,16.57,0,16.57,None
2020-09-30,2020-12-22,2.03,0,2.03,None
2019-09-30,2019-12-31,0.1044,0,0.1044,None
2018-09-30,2018-12-31,0.0082,0,0.0082,None
