Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2014,6,BFI,30559,CCS,30911,G3,4084,14,2.0,0,0.0,378.0,0.0,0.0,0,0,0,2
2014,8,MCO,31454,MAO,33166,G3,2584,14,1.0,0,43560.0,177.0,117.0,0.0,0,0,0,3
2014,6,MCO,31454,SDQ,32105,G3,1009,14,30.0,0,1069383.0,5310.0,3755.0,0.0,0,0,0,2
2013,11,MCO,31454,SDQ,32105,G3,1009,14,30.0,0,1120060.0,5317.0,3864.0,0.0,0,0,0,4
2013,12,MCO,31454,SDQ,32105,G3,1009,14,31.0,0,1129110.0,5487.0,3897.0,0.0,0,0,0,4
2014,1,MCO,31454,SDQ,32105,G3,1009,14,31.0,0,1237762.0,5487.0,4505.0,0.0,0,0,0,1
2014,8,MCO,31454,SDQ,32105,G3,1009,14,30.0,0,1064730.0,5310.0,3913.0,0.0,0,0,0,3
2014,7,MCO,31454,SDQ,32105,G3,1009,14,31.0,0,1072192.0,5487.0,3993.0,0.0,0,0,0,3
2014,9,MCO,31454,SDQ,32105,G3,1009,14,30.0,0,1075985.0,5310.0,4040.0,0.0,0,0,0,3
2014,2,MCO,31454,SDQ,32105,G3,1009,14,28.0,0,1030077.0,4956.0,3458.0,0.0,0,0,0,1
2014,3,MCO,31454,SDQ,32105,G3,1009,14,26.0,0,980485.0,4602.0,3385.0,0.0,0,0,0,1
2014,4,MCO,31454,SDQ,32105,G3,1009,14,27.0,0,1042741.0,4779.0,3425.0,0.0,0,0,0,2
2014,5,MCO,31454,SDQ,32105,G3,1009,14,104.0,0,3976122.0,18432.0,14328.0,0.0,0,0,0,2
2013,10,MCO,31454,SDQ,32105,G3,1009,14,31.0,0,1133317.0,5487.0,4137.0,0.0,0,0,0,4
2014,8,MIA,32467,MAO,33166,G3,2402,14,1.0,0,43560.0,177.0,134.0,0.0,0,0,0,3
2013,10,MIA,32467,SDQ,32105,G3,848,14,31.0,0,1088109.0,5487.0,3992.0,0.0,0,0,0,4
2013,11,MIA,32467,SDQ,32105,G3,848,14,30.0,0,1091416.0,5310.0,4090.0,0.0,0,0,0,4
2013,12,MIA,32467,SDQ,32105,G3,848,14,31.0,0,1109746.0,5487.0,3968.0,0.0,0,0,0,4
2014,1,MIA,32467,SDQ,32105,G3,848,14,31.0,0,1140858.0,5487.0,3736.0,0.0,0,0,0,1
2014,2,MIA,32467,SDQ,32105,G3,848,14,28.0,0,1019548.0,4956.0,3280.0,0.0,0,0,0,1
2014,3,MIA,32467,SDQ,32105,G3,848,14,26.0,0,914837.0,4602.0,3176.0,0.0,0,0,0,1
2014,4,MIA,32467,SDQ,32105,G3,848,14,25.0,0,970385.0,4425.0,3169.0,0.0,0,0,0,2
2014,7,MIA,32467,SDQ,32105,G3,848,14,31.0,0,1072192.0,5487.0,3863.0,0.0,0,0,0,3
2014,6,MIA,32467,SDQ,32105,G3,848,14,30.0,0,1069383.0,5310.0,4054.0,0.0,0,0,0,2
2014,8,MIA,32467,SDQ,32105,G3,848,14,30.0,0,1052311.0,5310.0,4009.0,0.0,0,0,0,3
2014,9,MIA,32467,SDQ,32105,G3,848,14,30.0,0,1041977.0,5310.0,4007.0,0.0,0,0,0,3
2014,6,SDQ,32105,MCO,31454,G3,1009,14,30.0,0,1069383.0,5310.0,3537.0,0.0,0,0,0,2
2014,1,SDQ,32105,MCO,31454,G3,1009,14,30.0,0,1236902.0,5310.0,3891.0,0.0,0,0,0,1
2014,9,SDQ,32105,MCO,31454,G3,1009,14,30.0,0,1062860.0,5310.0,4224.0,0.0,0,0,0,3
2014,7,SDQ,32105,MCO,31454,G3,1009,14,31.0,0,1095151.0,5487.0,4187.0,0.0,0,0,0,3
2014,8,SDQ,32105,MCO,31454,G3,1009,14,31.0,0,1051483.0,5487.0,4306.0,0.0,0,0,0,3
2014,2,SDQ,32105,MCO,31454,G3,1009,14,28.0,0,1030077.0,4956.0,3267.0,0.0,0,0,0,1
2014,3,SDQ,32105,MCO,31454,G3,1009,14,27.0,0,1023889.0,4779.0,3183.0,0.0,0,0,0,1
2014,4,SDQ,32105,MCO,31454,G3,1009,14,27.0,0,1048665.0,4779.0,3808.0,0.0,0,0,0,2
2013,10,SDQ,32105,MCO,31454,G3,1009,14,31.0,0,1143897.0,5487.0,4023.0,0.0,0,0,0,4
2013,11,SDQ,32105,MCO,31454,G3,1009,14,30.0,0,1120060.0,5317.0,3837.0,0.0,0,0,0,4
2013,12,SDQ,32105,MCO,31454,G3,1009,14,31.0,0,1129110.0,5487.0,4206.0,0.0,0,0,0,4
2014,6,SDQ,32105,MIA,32467,G3,848,14,31.0,0,1068582.0,5494.0,3048.0,0.0,0,0,0,2
2013,12,SDQ,32105,MIA,32467,G3,848,14,31.0,0,1098856.0,5487.0,4096.0,0.0,0,0,0,4
2014,9,SDQ,32105,MIA,32467,G3,848,14,30.0,0,904413.0,5310.0,3987.0,0.0,0,0,0,3
2014,7,SDQ,32105,MIA,32467,G3,848,14,31.0,0,1072192.0,5487.0,4075.0,0.0,0,0,0,3
2014,8,SDQ,32105,MIA,32467,G3,848,14,31.0,0,1016902.0,5487.0,4235.0,0.0,0,0,0,3
2014,1,SDQ,32105,MIA,32467,G3,848,14,31.0,0,1130122.0,5487.0,3270.0,0.0,0,0,0,1
2014,2,SDQ,32105,MIA,32467,G3,848,14,28.0,0,1019548.0,4956.0,2948.0,0.0,0,0,0,1
2014,3,SDQ,32105,MIA,32467,G3,848,14,26.0,0,897849.0,4602.0,2906.0,0.0,0,0,0,1
2014,4,SDQ,32105,MIA,32467,G3,848,14,25.0,0,970385.0,4425.0,3185.0,0.0,0,0,0,2
2013,10,SDQ,32105,MIA,32467,G3,848,14,31.0,0,1088109.0,5487.0,3889.0,0.0,0,0,0,4
2013,11,SDQ,32105,MIA,32467,G3,848,14,30.0,0,1057582.0,5310.0,3872.0,0.0,0,0,0,4
2015,1,BFI,30559,CCS,30911,G3,4084,14,1.0,0,0.0,177.0,0.0,0.0,0,0,0,1
2015,4,BFI,30559,CCS,30911,G3,4084,14,1.0,0,0.0,177.0,0.0,0.0,0,0,0,2
2015,6,BFI,30559,CCS,30911,G3,4084,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,2
2015,1,BGR,30581,GYR,30466,G3,2435,14,1.0,0,23727.0,177.0,0.0,0.0,0,0,0,1
2015,1,CUN,31032,MCO,31454,G3,617,14,1.0,0,32373.0,177.0,0.0,0.0,0,0,0,1
2014,12,MCO,31454,PUJ,34293,G3,1064,14,4.0,0,123398.0,708.0,251.0,0.0,0,0,0,4
2015,3,MCO,31454,PUJ,34293,G3,1064,14,31.0,0,1350360.0,5487.0,3726.0,0.0,0,0,0,1
2015,5,MCO,31454,PUJ,34293,G3,1064,14,31.0,0,1350360.0,5487.0,3792.0,0.0,0,0,0,2
2015,4,MCO,31454,PUJ,34293,G3,1064,14,30.0,0,1306800.0,5310.0,3425.0,0.0,0,0,0,2
2015,1,MCO,31454,PUJ,34293,G3,1064,14,4.0,0,125880.0,708.0,494.0,0.0,0,0,0,1
2015,2,MCO,31454,PUJ,34293,G3,1064,14,4.0,0,147765.0,708.0,420.0,0.0,0,0,0,1
2015,9,MCO,31454,PUJ,34293,G3,1064,14,30.0,0,1039900.0,5310.0,3775.0,0.0,0,0,0,3
2015,6,MCO,31454,PUJ,34293,G3,1064,14,30.0,0,1306800.0,5310.0,3535.0,0.0,0,0,0,2
2015,7,MCO,31454,PUJ,34293,G3,1064,14,31.0,0,1350360.0,5487.0,3327.0,0.0,0,0,0,3
2015,8,MCO,31454,PUJ,34293,G3,1064,14,31.0,0,1350360.0,5487.0,3664.0,0.0,0,0,0,3
2014,12,MCO,31454,SDQ,32105,G3,1009,14,31.0,0,1154890.0,5487.0,4332.0,0.0,0,0,0,4
2014,11,MCO,31454,SDQ,32105,G3,1009,14,30.0,0,1084578.0,5310.0,3975.0,0.0,0,0,0,4
2014,10,MCO,31454,SDQ,32105,G3,1009,14,31.0,0,1120196.0,5487.0,4218.0,0.0,0,0,0,4
2015,2,MCO,31454,SDQ,32105,G3,1009,14,28.0,0,1137079.0,4956.0,3777.0,0.0,0,0,0,1
2015,1,MCO,31454,SDQ,32105,G3,1009,14,32.0,0,1207160.0,5664.0,4584.0,0.0,0,0,0,1
2015,1,MIA,32467,CCS,30911,G3,1360,14,1.0,0,23307.0,177.0,0.0,0.0,0,0,0,1
2015,5,MIA,32467,PUJ,34293,G3,911,14,22.0,0,958320.0,3894.0,2546.0,0.0,0,0,0,2
2015,4,MIA,32467,PUJ,34293,G3,911,14,24.0,0,1045440.0,4248.0,2377.0,0.0,0,0,0,2
2015,3,MIA,32467,PUJ,34293,G3,911,14,31.0,0,1350360.0,5487.0,3079.0,0.0,0,0,0,1
2015,9,MIA,32467,PUJ,34293,G3,911,14,30.0,0,937570.0,5310.0,3542.0,0.0,0,0,0,3
2015,6,MIA,32467,PUJ,34293,G3,911,14,30.0,0,1306800.0,5310.0,3423.0,0.0,0,0,0,2
2015,7,MIA,32467,PUJ,34293,G3,911,14,31.0,0,1350360.0,5487.0,4025.0,0.0,0,0,0,3
2015,8,MIA,32467,PUJ,34293,G3,911,14,31.0,0,1350360.0,5487.0,3685.0,0.0,0,0,0,3
2014,12,MIA,32467,SDQ,32105,G3,848,14,31.0,0,1112342.0,5487.0,4297.0,0.0,0,0,0,4
2014,11,MIA,32467,SDQ,32105,G3,848,14,30.0,0,981081.0,5310.0,3736.0,0.0,0,0,0,4
2014,10,MIA,32467,SDQ,32105,G3,848,14,31.0,0,1176604.0,5487.0,4460.0,0.0,0,0,0,4
2015,2,MIA,32467,SDQ,32105,G3,848,14,28.0,0,1078957.0,4956.0,3105.0,0.0,0,0,0,1
2015,1,MIA,32467,SDQ,32105,G3,848,14,31.0,0,1075681.0,5487.0,4025.0,0.0,0,0,0,1
2015,1,NWI,33778,BGR,30581,G3,3120,14,1.0,0,16388.0,177.0,0.0,0.0,0,0,0,1
2015,3,PUJ,34293,MCO,31454,G3,1064,14,31.0,0,1350360.0,5487.0,3443.0,0.0,0,0,0,1
2015,1,PUJ,34293,MCO,31454,G3,1064,14,4.0,0,106106.0,708.0,523.0,0.0,0,0,0,1
2015,5,PUJ,34293,MCO,31454,G3,1064,14,31.0,0,1350360.0,5487.0,3463.0,0.0,0,0,0,2
2014,12,PUJ,34293,MCO,31454,G3,1064,14,4.0,0,108156.0,708.0,531.0,0.0,0,0,0,4
2015,2,PUJ,34293,MCO,31454,G3,1064,14,4.0,0,120201.0,708.0,262.0,0.0,0,0,0,1
2015,4,PUJ,34293,MCO,31454,G3,1064,14,30.0,0,1306800.0,5310.0,3711.0,0.0,0,0,0,2
2015,9,PUJ,34293,MCO,31454,G3,1064,14,30.0,0,949905.0,5310.0,3672.0,0.0,0,0,0,3
2015,8,PUJ,34293,MCO,31454,G3,1064,14,31.0,0,1350360.0,5487.0,3960.0,0.0,0,0,0,3
2015,7,PUJ,34293,MCO,31454,G3,1064,14,31.0,0,1350360.0,5487.0,3725.0,0.0,0,0,0,3
2015,6,PUJ,34293,MCO,31454,G3,1064,14,30.0,0,1306800.0,5310.0,3353.0,0.0,0,0,0,2
2015,4,PUJ,34293,MIA,32467,G3,911,14,24.0,0,1045440.0,4248.0,2219.0,0.0,0,0,0,2
2015,5,PUJ,34293,MIA,32467,G3,911,14,22.0,0,958320.0,3894.0,2192.0,0.0,0,0,0,2
2015,3,PUJ,34293,MIA,32467,G3,911,14,31.0,0,1350360.0,5487.0,2906.0,0.0,0,0,0,1
2015,9,PUJ,34293,MIA,32467,G3,911,14,30.0,0,922951.0,5310.0,3147.0,0.0,0,0,0,3
2015,8,PUJ,34293,MIA,32467,G3,911,14,31.0,0,1350360.0,5487.0,4101.0,0.0,0,0,0,3
2015,7,PUJ,34293,MIA,32467,G3,911,14,31.0,0,1350360.0,5487.0,3506.0,0.0,0,0,0,3
2015,6,PUJ,34293,MIA,32467,G3,911,14,30.0,0,1306800.0,5310.0,3611.0,0.0,0,0,0,2
2014,12,SDQ,32105,MCO,31454,G3,1009,14,31.0,0,1133198.0,5487.0,4547.0,0.0,0,0,0,4
2015,1,SDQ,32105,MCO,31454,G3,1009,14,31.0,0,1115895.0,5487.0,4499.0,0.0,0,0,0,1
2015,2,SDQ,32105,MCO,31454,G3,1009,14,28.0,0,1003451.0,4956.0,3377.0,0.0,0,0,0,1
2014,10,SDQ,32105,MCO,31454,G3,1009,14,31.0,0,1052203.0,5487.0,4129.0,0.0,0,0,0,4
2014,11,SDQ,32105,MCO,31454,G3,1009,14,30.0,0,952336.0,5310.0,3811.0,0.0,0,0,0,4
2015,1,SDQ,32105,MIA,32467,G3,848,14,32.0,0,1062972.0,5664.0,4222.0,0.0,0,0,0,1
2015,2,SDQ,32105,MIA,32467,G3,848,14,28.0,0,1034825.0,4956.0,2565.0,0.0,0,0,0,1
2014,10,SDQ,32105,MIA,32467,G3,848,14,31.0,0,1008390.0,5487.0,4388.0,0.0,0,0,0,4
2014,11,SDQ,32105,MIA,32467,G3,848,14,30.0,0,883179.0,5310.0,3543.0,0.0,0,0,0,4
2014,12,SDQ,32105,MIA,32467,G3,848,14,31.0,0,1055756.0,5487.0,4150.0,0.0,0,0,0,4
2015,10,BFI,30559,CCS,30911,G3,4084,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,4
2015,12,BFI,30559,CCS,30911,G3,4084,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,4
2016,1,BFI,30559,CCS,30911,G3,4084,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,1
2016,3,CNF,30610,FLL,32467,G3,3972,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,1
2016,5,CNF,30610,MIA,32467,G3,3963,14,1.0,0,17688.0,177.0,0.0,0.0,0,0,0,2
2016,8,CNF,30610,MIA,32467,G3,3963,12,3.0,0,35004.0,414.0,0.0,0.0,0,0,0,3
2016,8,CNF,30610,MIA,32467,G3,3963,14,1.0,0,17439.0,177.0,0.0,0.0,0,0,0,3
2016,9,CNF,30610,MIA,32467,G3,3963,12,2.0,0,23269.0,276.0,0.0,0.0,0,0,0,3
2016,9,CNF,30610,MIA,32467,G3,3963,14,1.0,0,16474.0,177.0,0.0,0.0,0,0,0,3
2016,3,FLL,32467,NZC,31136,G3,304,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,1
2015,10,MCO,31454,PUJ,34293,G3,1064,14,27.0,0,1176120.0,4779.0,3427.0,0.0,0,0,0,4
2015,11,MCO,31454,PUJ,34293,G3,1064,14,17.0,0,740520.0,3009.0,1509.0,0.0,0,0,0,4
2015,12,MCO,31454,PUJ,34293,G3,1064,14,17.0,0,740520.0,3009.0,1762.0,0.0,0,0,0,4
2016,1,MCO,31454,PUJ,34293,G3,1064,14,18.0,0,784080.0,3186.0,2168.0,0.0,0,0,0,1
2016,2,MCO,31454,PUJ,34293,G3,1064,14,11.0,0,479160.0,1947.0,1037.0,0.0,0,0,0,1
2016,7,MIA,32467,CNF,30610,G3,3963,14,1.0,0,43560.0,177.0,0.0,0.0,0,0,0,3
2016,7,MIA,32467,MZJ,33587,G3,1925,14,2.0,0,87120.0,354.0,0.0,0.0,0,0,0,3
2016,9,MIA,32467,MZJ,33587,G3,1925,12,2.0,0,6215.0,276.0,0.0,0.0,0,0,0,3
