Year,quarter,Price
2006,1,11.877822572185147
2006,2,10.625277765213497
2006,3,10.589166660157462
2006,4,12.700079369166541
2007,1,13.389303242573973
2007,2,10.83940475327628
2007,3,10.082301582608904
2007,4,7.888046866282821
2008,1,5.579959019285734
2008,2,4.601835939101875
2008,3,5.124218751676381
2008,4,5.218632800504565
2009,1,5.206557392096911
2009,2,4.757420639197032
2009,3,5.377343755215406
2009,4,5.507070308551192
2010,1,5.368401634888571
2010,2,6.055753957657587
2010,3,5.979804689064622
2010,4,6.807890618219972
2011,1,6.130040320657915
2011,2,5.881190466502356
2011,3,4.659335951320827
2011,4,4.433611114819844
2012,1,5.418911295552408
2012,2,4.852182549143595
2012,3,5.185595249372815
2012,4,5.272620952898456
2013,1,6.217166650295257
2013,2,6.554765613749623
2013,3,6.461562495678663
2013,4,7.938671899959445
2014,1,8.787049172354527
2014,2,9.22746031057267
2014,3,11.428398426622152
2014,4,12.959570277482271
2015,1,16.990532812525014
2015,2,20.263214247567312
2015,3,23.51656247675419
2015,4,24.921562485396862
2016,1,21.021270493992038
2016,2,18.606874991208315
2016,3,17.100820269435644
2016,4,19.737023845551505
2017,1,20.401975793223226
2017,2,21.982579382639084
2017,3,20.991190524328324
2017,4,20.412261887202188
2018,1,21.291393420735343
2018,2,19.263593763113022
2018,3,18.96638884620061
2018,4,17.455119091366964
2019,1,17.11237704949301
2019,2,17.889682535141233
2019,3,18.16417968273163
2019,4,18.57587302677215
