Year,quarter,Price
2006,1,5.861275481263768
2006,2,5.415731389809114
2006,3,5.182506030485517
2006,4,7.1637086797851515
2007,1,10.340002450566034
2007,2,12.444556426570472
2007,3,12.891189361650671
2007,4,12.154188010038647
2008,1,11.03498201987993
2008,2,10.376766982898845
2008,3,9.553077802842653
2008,4,7.662284837631249
2009,1,7.393926599569651
2009,2,9.326134475702455
2009,3,10.99447780122161
2009,4,13.295695564296395
2010,1,15.527677934153091
2010,2,16.884378268894363
2010,3,23.24665688141562
2010,4,28.216806939448265
2011,1,25.824110201024567
2011,2,25.63636859208561
2011,3,24.989531599534672
2011,4,21.74834163824517
2012,1,25.013446063011965
2012,2,25.246562850684143
2012,3,23.244159890440027
2012,4,22.751182466210896
2013,1,22.591940968162437
2013,2,18.25096302484006
2013,3,13.331094351022907
2013,4,15.134700635518326
2014,1,14.101822650011364
2014,2,13.894517180735265
2014,3,11.74493760777485
2014,4,10.97089588076707
2015,1,9.680290357963823
2015,2,8.104555420979986
2015,3,5.5102009466640425
2015,4,5.182010212180253
2016,1,5.458485782326622
2016,2,6.265853845579566
2016,3,7.797583438421513
2016,4,8.424649557709113
2017,1,9.575832578979936
2017,2,11.45376936147758
2017,3,11.7696785117535
2017,4,12.710996436010918
2018,1,15.103565734565123
2018,2,12.831852628775447
2018,3,9.449756728156101
2018,4,9.218679434199007
2019,1,10.977790820568467
2019,2,9.226039542050682
2019,3,8.875723316511849
2019,4,10.774064641776368
