Year,quarter,Price
2006,1,34.920468270329145
2006,2,31.283066564779737
2006,3,24.771055203259632
2006,4,35.380033155846505
2007,1,40.331810281221976
2007,2,35.27857773613915
2007,3,41.75036285716907
2007,4,40.07162048360497
2008,1,31.332364096153437
2008,2,13.285820301622152
2008,3,9.430898455902934
2008,4,10.578828128054738
2009,1,7.830696696140727
2009,2,5.021706330397772
2009,3,5.751289057545364
2009,4,8.4649218916893
2010,1,15.880286861638554
2010,2,20.92059525989351
2010,3,21.86824218928814
2010,4,26.635078132152557
2011,1,24.799677479651667
2011,2,23.37464281869313
2011,3,19.28785153478384
2011,4,19.081031742550078
2012,1,20.866088736441828
2012,2,22.85599204472133
2012,3,20.20480161243015
2012,4,20.878870971741215
2013,1,27.244916637738545
2013,2,31.832539059221745
2013,3,32.20078118890524
2013,4,35.030429780483246
2014,1,44.993729497565596
2014,2,43.09638892279731
2014,3,46.41253919899464
2014,4,55.341523468494415
2015,1,67.73249987305188
2015,2,58.02904757242354
2015,3,56.48851554095745
2015,4,57.721679612994194
2016,1,53.013934385581095
2016,2,47.45347656309605
2016,3,48.022851556539536
2016,4,63.63460334898934
2017,1,72.27004026597545
2017,2,75.48555570935446
2017,3,66.70492055681017
2017,4,62.36404777708508
2018,1,69.0605330389054
2018,2,69.52570298314095
2018,3,82.35956355503627
2018,4,87.9742856404138
2019,1,84.44934404091757
2019,2,84.62829347640749
2019,3,88.4060155749321
2019,4,89.86940480792333
