fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,976000000,2812000000,1836000000,925000000,211000000,129000000,None,2628000000,23000000,-27000000,4000000,27000000,2839000000,-6000000,None,113000000,193000000,54000000,27000000,139000000,144000000,211000000,497000000,139000000
2023-06-30,USD,1131000000,2817000000,1686000000,794000000,337000000,138000000,None,2501000000,22000000,-21000000,22000000,21000000,2838000000,-7000000,None,201000000,325000000,85000000,21000000,240000000,240000000,337000000,538000000,240000000
2023-03-31,USD,450000000,2175000000,1725000000,876000000,-186000000,113000000,None,2382000000,17000000,-21000000,4000000,21000000,2196000000,-9000000,None,8000000,-199000000,-57000000,21000000,-142000000,-119000000,-186000000,-114000000,-142000000
2022-12-31,USD,-179000000,2555000000,2734000000,883000000,23000000,1037000000,None,2456000000,18000000,-32000000,18000000,32000000,None,12000000,None,105000000,35000000,13000000,32000000,22000000,-38000000,23000000,167000000,22000000
2022-09-30,USD,715000000,2800000000,2085000000,1114000000,62000000,130000000,None,2766000000,17000000,-28000000,11000000,28000000,2828000000,14000000,None,104000000,65000000,25000000,28000000,40000000,20000000,62000000,338000000,40000000
2022-06-30,USD,731000000,2635000000,1904000000,985000000,187000000,134000000,None,2471000000,11000000,-23000000,11000000,23000000,2658000000,10000000,None,104000000,185000000,46000000,23000000,139000000,123000000,187000000,354000000,139000000
2022-03-31,USD,398000000,1656000000,1258000000,558000000,-202000000,94000000,None,1883000000,7000000,-25000000,7000000,25000000,1681000000,14000000,None,21000000,-206000000,-63000000,25000000,-143000000,-173000000,-202000000,-106000000,-143000000
2021-12-31,USD,-134000000,1991000000,2125000000,633000000,39000000,853000000,None,1860000000,6000000,-36000000,19000000,36000000,None,9000000,None,100000000,29000000,11000000,36000000,18000000,238000000,39000000,50000000,18000000
2021-09-30,USD,676000000,1926000000,1250000000,581000000,258000000,91000000,None,1695000000,6000000,-27000000,6000000,27000000,1953000000,8000000,None,99000000,245000000,51000000,27000000,194000000,199000000,258000000,263000000,194000000
2021-06-30,USD,485000000,1527000000,1042000000,480000000,549000000,75000000,None,978000000,6000000,-39000000,6000000,39000000,1527000000,9000000,None,98000000,528000000,131000000,39000000,397000000,404000000,567000000,537000000,397000000
2021-03-31,USD,-167000000,797000000,964000000,394000000,-161000000,66000000,None,958000000,7000000,-32000000,7000000,32000000,797000000,10000000,None,97000000,-173000000,-42000000,32000000,-131000000,-131000000,-141000000,-115000000,-131000000
2020-12-31,USD,-674000000,808000000,1482000000,321000000,-595000000,760000000,None,1403000000,8000000,-42000000,8000000,42000000,None,1000000,None,100000000,-643000000,-196000000,42000000,-447000000,-491000000,-595000000,-436000000,-447000000
2020-09-30,USD,-491000000,701000000,1192000000,308000000,-571000000,66000000,None,1272000000,7000000,-30000000,23000000,30000000,701000000,5000000,None,105000000,-589000000,-158000000,30000000,-431000000,-423000000,-571000000,-115000000,-431000000
2020-06-30,USD,-288000000,421000000,709000000,216000000,-288000000,20000000,None,709000000,7000000,-16000000,1000000,17000000,None,6000000,None,107000000,-291000000,-77000000,16000000,-214000000,-190000000,-274000000,-205000000,-214000000
2020-03-31,USD,218000000,1636000000,1418000000,596000000,-321000000,62000000,None,1957000000,9000000,-10000000,3000000,13000000,None,5000000,None,108000000,-317000000,-85000000,10000000,-232000000,-249000000,-304000000,-144000000,-232000000
2019-12-31,USD,-3000000,2228000000,2231000000,697000000,252000000,891000000,None,1976000000,11000000,-18000000,11000000,18000000,None,-6000000,None,106000000,243000000,62000000,18000000,181000000,137000000,261000000,262000000,181000000
2019-09-30,USD,942000000,2389000000,1447000000,711000000,422000000,123000000,None,1967000000,11000000,-18000000,11000000,18000000,None,-3000000,None,106000000,416000000,94000000,18000000,322000000,323000000,434000000,435000000,322000000
2019-06-30,USD,885000000,2288000000,1403000000,697000000,364000000,131000000,None,1924000000,11000000,-20000000,11000000,20000000,None,-7000000,None,105000000,351000000,89000000,20000000,262000000,273000000,371000000,376000000,262000000
2019-03-31,USD,551000000,1876000000,1325000000,635000000,25000000,107000000,None,1851000000,9000000,-22000000,9000000,22000000,None,-10000000,None,106000000,6000000,2000000,22000000,4000000,19000000,28000000,50000000,4000000
2018-12-31,USD,331000000,2064000000,1733000000,749000000,46000000,403000000,None,2018000000,9000000,-20000000,None,20000000,None,-3000000,None,108000000,36000000,13000000,20000000,23000000,3000000,56000000,92000000,23000000
2018-09-30,USD,640000000,2212000000,1572000000,730000000,297000000,271000000,None,1915000000,11000000,-22000000,None,22000000,None,-7000000,None,99000000,284000000,67000000,22000000,217000000,224000000,306000000,323000000,217000000
2018-06-30,USD,648000000,2156000000,1508000000,662000000,271000000,263000000,None,1885000000,10000000,-25000000,None,25000000,None,-1000000,None,97000000,259000000,66000000,25000000,193000000,198000000,284000000,319000000,193000000
2018-03-31,USD,325000000,1832000000,1483000000,710000000,29000000,767000000,None,1803000000,8000000,-24000000,None,24000000,None,-12000000,None,94000000,6000000,2000000,24000000,4000000,6000000,30000000,56000000,4000000
2017-12-31,USD,-7419000000,1942000000,1525000000,638000000,137000000,857000000,None,1805000000,9000000,-26000000,None,26000000,None,2000000,None,97000000,126000000,-189000000,26000000,373000000,225000000,152000000,197000000,315000000
2017-09-30,USD,747000000,2110000000,1347000000,612000000,427000000,711000000,None,1683000000,9000000,-26000000,None,26000000,None,2000000,None,95000000,417000000,158000000,26000000,266000000,263000000,443000000,472000000,259000000
2017-06-30,USD,801000000,2102000000,1275000000,562000000,487000000,689000000,None,1615000000,9000000,-26000000,None,26000000,None,0,None,90000000,474000000,181000000,26000000,296000000,298000000,500000000,525000000,293000000
2017-03-31,USD,453000000,1740000000,1271000000,564000000,157000000,667000000,None,1583000000,7000000,-25000000,None,25000000,None,-1000000,None,90000000,142000000,49000000,25000000,99000000,99000000,167000000,213000000,93000000
2016-12-31,USD,-5435000000,1551000000,1061000000,393000000,198000000,587000000,None,1320000000,7000000,-22000000,None,22000000,None,15000000,None,82000000,202000000,105000000,22000000,114000000,76000000,224000000,330000000,97000000
2016-09-30,USD,683000000,1555000000,872000000,370000000,400000000,480000000,None,1166000000,7000000,-11000000,None,11000000,None,0,None,101000000,402000000,146000000,11000000,256000000,259000000,413000000,429000000,256000000
2016-06-30,USD,700000000,1485000000,785000000,321000000,418000000,450000000,None,1076000000,7000000,-9000000,None,9000000,None,-3000000,None,92000000,420000000,160000000,9000000,260000000,267000000,429000000,436000000,260000000
2016-03-31,USD,561000000,1334000000,773000000,307000000,290000000,466000000,None,1057000000,6000000,-13000000,None,13000000,None,1000000,None,88000000,292000000,108000000,13000000,184000000,193000000,305000000,297000000,184000000
2015-12-31,USD,-864000000,0,864000000,349000000,255000000,515000000,None,1122000000,5000000,-10000000,None,10000000,None,0,None,84000000,259000000,68000000,10000000,-26000000,191000000,269000000,292000000,191000000
