fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,6677000000,15279000000,8602000000,3746000000,1984000000,1035000000,None,2620000000,None,-196000000,402000000,196000000,15475000000,13000000,None,594000000,1521000000,413000000,13000000,1108000000,1157000000,1984000000,1936000000,1108000000
2023-06-30,USD,7082000000,15346000000,8264000000,3265000000,2491000000,1246000000,None,2769000000,None,-203000000,75000000,203000000,15549000000,-9000000,None,503000000,2317000000,490000000,29000000,1827000000,1872000000,2491000000,2994000000,1827000000
2023-03-31,USD,5099000000,12510000000,7411000000,3392000000,-277000000,572000000,None,2145000000,None,-227000000,105000000,227000000,12737000000,-41000000,None,564000000,-506000000,-143000000,22000000,-363000000,-316000000,-277000000,185000000,-363000000
2022-12-31,USD,5721000000,13197000000,7476000000,3547000000,1470000000,928000000,None,2352000000,None,-238000000,420000000,238000000,13435000000,4000000,None,506000000,1120000000,291000000,45000000,829000000,1974000000,1470000000,1976000000,829000000
2022-09-30,USD,5922000000,13693000000,7771000000,4011000000,1456000000,783000000,None,2150000000,None,-248000000,489000000,248000000,13941000000,-40000000,None,538000000,962000000,267000000,34000000,695000000,757000000,1456000000,2103000000,695000000
2022-06-30,USD,6156000000,13514000000,7358000000,3896000000,1519000000,580000000,None,1807000000,None,-269000000,502000000,269000000,13783000000,-28000000,None,510000000,1033000000,298000000,41000000,735000000,798000000,1519000000,2102000000,735000000
2022-03-31,USD,3271000000,9049000000,5778000000,2718000000,-783000000,312000000,None,1468000000,None,-274000000,421000000,274000000,9323000000,-44000000,None,530000000,-1200000000,-260000000,25000000,-940000000,-881000000,-783000000,-253000000,-940000000
2021-12-31,USD,4040000000,9152000000,5112000000,2236000000,263000000,570000000,None,1791000000,None,-265000000,694000000,265000000,9417000000,-24000000,None,504000000,-395000000,13000000,108000000,-408000000,1262000000,263000000,841000000,-408000000
2021-09-30,USD,3569000000,8657000000,5088000000,2181000000,2205000000,308000000,None,1332000000,None,-314000000,586000000,314000000,8971000000,-15000000,None,129000000,1532000000,320000000,183000000,1212000000,1294000000,2205000000,2334000000,1212000000
2021-06-30,USD,2179000000,6788000000,4609000000,2051000000,816000000,222000000,None,1130000000,None,-338000000,127000000,338000000,7126000000,-6000000,None,501000000,776000000,124000000,26000000,652000000,730000000,816000000,1412000000,652000000
