fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,412000000,2324000000,1912000000,887000000,-156000000,80000000,None,631000000,None,-29000000,24000000,29000000,2353000000,11000000,138000000,155000000,-174000000,-21000000,29000000,-153000000,-143000000,-156000000,10000000,-153000000
2023-06-30,USD,785000000,2590000000,1805000000,796000000,235000000,82000000,None,613000000,None,-24000000,23000000,24000000,2614000000,1000000,139000000,155000000,216000000,78000000,24000000,138000000,137000000,235000000,395000000,138000000
2023-03-31,USD,374000000,2299000000,1925000000,957000000,-242000000,76000000,None,584000000,None,-29000000,17000000,29000000,2328000000,2000000,137000000,151000000,-266000000,-74000000,29000000,-192000000,-197000000,-242000000,-86000000,-192000000
2022-12-31,USD,464000000,2364000000,1900000000,963000000,43000000,103000000,None,590000000,None,-30000000,15000000,30000000,2416000000,-2000000,None,150000000,6000000,-18000000,30000000,24000000,29000000,43000000,186000000,24000000
2022-09-30,USD,640000000,2529000000,1889000000,986000000,139000000,81000000,None,571000000,None,-33000000,11000000,33000000,2562000000,-1000000,134000000,147000000,105000000,48000000,33000000,57000000,54000000,139000000,285000000,57000000
2022-06-30,USD,409000000,2413000000,2004000000,1086000000,-113000000,78000000,None,571000000,None,-32000000,8000000,32000000,2445000000,-1000000,132000000,145000000,-151000000,37000000,32000000,-188000000,-189000000,-113000000,26000000,-188000000
2022-03-31,USD,89000000,1706000000,1617000000,729000000,-367000000,57000000,None,534000000,None,-33000000,4000000,33000000,1739000000,0,130000000,143000000,-398000000,-143000000,33000000,-255000000,-256000000,-367000000,-222000000,-255000000
2021-12-31,USD,1834000000,1834000000,1507000000,644000000,-119000000,81000000,None,535000000,None,-32000000,2000000,32000000,1834000000,0,None,142000000,-163000000,-34000000,82000000,-119000000,-129000000,-119000000,11000000,-129000000
2021-09-30,USD,554000000,2024000000,1470000000,650000000,186000000,60000000,None,497000000,None,-39000000,None,39000000,2026000000,-12000000,127000000,140000000,190000000,60000000,39000000,130000000,130000000,186000000,369000000,130000000
2021-06-30,USD,155000000,1448000000,1293000000,536000000,147000000,47000000,None,441000000,None,-51000000,39000000,51000000,1499000000,-40000000,121000000,133000000,57000000,-7000000,51000000,64000000,64000000,147000000,241000000,64000000
2021-03-31,USD,-324000000,678000000,1002000000,333000000,-294000000,23000000,None,358000000,None,-55000000,2000000,55000000,733000000,-3000000,117000000,125000000,-347000000,-100000000,55000000,-247000000,-247000000,-294000000,-167000000,-247000000
2020-12-31,USD,661000000,661000000,929000000,260000000,-454000000,54000000,None,399000000,None,-57000000,None,57000000,661000000,-3000000,None,128000000,-512000000,-139000000,57000000,-454000000,-371000000,-454000000,-327000000,-373000000
2020-09-30,USD,-403000000,439000000,842000000,209000000,-516000000,24000000,None,424000000,None,-53000000,None,53000000,492000000,-9000000,119000000,127000000,-578000000,-185000000,53000000,-393000000,-392000000,-516000000,-398000000,-393000000
2020-06-30,USD,-554000000,178000000,732000000,107000000,-410000000,8000000,None,272000000,None,-37000000,3000000,37000000,215000000,-3000000,128000000,140000000,-450000000,-130000000,37000000,-320000000,-317000000,-410000000,-273000000,-320000000
2020-03-31,USD,73000000,1566000000,1493000000,498000000,-334000000,53000000,None,663000000,None,-22000000,2000000,22000000,1588000000,2000000,None,139000000,-354000000,-86000000,22000000,-268000000,-276000000,-334000000,-193000000,-268000000
2019-12-31,USD,2031000000,2031000000,1425000000,590000000,227000000,106000000,None,519000000,None,-11000000,11000000,11000000,2031000000,11000000,125000000,140000000,220000000,59000000,11000000,227000000,164000000,227000000,371000000,161000000
2019-09-30,USD,679000000,2089000000,1410000000,622000000,247000000,74000000,None,479000000,None,-18000000,6000000,18000000,2101000000,21000000,120000000,134000000,254000000,67000000,18000000,187000000,185000000,272000000,406000000,187000000
2019-06-30,USD,682000000,2090000000,1408000000,630000000,250000000,75000000,None,479000000,None,-19000000,2000000,19000000,2105000000,2000000,116000000,127000000,236000000,57000000,19000000,179000000,181000000,255000000,382000000,179000000
2019-03-31,USD,509000000,1851000000,1342000000,577000000,76000000,66000000,None,476000000,None,-20000000,1000000,20000000,1871000000,-1000000,None,124000000,58000000,16000000,20000000,42000000,44000000,78000000,202000000,42000000
2018-12-31,USD,1968000000,1968000000,1713000000,601000000,216000000,439000000,None,830000000,None,-38000000,18000000,56000000,1968000000,2000000,112000000,124000000,200000000,30000000,38000000,238000000,166000000,216000000,380000000,170000000
2018-09-30,USD,617000000,1985000000,1368000000,656000000,78000000,72000000,None,474000000,None,-23000000,-5000000,18000000,2008000000,6000000,106000000,120000000,68000000,18000000,23000000,50000000,51000000,86000000,206000000,50000000
2018-06-30,USD,601000000,1906000000,1305000000,624000000,-152000000,75000000,None,455000000,None,-22000000,-6000000,16000000,1928000000,3000000,104000000,114000000,-162000000,-41000000,22000000,-120000000,-121000000,-146000000,-32000000,-121000000
2018-03-31,USD,2262000000,3486000000,1224000000,541000000,125000000,566000000,None,943000000,None,-22000000,-6000000,16000000,1754000000,2000000,None,111000000,113000000,23000000,22000000,88000000,90000000,129000000,240000000,90000000
2017-12-31,USD,1756000000,1756000000,1485000000,490000000,190000000,877000000,None,1237000000,None,-37000000,None,37000000,1758000000,1000000,100000000,96000000,177000000,-495000000,37000000,189000000,666000000,190000000,310000000,672000000
2017-09-30,USD,2478000000,3603000000,1125000000,477000000,314000000,534000000,None,877000000,None,-23000000,None,23000000,1818000000,3000000,99000000,114000000,297000000,116000000,23000000,179000000,185000000,320000000,434000000,181000000
2017-06-30,USD,2569000000,3660000000,1091000000,450000000,347000000,532000000,None,872000000,None,-24000000,None,24000000,1836000000,None,94000000,109000000,325000000,118000000,24000000,211000000,202000000,349000000,458000000,207000000
2017-03-31,USD,2108000000,3183000000,1075000000,444000000,142000000,526000000,None,861000000,None,-25000000,None,25000000,1600000000,2000000,None,105000000,121000000,39000000,25000000,85000000,74000000,146000000,251000000,82000000
2016-12-31,USD,1641000000,1641000000,1287000000,399000000,296000000,784000000,None,1104000000,None,-43000000,None,43000000,None,2000000,89000000,104000000,254000000,82000000,43000000,296000000,143000000,296000000,401000000,172000000
2016-09-30,USD,2434000000,3436000000,1002000000,419000000,354000000,481000000,None,806000000,None,-28000000,None,28000000,None,2000000,86000000,102000000,330000000,131000000,28000000,199000000,193000000,358000000,460000000,199000000
2016-06-30,USD,2281000000,3258000000,977000000,394000000,313000000,487000000,None,796000000,None,-28000000,None,28000000,None,2000000,83000000,96000000,289000000,108000000,28000000,180000000,200000000,317000000,413000000,181000000
2016-03-31,USD,2285000000,3203000000,918000000,328000000,349000000,499000000,None,804000000,None,-29000000,None,29000000,None,1000000,None,91000000,323000000,116000000,29000000,199000000,207000000,352000000,443000000,207000000
2015-12-31,USD,1594000000,1594000000,1265000000,408000000,330000000,764000000,None,1035000000,None,-47000000,None,47000000,None,1000000,78000000,93000000,303000000,113000000,47000000,330000000,205000000,330000000,443000000,190000000
2015-09-30,USD,2337000000,3342000000,1005000000,463000000,351000000,458000000,None,741000000,None,-32000000,None,32000000,None,1000000,72000000,84000000,322000000,124000000,32000000,198000000,204000000,354000000,438000000,198000000
