fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,81165000,237473000,156308000,75159000,19006000,8608000,None,8608000,2480000,-11403000,2480000,11403000,248876000,-15000,None,22762000,10068000,2477000,11403000,7591000,7749000,21471000,21471000,7591000
2023-06-30,USD,94905000,249847000,154942000,66101000,35587000,12922000,None,12922000,2545000,-11239000,2545000,11239000,261086000,-143000,None,22355000,26750000,6132000,11239000,20618000,20372000,37989000,37989000,20618000
2023-03-31,USD,114305000,285485000,171180000,85821000,55783000,9929000,None,9929000,2741000,-8630000,2741000,8630000,294115000,-212000,None,19460000,49682000,11354000,8630000,38328000,38717000,58312000,58312000,38328000
2022-12-31,USD,43163000,219233000,176070000,76400000,15116000,10491000,None,31602000,2361000,-7921000,2361000,7921000,227154000,-79000,None,18277000,9477000,2193000,7921000,7284000,7259000,17398000,17398000,7284000
2022-09-30,USD,69001000,214207000,145206000,79718000,15391000,6827000,None,6827000,1610000,-7493000,1610000,7493000,221700000,3422000,None,17182000,12930000,2253000,7493000,10677000,10115000,20423000,20423000,10677000
2022-06-30,USD,55192000,212025000,156833000,88654000,3369000,7881000,None,7881000,532000,-7042000,532000,7042000,219067000,-1702000,None,16854000,-4843000,-921000,7042000,-3922000,-4142000,2199000,2199000,-3922000
2022-03-31,USD,70145000,216406000,146261000,78016000,21833000,8628000,None,8626000,24000,-8562000,24000,8562000,224968000,-6876000,None,15328000,6419000,2782000,10119000,3637000,3637000,14981000,30309000,3637000
2021-12-31,USD,172552000,172552000,130061000,53913000,10867000,11220000,None,162312000,33000,-6839000,33000,6839000,172552000,-3881000,None,14916000,36000,638000,6839000,10867000,-1086000,6875000,7018000,-602000
2021-09-30,USD,65842000,167377000,101535000,52641000,21321000,5470000,None,152342000,28000,-6286000,28000,6286000,173663000,456000,None,14028000,15519000,2140000,6286000,13903000,13379000,21805000,36517000,13379000
2021-06-30,USD,52695000,143109000,90414000,42276000,49789000,5822000,None,99400000,9000,-6080000,9000,6080000,149189000,18054000,None,13460000,61772000,9595000,6080000,51753000,52177000,67852000,82065000,52177000
2021-03-31,USD,32647000,120490000,87843000,38658000,24933000,5110000,None,-3619000,15000,-7121000,15000,7121000,127611000,-5000,None,12615000,22184000,5406000,7121000,12416000,16778000,29305000,-1928000,16778000
2020-12-31,USD,13143000,107807000,94664000,94664000,-4428000,3447000,None,17543000,None,-5821000,37000,5858000,None,-40000,None,12455000,-10290000,-2248000,None,-8042000,None,-4432000,8052000,-8042000
2020-09-30,USD,-10667000,77973000,88640000,88640000,8817000,2921000,None,-19497000,None,-5131000,26000,5157000,None,164000,None,12929000,3850000,923000,None,2927000,None,9007000,21949000,2927000
2020-06-30,USD,-22601000,35376000,57977000,57977000,-2234000,1630000,None,-20402000,None,-5379000,63000,5442000,None,-325000,None,12175000,-7938000,-1898000,None,-6040000,None,-2496000,9714000,-6040000
2020-03-31,USD,38235000,180330000,142095000,142095000,15230000,8572000,None,23005000,None,-5365000,251000,5616000,None,-169000,None,10527000,9696000,2445000,None,7251000,None,15312000,25839000,7251000
