fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-09-30,2023-11-14,-0.64,0.05,-0.69,-1380
2023-06-30,2023-08-10,-0.81,-0.61,-0.2,-32.7869
2023-03-31,2023-05-15,-0.99,-0.34,-0.65,-191.1765
2022-12-31,2023-03-06,-0.83,-0.47,-0.36,-76.5957
2022-09-30,2022-11-10,-0.71,-0.59,-0.12,-20.339
2022-06-30,2022-08-11,-0.94,-0.86,-0.08,-9.3023
2022-03-31,2022-05-09,-1.14,-1.05,-0.09,-8.5714
2021-12-31,2022-02-24,-0.59,-0.49,-0.1,-20.4082
2021-09-30,2021-11-11,-1.08,-1.17,0.09,7.6923
2021-06-30,2021-08-12,-0.36,-1.51,1.15,76.1589
2021-03-31,2021-05-06,-0.33,-1.07,0.74,69.1589
2020-12-31,2021-03-04,-0.28,-1.03,0.75,72.8155
2020-09-30,2020-11-16,-0.37,-1.17,0.8,68.3761
2020-06-30,2020-08-13,-0.44,-1.2,0.76,63.3333
2020-03-31,2020-05-14,-0.36,0.11,-0.47,-427.2727
2019-12-31,2020-03-12,0.93,0.88,0.05,5.6818
2019-09-30,2019-11-07,0.92,0.67,0.25,37.3134
2019-06-30,2019-08-08,0.78,0.18,0.6,333.3333
2019-03-31,2019-05-09,0.31,0.39,-0.08,-20.5128
2018-12-31,2019-03-14,0.32,0.38,-0.06,-15.7895
2018-09-30,2018-11-08,0.26,0.21,0.05,23.8095
2018-06-30,2018-08-09,0.57,-0.32,0.89,278.125
2018-03-31,2018-05-10,0.57,0.3,0.27,90
2017-12-31,2018-03-08,0.83,0.3,0.53,176.6667
2017-09-30,2017-11-09,0.57,0.26,0.31,119.2308
2017-06-30,2017-08-14,-0.09,0.01,-0.1,-1000
2017-03-31,2017-04-11,0.2,-0.08,0.28,350
