fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-09-30,2023-11-15,4.39,3.8,0.59,15.5263
2023-06-30,2023-08-09,3.92,3.36,0.56,16.6667
2023-03-31,2023-05-10,3.99,3.41,0.58,17.0088
2022-12-31,2023-02-15,4.49,4.04,0.45,11.1386
2022-09-30,2022-11-16,2.91,2.72,0.19,6.9853
2022-06-30,2022-08-03,0.32,0.3,0.02,6.6667
2022-03-31,2022-05-11,0.7,0.33,0.37,112.1212
2021-12-31,2022-02-09,1.98,1.52,0.46,30.2632
2021-09-30,2021-11-17,0.7,-0.24,0.94,391.6667
2021-06-30,2021-08-04,-0.38,-1.15,0.77,66.9565
2021-03-31,2021-05-05,-2.23,-2.42,0.19,7.8512
2020-12-31,2021-02-10,-2,-2.15,0.15,6.9767
2020-09-30,2020-11-18,-2.86,-2.74,-0.12,-4.3796
2020-06-30,2020-08-05,-2.7,-3.56,0.86,24.1573
2020-03-31,2020-05-06,1.75,1.8,-0.05,-2.7778
2019-12-31,2020-02-12,2.17,1.98,0.19,9.596
2019-09-30,2019-11-13,2.45,2.23,0.22,9.8655
2019-06-30,2019-08-07,1.2,1.08,0.12,11.1111
2019-03-31,2019-05-08,2.11,1.54,0.57,37.013
2018-12-31,2019-02-13,1.04,1.15,-0.11,-9.5652
2018-09-30,2018-11-14,1.36,1.43,-0.07,-4.8951
2018-06-30,2018-08-08,1.18,1.31,-0.13,-9.9237
2018-03-31,2018-05-09,3.22,2.8,0.42,15
2017-12-31,2018-02-21,2.36,2.33,0.03,1.2876
2017-09-30,2017-11-08,2.38,2.21,0.17,7.6923
2017-06-30,2017-08-09,1.48,1.49,-0.01,-0.6711
2017-03-31,2017-05-10,2.43,2.33,0.1,4.2918
2016-12-31,2017-02-15,1.42,1.41,0.01,0.7092
2016-09-30,2016-11-08,1.3,1.3,0,0
2016-06-30,2016-08-03,0.51,0.32,0.19,59.375
2016-03-31,2016-05-05,1.66,1.46,0.2,13.6986
2015-12-31,2016-02-17,0.73,0.63,0.1,15.873
2015-09-30,2015-11-12,0.85,0.83,0.02,2.4096
2015-06-30,2015-08-12,0.93,1.05,-0.12,-11.4286
2015-03-31,2015-05-06,2.41,2.36,0.05,2.1186
2014-12-31,2015-02-11,2.83,2.03,0.8,39.4089
2014-09-30,2014-11-19,2.25,1.98,0.27,13.6364
2014-06-30,2014-08-06,2.61,2.2,0.41,18.6364
2014-03-31,2014-05-07,3.46,3.11,0.35,11.254
2013-12-31,2014-02-12,3.21,2.57,0.64,24.9027
2013-09-30,2013-11-12,2.62,2.59,0.03,1.1583
2013-06-30,2013-08-07,1.92,1.71,0.21,12.2807
2013-03-31,2013-05-13,2.8,2.3,0.5,21.7391
2012-12-31,2013-02-06,2.01,2.22,-0.21,-9.4595
2012-09-30,2012-11-07,2.2,2.17,0.03,1.3825
2012-06-30,2012-08-08,1.32,1.34,-0.02,-1.4925
2012-03-31,2012-05-09,2.04,2.03,0.01,0.4926
2011-12-31,2012-02-08,1.93,1.95,-0.02,-1.0256
2011-09-30,2011-11-08,2.03,1.65,0.38,23.0303
2011-06-30,2011-08-03,1.28,0.99,0.29,29.2929
2011-03-31,2011-05-04,1.86,1.4,0.46,32.8571
2010-12-31,2011-02-10,2.11,1.66,0.45,27.1084
2010-09-30,2010-11-11,1.45,1.24,0.21,16.9355
2010-06-30,2010-08-11,0.42,0.66,-0.24,-36.3636
2010-03-31,2010-05-05,0.84,0.97,-0.13,-13.4021
2009-12-31,2010-02-10,1.61,1.09,0.52,47.7064
2009-09-30,2009-11-12,0.99,1,-0.01,-1
2009-06-30,2009-08-05,1.26,0.64,0.62,96.875
2009-03-31,2009-05-06,1.65,0.93,0.72,77.4194
2008-12-31,2009-02-19,1.2,1.12,0.08,7.1429
2008-09-30,2008-11-13,0.7,0.69,0.01,1.4493
2008-06-30,2008-08-14,0.7,0.59,0.11,18.6441
2008-03-31,2008-05-08,0.91,0.89,0.02,2.2472
2007-12-31,2008-02-21,0.79,0.87,-0.08,-9.1954
2007-09-30,2007-11-15,1.08,0.89,0.19,21.3483
2007-06-30,2007-08-15,0.71,0.67,0.04,5.9701
2007-03-31,2007-05-16,1.12,0.99,0.13,13.1313
2006-12-31,2007-03-07,0.97,0.91,0.06,6.5934
2006-09-30,2006-11-15,0.87,0.79,0.08,10.1266
2006-06-30,2006-08-16,0.53,0.44,0.09,20.4545
2006-03-31,2006-05-17,0.75,0.52,0.23,44.2308
2005-12-31,2006-03-30,0.41,0.63,-0.22,-34.9206
