fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-09-30,2023-11-06,-1.27,0.06,-1.33,-2216.6667
2023-06-30,2023-07-27,0.54,-0.07,0.61,871.4286
2023-03-31,2023-04-26,0.57,0.01,0.56,5600
2022-12-31,2023-03-08,0.21,-0.17,0.38,223.5294
2022-09-30,2022-10-27,-1.41,-0.24,-1.17,-487.5
2022-06-30,2022-07-27,-2.6,-0.56,-2.04,-364.2857
2022-03-31,2022-04-28,2.3,-0.17,2.47,1452.9412
2021-12-31,2022-03-14,-2.54,-0.59,-1.95,-330.5085
2021-09-30,2021-11-09,-2.44,-0.93,-1.51,-162.3656
2021-06-30,2021-07-29,0.61,-0.85,1.46,171.7647
2021-03-31,2021-04-29,-2.59,-0.72,-1.87,-259.7222
2020-12-31,2021-03-18,0.02,-0.45,0.47,104.4444
2020-09-30,2020-11-04,-1.8,-0.68,-1.12,-164.7059
2020-06-30,2020-07-31,-2.09,-0.91,-1.18,-129.6703
2020-03-31,2020-05-04,-2.88,0.22,-3.1,-1409.0909
2019-12-31,2020-02-25,0.44,0.82,-0.38,-46.3415
2019-09-30,2019-11-01,-1.36,-0.13,-1.23,-946.1538
2019-06-30,2019-08-01,-0.28,-0.09,-0.19,-211.1111
2019-03-31,2019-05-06,0.01,0.3,-0.29,-96.6667
2018-12-31,2019-02-28,0.01,0.6,-0.59,-98.3333
2018-09-30,2018-11-01,-0.59,-0.16,-0.43,-268.75
2018-06-30,2018-08-02,-2.11,-0.36,-1.75,-486.1111
2018-03-31,2018-05-09,0.26,0.34,-0.08,-23.5294
2017-12-31,2018-03-06,0.01,0.24,-0.23,-95.8333
2017-09-30,2017-11-08,0.6,0.21,0.39,185.7143
2017-06-30,2017-08-09,-0.17,-0.16,-0.01,-6.25
2017-03-31,2017-05-10,0.3,0.13,0.17,130.7692
2016-12-31,2017-02-17,-0.05,0.06,-0.11,-183.3333
2016-09-30,2016-11-06,-0.0313,-0.03,-0.0013,-4.3333
2016-06-30,2016-08-16,0.01,-0.27,0.28,103.7037
2016-03-31,2016-05-12,0.1,-0.15,0.25,166.6667
2015-12-31,2016-03-29,-1.8,-0.35,-1.45,-414.2857
2015-09-30,2015-11-11,-0.24,-0.18,-0.06,-33.3333
2015-06-30,2015-08-14,-0.05,-0.57,0.52,91.2281
2015-03-31,2015-05-12,-1.78,-0.06,-1.72,-2866.6667
2014-12-31,2015-03-30,-1.89,-0.14,-1.75,-1250
2014-09-30,2014-11-12,-0.86,-0.11,-0.75,-681.8182
2014-06-30,2014-08-12,-0.56,-0.14,-0.42,-300
2014-03-31,2014-05-15,-0.4,0.01,-0.41,-4100
2013-12-31,2014-03-25,-0.16,-0.02,-0.14,-700
2013-09-30,2013-11-12,-0.7,-0.19,-0.51,-268.4211
2013-06-30,2013-08-13,-1.62,-0.65,-0.97,-149.2308
2013-03-31,2013-05-13,-0.28,-0.05,-0.23,-460
2012-12-31,2013-03-25,-0.9,-0.41,-0.49,-119.5122
2012-09-30,2012-11-16,-1.12,-0.5,-0.62,-124
2012-06-30,2012-08-14,-2.72,-1.06,-1.66,-156.6038
2012-03-31,2012-04-20,-0.18,-0.11,-0.07,-63.6364
2011-12-31,2012-03-27,0.38,0.03,0.35,1166.6667
2011-09-30,2011-11-10,-2.34,-1.12,-1.22,-108.9286
2011-06-30,2011-08-11,-1.66,-0.38,-1.28,-336.8421
2011-03-31,2011-05-10,0.5,0.59,-0.09,-15.2542
2010-12-31,2011-02-23,0.46,0.6,-0.14,-23.3333
2010-09-30,2010-11-11,0.46,0.42,0.04,9.5238
2010-06-30,2010-08-10,-0.22,0.05,-0.27,-540
2010-03-31,2010-05-11,0.2,0.29,-0.09,-31.0345
2009-12-31,2010-03-11,1.72,0.34,1.38,405.8824
2009-09-30,2009-11-09,0.36,0.58,-0.22,-37.931
2009-06-30,2009-08-11,1.54,0.34,1.2,352.9412
2009-03-31,2009-05-14,0.26,-0.04,0.3,750
2008-12-31,2009-03-20,-3,-0.19,-2.81,-1478.9474
2008-09-30,2008-11-16,-1.76,-0.68,-1.08,-158.8235
2008-06-30,2008-08-12,-1.04,-1.12,0.08,7.1429
2008-03-31,2008-04-30,-0.02,0.01,-0.03,-300
2007-12-31,2008-02-14,-0.14,0.41,-0.55,-134.1463
2007-09-30,2007-11-07,0.22,0.22,0,0
2007-06-30,2007-08-09,-0.18,-0.25,0.07,28
2007-03-31,2007-04-19,0.58,0.49,0.09,18.3673
2006-12-31,2007-01-30,0.44,0.7,-0.26,-37.1429
2006-09-30,2006-10-31,0.9,0.91,-0.01,-1.0989
2006-06-30,2006-07-20,0.5,0.52,-0.02,-3.8462
2006-03-31,2006-04-24,0.84,0.78,0.06,7.6923
2005-12-31,2006-03-09,0.78,0.75,0.03,4
2005-09-30,2005-10-31,0.6,0.59,0.01,1.6949
2005-06-30,2005-08-02,0.31,0.33,-0.02,-6.0606
2005-03-31,2005-05-10,0.52,0.42,0.1,23.8095
2004-12-31,2005-03-08,0.47,0.44,0.03,6.8182
2004-09-30,2004-11-09,0.41,0.39,0.02,5.1282
2004-06-30,2004-08-10,0.27,0.23,0.04,17.3913
