fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-12-31,2024-01-26,-0.64,-0.15,-0.49,-326.6667
2023-09-30,2023-12-14,0,-0.15,0.15,100
2023-06-30,2023-08-09,-0.67,-0.32,-0.35,-109.375
2023-03-31,2023-05-09,-0.53,-0.27,-0.26,-96.2963
2022-12-31,2023-02-10,-0.12,-0.45,0.33,73.3333
2022-09-30,2022-12-29,-0.37,-0.35,-0.02,-5.7143
2022-06-30,2022-08-08,-0.2,-0.22,0.02,9.0909
2022-03-31,2022-05-09,-0.29,-0.31,0.02,6.4516
2021-12-31,2022-02-09,-0.26,-0.12,-0.14,-116.6667
2021-09-30,2021-12-09,-0.06,0.12,-0.18,-150
2021-06-30,2021-08-09,0.11,0.1,0.01,10
2021-03-31,2021-05-11,0.23,0.18,0.05,27.7778
2020-12-31,2021-02-09,0.36,0.03,0.33,1100
2020-09-30,2020-12-09,0.32,-0.02,0.34,1700
2020-06-30,2020-08-10,-0.74,-0.26,-0.48,-184.6154
2020-03-31,2020-05-11,0.05,-0.01,0.06,600
2019-12-31,2020-02-10,0.31,0.31,0,0
2019-09-30,2019-12-11,0.36,0.36,0,0
2019-06-30,2019-08-08,0.3,0.55,-0.25,-45.4545
2019-03-31,2019-05-09,0.46,0.52,-0.06,-11.5385
2018-12-31,2019-02-04,0.55,0.5,0.05,10
2018-09-30,2018-12-03,0.65,0.5,0.15,30
2018-06-30,2018-08-14,0.16,0.21,-0.05,-23.8095
2018-03-31,2018-05-30,0.18,0,0.18,None
2009-06-30,2009-08-10,0.07,0,0.07,None
2009-03-31,2009-05-11,-0.43,0,-0.43,None
2008-12-31,2009-01-13,-0.83,0,-0.83,None
