Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2007,6,ATL,5852,BDA,35080,AD,1148,7,1.0,0,44000.0,0.0,0.0,17842.0,0,0,0,2
2007,3,AUA,5260,MIA,57565,AD,1133,7,2.0,0,88000.0,0.0,0.0,20871.0,0,0,0,1
2007,6,BDA,35080,ATL,5852,AD,1148,7,1.0,0,44000.0,0.0,0.0,18341.0,0,0,0,2
2007,9,BQN,865,MIA,57565,AD,980,44,1.0,0,13200.0,0.0,0.0,1232.0,0,0,0,3
2007,9,CCS,16380,BQN,865,AD,543,44,1.0,0,13200.0,0.0,0.0,1232.0,0,0,0,3
2007,5,DFW,23208,SJD,80030,AD,1023,7,1.0,0,44000.0,0.0,0.0,7220.0,0,0,0,2
2006,12,FLL,29420,NAS,62890,AD,182,44,4.0,0,52800.0,0.0,0.0,42720.0,0,0,0,4
2007,8,FLL,29420,NAS,62890,AD,182,44,1.0,0,13200.0,0.0,0.0,8602.0,0,0,0,3
2006,11,FLL,29420,NAS,62890,AD,182,44,1.0,0,13200.0,0.0,0.0,11990.0,0,0,0,4
2007,6,FPO,30201,MIA,57565,AD,112,7,1.0,0,44000.0,0.0,0.0,40198.0,0,0,0,2
2007,7,HAV,35680,MIA,57565,AD,235,44,1.0,0,13200.0,0.0,0.0,660.0,0,0,0,3
2007,2,HAV,35680,MIA,57565,AD,235,44,1.0,0,13200.0,0.0,0.0,33.0,0,0,0,1
2007,1,HAV,35680,MIA,57565,AD,235,44,1.0,0,13200.0,0.0,0.0,33.0,0,0,0,1
2006,12,HAV,35680,MIA,57565,AD,235,44,2.0,0,26400.0,0.0,0.0,576.0,0,0,0,4
2006,10,HAV,35680,MIA,57565,AD,235,44,1.0,0,13200.0,0.0,0.0,1001.0,0,0,0,4
2007,9,HAV,35680,MIA,57565,AD,235,44,1.0,0,13200.0,0.0,0.0,440.0,0,0,0,3
2007,8,HAV,35680,MIA,57565,AD,235,44,2.0,0,26400.0,0.0,0.0,695.0,0,0,0,3
2007,4,IAH,37320,AUA,5260,AD,2020,7,1.0,0,44000.0,0.0,0.0,15798.0,0,0,0,2
