Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2007,2,ANC,3291,HNL,36930,HA,2777,26,8.0,0,704000.0,2073.0,1866.0,0.0,0,2801,2642,1
2007,3,ANC,3291,HNL,36930,HA,2777,26,9.0,0,792000.0,2354.0,1920.0,0.0,0,3203,3010,1
2007,8,ANC,3291,HNL,36930,HA,2777,26,8.0,0,704000.0,2085.0,1830.0,0.0,0,2809,2637,3
2007,11,ANC,3291,HNL,36930,HA,2777,26,8.0,0,704000.0,2064.0,1990.0,0.0,0,3011,2801,4
2007,1,ANC,3291,HNL,36930,HA,2777,26,9.0,0,792000.0,2359.0,2182.0,0.0,0,3529,3202,1
2007,6,ANC,3291,HNL,36930,HA,2777,26,9.0,0,792000.0,2344.0,1804.0,0.0,0,3127,2938,2
2007,9,ANC,3291,HNL,36930,HA,2777,26,6.0,0,528000.0,1574.0,1160.0,0.0,0,2167,2018,3
2007,4,ANC,3291,HNL,36930,HA,2777,26,8.0,0,704000.0,2085.0,1503.0,0.0,0,2786,2630,2
2007,10,ANC,3291,HNL,36930,HA,2777,26,4.0,0,352000.0,1020.0,963.0,0.0,0,1451,1371,4
2007,12,ANC,3291,HNL,36930,HA,2777,26,10.0,0,880000.0,2589.0,2444.0,0.0,0,3777,3510,4
2007,5,ANC,3291,HNL,36930,HA,2777,26,7.0,0,616000.0,1797.0,1535.0,0.0,0,2517,2378,2
2007,7,ANC,3291,HNL,36930,HA,2777,26,8.0,0,704000.0,2102.0,1768.0,0.0,0,2750,2578,3
2007,12,ATL,5852,SEA,82632,HA,2182,26,1.0,0,88000.0,264.0,127.0,0.0,0,309,292,4
2007,12,ATW,4350,GRB,33410,HA,25,26,1.0,0,88000.0,264.0,162.0,0.0,0,31,12,4
2007,10,BNA,62860,OAK,65420,HA,1959,26,1.0,0,88000.0,264.0,150.0,0.0,0,278,252,4
2007,11,CLE,19770,SEA,82632,HA,2021,26,1.0,0,88000.0,264.0,130.0,0.0,0,321,301,4
2007,12,CLT,17960,SEA,82632,HA,2279,26,1.0,0,88000.0,264.0,136.0,0.0,0,325,314,4
2007,9,DEN,24091,OAK,65420,HA,957,26,1.0,0,88000.0,264.0,157.0,0.0,0,154,129,3
2007,9,FLL,29420,OAK,65420,HA,2575,26,1.0,0,88000.0,264.0,159.0,0.0,0,332,318,3
2007,12,GRB,33410,OAK,65420,HA,1825,26,1.0,0,88000.0,264.0,105.0,0.0,0,265,252,4
2007,11,HNL,36930,ANC,3291,HA,2777,26,8.0,0,704000.0,2064.0,1554.0,8556.0,0,2770,2581,4
2007,8,HNL,36930,ANC,3291,HA,2777,26,8.0,0,704000.0,2085.0,1499.0,11839.0,0,2796,2641,3
2007,1,HNL,36930,ANC,3291,HA,2777,26,9.0,0,792000.0,2359.0,2132.0,12932.0,0,3051,2871,1
2007,9,HNL,36930,ANC,3291,HA,2777,26,6.0,0,528000.0,1574.0,1015.0,7712.0,0,2021,1905,3
2007,6,HNL,36930,ANC,3291,HA,2777,26,9.0,0,792000.0,2344.0,2190.0,12125.0,0,3139,2956,2
2007,2,HNL,36930,ANC,3291,HA,2777,26,8.0,0,704000.0,2073.0,1880.0,8019.0,0,2881,2707,1
2007,3,HNL,36930,ANC,3291,HA,2777,26,9.0,0,792000.0,2354.0,2189.0,10672.0,0,3337,3131,1
