Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2010,4,GDL,33790,LAX,51410,Y4,1307,98,76.0,0,6931199.0,10806.0,7386.0,0.0,0,0,0,2
2010,9,GDL,33790,LAX,51410,Y4,1307,98,92.0,0,8390402.0,13074.0,12319.0,0.0,0,0,0,3
2010,1,GDL,33790,LAX,51410,Y4,1307,98,101.0,0,9211200.0,14412.0,12415.0,0.0,0,0,0,1
2010,3,GDL,33790,LAX,51410,Y4,1307,98,65.0,0,1302928.0,9294.0,6406.0,0.0,0,0,0,1
2010,6,GDL,33790,LAX,51410,Y4,1307,98,64.0,0,5836800.0,9120.0,7618.0,0.0,0,0,0,2
2010,7,GDL,33790,LAX,51410,Y4,1307,98,93.0,0,8481601.0,13224.0,9526.0,0.0,0,0,0,3
2010,2,GDL,33790,LAX,51410,Y4,1307,98,70.0,0,6384000.0,9972.0,6615.0,0.0,0,0,0,1
2010,5,GDL,33790,LAX,51410,Y4,1307,98,62.0,0,5654400.0,8850.0,8059.0,0.0,0,0,0,2
2010,8,GDL,33790,LAX,51410,Y4,1307,94,1.0,0,125000.0,174.0,131.0,0.0,0,0,0,3
2010,8,GDL,33790,LAX,51410,Y4,1307,98,92.0,0,8390400.0,13104.0,12336.0,0.0,0,0,0,3
2009,12,GDL,33790,LAX,51410,Y4,1307,98,99.0,0,9931680.0,14172.0,8875.0,0.0,0,0,0,4
2009,11,GDL,33790,LAX,51410,Y4,1307,98,90.0,0,8207892.0,12870.0,5576.0,0.0,0,0,0,4
2009,10,GDL,33790,LAX,51410,Y4,1307,98,62.0,0,2288660.0,8850.0,6039.0,0.0,0,0,0,4
2010,1,GDL,33790,OAK,65420,Y4,1640,98,69.0,0,6292801.0,9864.0,9034.0,0.0,0,0,0,1
2010,3,GDL,33790,OAK,65420,Y4,1640,98,70.0,0,1297666.0,9996.0,6372.0,0.0,0,0,0,1
2010,6,GDL,33790,OAK,65420,Y4,1640,98,46.0,0,4195200.0,6582.0,5533.0,0.0,0,0,0,2
2010,7,GDL,33790,OAK,65420,Y4,1640,98,43.0,0,3921599.0,6114.0,5189.0,0.0,0,0,0,3
2010,2,GDL,33790,OAK,65420,Y4,1640,98,60.0,0,5472001.0,8550.0,6061.0,0.0,0,0,0,1
2010,5,GDL,33790,OAK,65420,Y4,1640,98,31.0,0,2827200.0,4428.0,4178.0,0.0,0,0,0,2
2010,9,GDL,33790,OAK,65420,Y4,1640,98,58.0,0,5289601.0,8262.0,7732.0,0.0,0,0,0,3
2010,4,GDL,33790,OAK,65420,Y4,1640,98,34.0,0,3100801.0,4848.0,4215.0,0.0,0,0,0,2
2010,8,GDL,33790,OAK,65420,Y4,1640,98,45.0,0,4104001.0,6576.0,6310.0,0.0,0,0,0,3
2009,12,GDL,33790,OAK,65420,Y4,1640,98,66.0,0,6621120.0,9408.0,5003.0,0.0,0,0,0,4
2009,10,GDL,33790,OAK,65420,Y4,1640,98,31.0,0,1140480.0,4422.0,2305.0,0.0,0,0,0,4
2009,11,GDL,33790,OAK,65420,Y4,1640,98,38.0,0,3465554.0,5388.0,2055.0,0.0,0,0,0,4
2010,5,GDL,33790,SJC,80050,Y4,1611,98,31.0,0,2827200.0,4434.0,4081.0,0.0,0,0,0,2
2010,7,GDL,33790,SJC,80050,Y4,1611,98,31.0,0,2827200.0,4422.0,3350.0,0.0,0,0,0,3
2010,6,GDL,33790,SJC,80050,Y4,1611,98,30.0,0,2735999.0,4284.0,3321.0,0.0,0,0,0,2
2010,9,GDL,33790,SJC,80050,Y4,1611,98,30.0,0,2735999.0,4278.0,3942.0,0.0,0,0,0,3
2010,8,GDL,33790,SJC,80050,Y4,1611,98,31.0,0,2827200.0,4434.0,4241.0,0.0,0,0,0,3
2010,9,LAS,48880,MTY,59300,Y4,1139,98,2.0,0,182400.0,288.0,144.0,0.0,0,0,0,3
2010,9,LAX,51410,GDL,33790,Y4,1307,98,90.0,0,8208000.0,12780.0,11488.0,0.0,0,0,0,3
2010,4,LAX,51410,GDL,33790,Y4,1307,98,76.0,0,6931199.0,10806.0,6845.0,0.0,0,0,0,2
2010,1,LAX,51410,GDL,33790,Y4,1307,98,100.0,0,9120001.0,14268.0,9503.0,0.0,0,0,0,1
2010,7,LAX,51410,GDL,33790,Y4,1307,98,93.0,0,8481601.0,13218.0,9080.0,0.0,0,0,0,3
2010,3,LAX,51410,GDL,33790,Y4,1307,98,65.0,0,1111136.0,9294.0,5448.0,0.0,0,0,0,1
2010,6,LAX,51410,GDL,33790,Y4,1307,98,65.0,0,5927999.0,9270.0,8661.0,0.0,0,0,0,2
2010,5,LAX,51410,GDL,33790,Y4,1307,98,62.0,0,5654400.0,8844.0,7559.0,0.0,0,0,0,2
2010,2,LAX,51410,GDL,33790,Y4,1307,98,69.0,0,6292801.0,9828.0,4950.0,0.0,0,0,0,1
2010,8,LAX,51410,GDL,33790,Y4,1307,98,92.0,0,8390400.0,13110.0,10998.0,0.0,0,0,0,3
2010,8,LAX,51410,GDL,33790,Y4,1307,94,1.0,0,125000.0,174.0,90.0,0.0,0,0,0,3
2009,12,LAX,51410,GDL,33790,Y4,1307,98,99.0,0,9931680.0,14172.0,12910.0,0.0,0,0,0,4
2009,10,LAX,51410,GDL,33790,Y4,1307,98,62.0,0,2260720.0,8832.0,6170.0,0.0,0,0,0,4
2009,11,LAX,51410,GDL,33790,Y4,1307,98,90.0,0,8207892.0,12876.0,6464.0,0.0,0,0,0,4
2010,1,LAX,51410,MLM,59750,Y4,1440,98,17.0,0,1550399.0,2418.0,1392.0,0.0,0,0,0,1
2010,3,LAX,51410,MLM,59750,Y4,1440,98,17.0,0,237191.0,2436.0,1158.0,0.0,0,0,0,1
2010,6,LAX,51410,MLM,59750,Y4,1440,98,16.0,0,1459201.0,2268.0,2047.0,0.0,0,0,0,2
2010,7,LAX,51410,MLM,59750,Y4,1440,98,18.0,0,1641600.0,2562.0,1966.0,0.0,0,0,0,3
2010,5,LAX,51410,MLM,59750,Y4,1440,98,18.0,0,1641600.0,2562.0,1735.0,0.0,0,0,0,2
2010,2,LAX,51410,MLM,59750,Y4,1440,98,16.0,0,1459201.0,2286.0,924.0,0.0,0,0,0,1
2010,9,LAX,51410,MLM,59750,Y4,1440,98,17.0,0,1550399.0,2400.0,1913.0,0.0,0,0,0,3
2010,4,LAX,51410,MLM,59750,Y4,1440,98,18.0,0,1641600.0,2550.0,1158.0,0.0,0,0,0,2
2009,12,LAX,51410,MLM,59750,Y4,1440,98,18.0,0,1805760.0,2580.0,2031.0,0.0,0,0,0,4
2009,11,LAX,51410,MLM,59750,Y4,1440,98,5.0,0,455994.0,714.0,319.0,0.0,0,0,0,4
2010,8,LAX,51410,MLM,59750,Y4,1440,98,18.0,0,1641600.0,2556.0,2074.0,0.0,0,0,0,3
2010,9,LAX,51410,OAK,65420,Y4,337,98,1.0,0,91201.0,144.0,98.0,0.0,0,0,0,3
2010,4,LAX,51410,TLC,90650,Y4,1527,98,24.0,0,2188800.0,3420.0,1641.0,0.0,0,0,0,2
2010,9,LAX,51410,TLC,90650,Y4,1527,98,17.0,0,1550399.0,2418.0,1742.0,0.0,0,0,0,3
2010,1,LAX,51410,TLC,90650,Y4,1527,98,38.0,0,3465601.0,5430.0,3487.0,0.0,0,0,0,1
2010,5,LAX,51410,TLC,90650,Y4,1527,98,18.0,0,1641600.0,2568.0,1731.0,0.0,0,0,0,2
2010,6,LAX,51410,TLC,90650,Y4,1527,98,16.0,0,1459201.0,2280.0,1792.0,0.0,0,0,0,2
2010,7,LAX,51410,TLC,90650,Y4,1527,98,31.0,0,2827200.0,4416.0,2940.0,0.0,0,0,0,3
2010,3,LAX,51410,TLC,90650,Y4,1527,98,10.0,0,136288.0,1434.0,665.0,0.0,0,0,0,1
2010,2,LAX,51410,TLC,90650,Y4,1527,98,20.0,0,1824000.0,2844.0,1264.0,0.0,0,0,0,1
2010,2,LAX,51410,TLC,90650,Y4,1527,94,1.0,0,125000.0,174.0,16.0,0.0,0,0,0,1
2009,12,LAX,51410,TLC,90650,Y4,1527,98,38.0,0,3812160.0,5448.0,4154.0,0.0,0,0,0,4
2009,11,LAX,51410,TLC,90650,Y4,1527,98,30.0,0,2735964.0,4302.0,2398.0,0.0,0,0,0,4
2009,10,LAX,51410,TLC,90650,Y4,1527,98,32.0,0,1187560.0,4578.0,2397.0,0.0,0,0,0,4
2010,8,LAX,51410,TLC,90650,Y4,1527,98,31.0,0,2827200.0,4416.0,3474.0,0.0,0,0,0,3
2010,9,LAX,51410,ZCL,99501,Y4,1220,98,13.0,0,1185600.0,1848.0,1482.0,0.0,0,0,0,3
2010,4,LAX,51410,ZCL,99501,Y4,1220,98,12.0,0,1094401.0,1710.0,933.0,0.0,0,0,0,2
2010,1,LAX,51410,ZCL,99501,Y4,1220,98,14.0,0,1276801.0,2004.0,1040.0,0.0,0,0,0,1
2010,5,LAX,51410,ZCL,99501,Y4,1220,98,13.0,0,1168000.0,1854.0,1395.0,0.0,0,0,0,2
2010,3,LAX,51410,ZCL,99501,Y4,1220,98,14.0,0,237842.0,2004.0,1166.0,0.0,0,0,0,1
2010,6,LAX,51410,ZCL,99501,Y4,1220,98,14.0,0,1276801.0,2010.0,1798.0,0.0,0,0,0,2
2010,7,LAX,51410,ZCL,99501,Y4,1220,98,13.0,0,1185600.0,1836.0,1523.0,0.0,0,0,0,3
2010,2,LAX,51410,ZCL,99501,Y4,1220,98,12.0,0,1094401.0,1716.0,558.0,0.0,0,0,0,1
2010,8,LAX,51410,ZCL,99501,Y4,1220,98,13.0,0,1185600.0,1848.0,1569.0,0.0,0,0,0,3
2009,12,LAX,51410,ZCL,99501,Y4,1220,98,13.0,0,1304160.0,1860.0,1191.0,0.0,0,0,0,4
