Date of Data: Year,Date of Data: Month,Origin Airport: Alpha Code,Origin Airport: Unique Numeric Code,Destination Airport: Alpha Code,Destination Airport: Numeric Code,Carrier: Alpha Code,Distance,Aircraft Type: Type,Departures Performed,Departures Scheduled,Available Capacity: Payload Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2007,7,BOG,11770,MIA,57565,4M,1506,26,1.0,0,99000.0,214.0,213.0,40341.0,0,0,0,3
2007,3,EZE,13690,FLL,29420,4M,4421,26,1.0,0,90385.0,214.0,107.0,42647.0,0,0,0,1
2007,7,EZE,13690,MIA,57565,4M,4405,26,30.0,0,2694542.0,6480.0,5696.0,978963.0,0,0,0,3
2007,6,EZE,13690,MIA,57565,4M,4405,26,29.0,0,2624763.0,6262.0,3423.0,1248498.0,0,0,0,2
2007,3,EZE,13690,MIA,57565,4M,4405,26,30.0,0,2714558.0,6480.0,4307.0,1154446.0,0,0,0,1
2007,2,EZE,13690,MIA,57565,4M,4405,26,28.0,0,2504161.0,6048.0,4791.0,1078037.0,0,0,0,1
2007,9,EZE,13690,MIA,57565,4M,4405,26,28.0,0,2534039.0,6048.0,4570.0,992948.0,0,0,0,3
2007,4,EZE,13690,MIA,57565,4M,4405,26,30.0,0,2769435.0,6480.0,3994.0,1354124.0,0,0,0,2
2007,5,EZE,13690,MIA,57565,4M,4405,26,27.0,0,2458003.0,5832.0,2896.0,1088347.0,0,0,0,2
2007,8,EZE,13690,MIA,57565,4M,4405,26,31.0,0,2806096.0,6696.0,4118.0,1232198.0,0,0,0,3
2006,10,EZE,13690,MIA,57565,4M,4405,26,25.0,0,2242097.0,5400.0,4245.0,1001726.0,0,0,0,4
2006,12,EZE,13690,MIA,57565,4M,4405,26,31.0,0,2747312.0,6696.0,5221.0,1219918.0,0,0,0,4
2006,11,EZE,13690,MIA,57565,4M,4405,26,30.0,0,2671517.0,6480.0,5014.0,1239614.0,0,0,0,4
2007,1,EZE,13690,MIA,57565,4M,4405,26,31.0,0,2765083.0,6696.0,5882.0,1144433.0,0,0,0,1
2007,3,FLL,29420,MIA,57565,4M,21,26,1.0,0,99000.0,214.0,107.0,42647.0,0,0,0,1
2007,8,MIA,57565,COR,21310,4M,4068,26,2.0,0,170078.0,432.0,145.0,49392.0,0,0,0,3
2007,5,MIA,57565,COR,21310,4M,4068,26,1.0,0,89903.0,214.0,125.0,30868.0,0,0,0,2
2007,3,MIA,57565,COR,21310,4M,4068,26,1.0,0,84729.0,214.0,196.0,21844.0,0,0,0,1
2007,6,MIA,57565,COR,21310,4M,4068,26,1.0,0,89903.0,214.0,116.0,22392.0,0,0,0,2
2007,7,MIA,57565,COR,21310,4M,4068,26,1.0,0,86775.0,214.0,130.0,19206.0,0,0,0,3
2007,8,MIA,57565,EZE,13690,4M,4405,26,28.0,0,2419820.0,6048.0,4145.0,710776.0,0,0,0,3
2007,9,MIA,57565,EZE,13690,4M,4405,26,28.0,0,2386710.0,6048.0,4282.0,710461.0,0,0,0,3
2007,4,MIA,57565,EZE,13690,4M,4405,26,30.0,0,2687214.0,6480.0,3495.0,684259.0,0,0,0,2
2007,5,MIA,57565,EZE,13690,4M,4405,26,26.0,0,2398834.0,5616.0,2942.0,583768.0,0,0,0,2
2006,11,MIA,57565,EZE,13690,4M,4405,26,30.0,0,2677457.0,6480.0,5554.0,636968.0,0,0,0,4
2006,12,MIA,57565,EZE,13690,4M,4405,26,31.0,0,2787171.0,6696.0,5290.0,643975.0,0,0,0,4
2006,10,MIA,57565,EZE,13690,4M,4405,26,25.0,0,2262500.0,5400.0,4516.0,686248.0,0,0,0,4
2007,1,MIA,57565,EZE,13690,4M,4405,26,31.0,0,2832905.0,6696.0,4460.0,613298.0,0,0,0,1
2007,7,MIA,57565,EZE,13690,4M,4405,26,28.0,0,2523671.0,6048.0,4170.0,657074.0,0,0,0,3
2007,6,MIA,57565,EZE,13690,4M,4405,26,26.0,0,2310693.0,5616.0,3460.0,617375.0,0,0,0,2
2007,3,MIA,57565,EZE,13690,4M,4405,26,30.0,0,2615052.0,6480.0,4477.0,672120.0,0,0,0,1
