Year,Month,Alpha Code of Origin Airport,Unique Numeric Code of Origin Airport,World Area Code of Origin Airport,City Name of Origin Airport,Alpha Code of Destination Airport,Numeric Code of Destination Airport,World Area Code of Destination Airport,City Name of Destination Airport,Carrier Alpha Code,Carrier Entity Code,Carrier Group Code,Distance of Segment,Service Class,Aircraft Group,Aircraft Type ID,Aircraft Configuration,Departures Performed,Departures Scheduled,Available Capacity in Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2010,4,BAQ,8190,327,"BARRANQUILLA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1101,F,6,12,1,30.0,0,1360055.0,4440.0,2992.0,0.0,0.0,0,0,2
2010,6,BAQ,8190,327,"BARRANQUILLA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1101,F,6,12,1,30.0,0,1381611.0,4440.0,3316.0,0.0,0.0,0,0,2
2010,7,BAQ,8190,327,"BARRANQUILLA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1101,F,6,12,1,31.0,0,1409481.0,4588.0,3008.0,0.0,0.0,0,0,3
2010,5,BAQ,8190,327,"BARRANQUILLA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1101,F,6,12,1,31.0,0,1434380.0,4588.0,2935.0,0.0,0.0,0,0,2
2010,4,BOG,11770,327,"BOGOTA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1522,F,6,12,1,30.0,0,1215958.0,4440.0,3488.0,0.0,0.0,0,0,2
2010,6,BOG,11770,327,"BOGOTA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1522,F,6,12,1,30.0,0,1255815.0,4440.0,3765.0,0.0,0.0,0,0,2
2010,5,BOG,11770,327,"BOGOTA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1522,F,6,12,1,31.0,0,1283495.0,4588.0,3561.0,0.0,0.0,0,0,2
2010,7,BOG,11770,327,"BOGOTA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1522,F,6,12,1,31.0,0,1259845.0,4588.0,3773.0,0.0,0.0,0,0,3
2010,6,BOG,11770,327,"BOGOTA,COLOMBIA",JFK,63760,22,"NEW YORK,NEW YORK,USA",4C,71100,0,2473,F,6,12,1,3.0,0,86759.0,444.0,391.0,0.0,0.0,0,0,2
2010,7,BOG,11770,327,"BOGOTA,COLOMBIA",JFK,63760,22,"NEW YORK,NEW YORK,USA",4C,71100,0,2473,F,6,12,1,13.0,0,372860.0,1924.0,1463.0,0.0,0.0,0,0,3
2010,4,CLO,15150,327,"CALI,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1569,F,6,12,1,17.0,0,652716.0,2368.0,1849.0,0.0,0.0,0,0,2
2010,6,CLO,15150,327,"CALI,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1569,F,6,12,1,17.0,0,696304.0,2516.0,1738.0,0.0,0.0,0,0,2
2010,5,CLO,15150,327,"CALI,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1569,F,6,12,1,18.0,0,739295.0,2664.0,1719.0,0.0,0.0,0,0,2
2010,7,CLO,15150,327,"CALI,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1569,F,6,12,1,18.0,0,738555.0,2664.0,2079.0,0.0,0.0,0,0,3
2010,6,CTG,16770,327,"CARTAGENA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1117,F,6,12,1,16.0,0,727404.0,2368.0,1719.0,0.0,0.0,0,0,2
2010,7,CTG,16770,327,"CARTAGENA,COLOMBIA",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",4C,71100,0,1117,F,6,12,1,32.0,0,1452620.0,4736.0,2355.0,0.0,0.0,0,0,3
2010,4,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",BAQ,8190,327,"BARRANQUILLA,COLOMBIA",4C,71100,0,1101,F,6,12,1,30.0,0,1338102.0,4440.0,2789.0,0.0,0.0,0,0,2
2010,7,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",BAQ,8190,327,"BARRANQUILLA,COLOMBIA",4C,71100,0,1101,F,6,12,1,30.0,0,1337580.0,4440.0,3580.0,0.0,0.0,0,0,3
2010,6,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",BAQ,8190,327,"BARRANQUILLA,COLOMBIA",4C,71100,0,1101,F,6,12,1,30.0,0,1374177.0,4440.0,2984.0,0.0,0.0,0,0,2
2010,5,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",BAQ,8190,327,"BARRANQUILLA,COLOMBIA",4C,71100,0,1101,F,6,12,1,31.0,0,1433282.0,4588.0,2614.0,0.0,0.0,0,0,2
2010,4,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",BOG,11770,327,"BOGOTA,COLOMBIA",4C,71100,0,1522,F,6,12,1,30.0,0,1247591.0,4440.0,3591.0,0.0,0.0,0,0,2
2010,6,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",BOG,11770,327,"BOGOTA,COLOMBIA",4C,71100,0,1522,F,6,12,1,30.0,0,1241504.0,4440.0,3636.0,0.0,0.0,0,0,2
2010,5,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",BOG,11770,327,"BOGOTA,COLOMBIA",4C,71100,0,1522,F,6,12,1,31.0,0,1283196.0,4588.0,3517.0,0.0,0.0,0,0,2
2010,7,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",BOG,11770,327,"BOGOTA,COLOMBIA",4C,71100,0,1522,F,6,12,1,31.0,0,1313633.0,4588.0,4281.0,0.0,0.0,0,0,3
2010,4,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",CLO,15150,327,"CALI,COLOMBIA",4C,71100,0,1569,F,6,12,1,17.0,0,680935.0,2516.0,1822.0,0.0,0.0,0,0,2
