Year,Month,Alpha Code of Origin Airport,Unique Numeric Code of Origin Airport,World Area Code of Origin Airport,City Name of Origin Airport,Alpha Code of Destination Airport,Numeric Code of Destination Airport,World Area Code of Destination Airport,City Name of Destination Airport,Carrier Alpha Code,Carrier Entity Code,Carrier Group Code,Distance of Segment,Service Class,Aircraft Group,Aircraft Type ID,Aircraft Configuration,Departures Performed,Departures Scheduled,Available Capacity in Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2009,11,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,30.0,0,2566111.0,6508.0,4865.0,975898.0,0.0,0,0,4
2009,9,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,30.0,0,2626558.0,6510.0,5316.0,962005.0,0.0,0,0,3
2010,1,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,31.0,0,2634757.0,6727.0,6011.0,944293.0,0.0,0,0,1
2009,8,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,31.0,0,2692727.0,6727.0,5104.0,996085.0,0.0,0,0,3
2009,10,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,28.0,0,2460729.0,6076.0,4669.0,816924.0,0.0,0,0,4
2009,7,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,31.0,0,2716450.0,6727.0,5729.0,1031516.0,0.0,0,0,3
2009,6,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,28.0,0,2446655.0,6078.0,3606.0,974026.0,0.0,0,0,2
2010,4,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,30.0,0,2657204.0,6510.0,5081.0,1239951.0,0.0,0,0,2
2010,3,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,31.0,0,2668334.0,6727.0,5534.0,1027191.0,0.0,0,0,1
2010,5,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,31.0,0,2679026.0,6727.0,5643.0,1036009.0,0.0,0,0,2
2009,12,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,30.0,0,2618986.0,6510.0,4971.0,1013780.0,0.0,0,0,4
2010,2,EZE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",4M,71009,0,4405,F,6,26,1,28.0,0,2440392.0,6076.0,5181.0,912883.0,0.0,0,0,1
2009,10,MIA,57565,33,"MIAMI,FLORIDA,USA",EZE,13690,303,"BUENOS AIRES,ARGENTINA",4M,71009,0,4405,F,6,26,1,27.0,0,2366344.0,5863.0,4994.0,583022.0,0.0,0,0,4
2009,8,MIA,57565,33,"MIAMI,FLORIDA,USA",EZE,13690,303,"BUENOS AIRES,ARGENTINA",4M,71009,0,4405,F,6,26,1,31.0,0,2708424.0,6727.0,5168.0,623060.0,0.0,0,0,3
