Year,Month,Alpha Code of Origin Airport,Unique Numeric Code of Origin Airport,World Area Code of Origin Airport,City Name of Origin Airport,Alpha Code of Destination Airport,Numeric Code of Destination Airport,World Area Code of Destination Airport,City Name of Destination Airport,Carrier Alpha Code,Carrier Entity Code,Carrier Group Code,Distance of Segment,Service Class,Aircraft Group,Aircraft Type ID,Aircraft Configuration,Departures Performed,Departures Scheduled,Available Capacity in Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2005,6,ATL,5852,34,"ATLANTA,GEORGIA,USA",AUA,5260,277,"ARUBA,ARUBA",AD,9475F,0,1715,P,5,7,2,1.0,0,44000.0,0.0,0.0,9768.0,0.0,0,0,2
2005,6,AUA,5260,277,"ARUBA,ARUBA",MIA,57565,33,"MIAMI,FLORIDA,USA",AD,9475F,0,1133,P,5,7,2,1.0,0,44000.0,0.0,0.0,9768.0,0.0,0,0,2
2005,11,AUA,5260,277,"ARUBA,ARUBA",MIA,57565,33,"MIAMI,FLORIDA,USA",AD,9475F,0,1133,P,5,7,2,1.0,0,44000.0,0.0,0.0,29722.0,0.0,0,0,4
2005,12,BDL,12610,11,"HARTFORD,CONNECTICUT,USA",MIA,57565,33,"MIAMI,FLORIDA,USA",AD,9475F,0,1194,P,5,7,2,1.0,0,44000.0,0.0,0.0,10065.0,0.0,0,0,4
2005,11,BLA,7820,388,"BARCELONA,VENEZUELA",MIA,57565,33,"MIAMI,FLORIDA,USA",AD,9475F,0,1486,P,5,7,2,1.0,0,44000.0,0.0,0.0,27766.0,0.0,0,0,4
2005,5,BOS,12200,13,"BOSTON,MASSACHUSETTS,USA",YEG,26160,916,"EDMONTON,CANADA",AD,9475F,0,2083,P,5,7,2,1.0,0,44000.0,0.0,0.0,4871.0,0.0,0,0,2
2005,1,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",CUR,22810,259,"CURACAO,NETHERLANDS ANTILLES",AD,9475F,0,450,P,4,44,2,1.0,0,13200.0,0.0,0.0,240.0,0.0,0,0,1
2005,1,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",POS,72030,280,"PORT OF SPAIN,TRINIDAD AND TOBAGO",AD,9475F,0,667,P,5,7,2,1.0,0,44000.0,0.0,0.0,35147.0,0.0,0,0,1
2005,2,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",SDQ,81450,224,"SANTO DOMINGO,DOMINICAN REPUBLIC",AD,9475F,0,167,P,4,44,2,33.0,0,435600.0,0.0,0.0,236232.0,0.0,0,0,1
2005,5,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",SDQ,81450,224,"SANTO DOMINGO,DOMINICAN REPUBLIC",AD,9475F,0,167,P,4,44,2,31.0,0,409200.0,0.0,0.0,189724.0,0.0,0,0,2
2005,8,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",SDQ,81450,224,"SANTO DOMINGO,DOMINICAN REPUBLIC",AD,9475F,0,167,P,4,44,2,2.0,0,26400.0,0.0,0.0,17868.0,0.0,0,0,3
2005,3,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",SDQ,81450,224,"SANTO DOMINGO,DOMINICAN REPUBLIC",AD,9475F,0,167,P,4,44,2,33.0,0,435600.0,0.0,0.0,200565.0,0.0,0,0,1
2005,6,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",SDQ,81450,224,"SANTO DOMINGO,DOMINICAN REPUBLIC",AD,9475F,0,167,P,4,44,2,34.0,0,448800.0,0.0,0.0,227489.0,0.0,0,0,2
2005,7,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",SDQ,81450,224,"SANTO DOMINGO,DOMINICAN REPUBLIC",AD,9475F,0,167,P,4,44,2,11.0,0,145200.0,0.0,0.0,84869.0,0.0,0,0,3
2005,1,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",SDQ,81450,224,"SANTO DOMINGO,DOMINICAN REPUBLIC",AD,9475F,0,167,P,4,44,2,30.0,0,396000.0,0.0,0.0,222702.0,0.0,0,0,1
2005,4,BQN,865,3,"AGUADILLA,PUERTO RICO,USA",SDQ,81450,224,"SANTO DOMINGO,DOMINICAN REPUBLIC",AD,9475F,0,167,P,4,44,2,34.0,0,448800.0,0.0,0.0,231119.0,0.0,0,0,2
2005,8,DFW,23208,74,"DALLAS/FT.WORTH,TEXAS,USA",GDL,33790,148,"GUADALAJARA,MEXICO",AD,9475F,0,935,P,5,7,2,1.0,0,44000.0,0.0,0.0,16183.0,0.0,0,0,3
2005,6,DFW,23208,74,"DALLAS/FT.WORTH,TEXAS,USA",MIA,57565,33,"MIAMI,FLORIDA,USA",AD,9475F,0,1121,P,5,7,2,1.0,0,44000.0,0.0,0.0,21905.0,0.0,0,0,2
2005,8,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",NAS,62890,204,"NASSAU,BAHAMAS",AD,9475F,0,182,P,4,44,2,1.0,0,13200.0,0.0,0.0,8030.0,0.0,0,0,3
2005,11,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",OPF,11031,33,"MIAMI,FLORIDA,USA",AD,9475F,0,14,P,4,44,2,1.0,0,13200.0,0.0,0.0,3113.0,0.0,0,0,4
2005,7,FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",OPF,11031,33,"MIAMI,FLORIDA,USA",AD,9475F,0,14,P,4,44,2,1.0,0,13200.0,0.0,0.0,6600.0,0.0,0,0,3
2005,7,FPO,30201,204,"FREEPORT,BAHAMAS",FLL,29420,33,"FORT LAUDERDALE,FLORIDA,USA",AD,9475F,0,96,P,4,44,2,1.0,0,13200.0,0.0,0.0,6600.0,0.0,0,0,3
2005,1,FPO,30201,204,"FREEPORT,BAHAMAS",MIA,57565,33,"MIAMI,FLORIDA,USA",AD,9475F,0,112,P,4,44,2,1.0,0,13200.0,0.0,0.0,5999.0,0.0,0,0,1
2005,8,GDL,33790,148,"GUADALAJARA,MEXICO",DFW,23208,74,"DALLAS/FT.WORTH,TEXAS,USA",AD,9475F,0,935,P,5,7,2,1.0,0,44000.0,0.0,0.0,17961.0,0.0,0,0,3
2005,6,HAV,35680,219,"HAVANA,CUBA",MIA,57565,33,"MIAMI,FLORIDA,USA",AD,9475F,0,235,P,4,44,2,2.0,0,26400.0,0.0,0.0,1463.0,0.0,0,0,2
