Year,Month,Alpha Code of Origin Airport,Unique Numeric Code of Origin Airport,World Area Code of Origin Airport,City Name of Origin Airport,Alpha Code of Destination Airport,Numeric Code of Destination Airport,World Area Code of Destination Airport,City Name of Destination Airport,Carrier Alpha Code,Carrier Entity Code,Carrier Group Code,Distance of Segment,Service Class,Aircraft Group,Aircraft Type ID,Aircraft Configuration,Departures Performed,Departures Scheduled,Available Capacity in Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2005,6,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,G,8,20,2,9.0,0,2082003.0,2.0,2.0,1413493.0,0.0,0,0,2
2005,6,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,F,8,73,1,30.0,0,2437090.0,8648.0,8298.0,264977.0,0.0,0,0,2
2005,6,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,F,8,17,1,30.0,0,2513933.0,8067.0,7731.0,330700.0,0.0,0,0,2
2005,4,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,F,8,17,1,51.0,0,4286643.0,13714.0,11960.0,565778.0,0.0,0,0,2
2005,4,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,G,8,20,2,9.0,0,2086007.0,0.0,0.0,1232290.0,0.0,0,0,2
2005,3,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,F,8,17,1,34.0,0,2864589.0,9146.0,8357.0,574688.0,0.0,0,0,1
2005,3,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,F,8,73,1,15.0,0,1215896.0,3780.0,3439.0,262117.0,0.0,0,0,1
2005,3,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,G,8,20,2,9.0,0,2130524.0,0.0,0.0,1488181.0,0.0,0,0,1
2005,8,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,F,8,17,1,31.0,0,2611288.0,8339.0,7301.0,262902.0,0.0,0,0,3
2005,8,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,G,8,20,2,9.0,0,2087008.0,0.0,0.0,1198441.0,0.0,0,0,3
2005,8,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,F,8,73,1,31.0,0,2520276.0,8880.0,7879.0,224653.0,0.0,0,0,3
2005,5,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,F,8,17,1,38.0,0,3196565.0,10224.0,9787.0,409746.0,0.0,0,0,2
2005,5,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,F,8,73,1,22.0,0,1783971.0,5856.0,5686.0,162919.0,0.0,0,0,2
2005,5,ATL,5852,34,"ATLANTA,GEORGIA,USA",CDG,68315,427,"PARIS,FRANCE",AF,9427B,0,4394,G,8,20,2,8.0,0,1853005.0,0.0,0.0,1070538.0,0.0,0,0,2
