Year,Month,Alpha Code of Origin Airport,Unique Numeric Code of Origin Airport,World Area Code of Origin Airport,City Name of Origin Airport,Alpha Code of Destination Airport,Numeric Code of Destination Airport,World Area Code of Destination Airport,City Name of Destination Airport,Carrier Alpha Code,Carrier Entity Code,Carrier Group Code,Distance of Segment,Service Class,Aircraft Group,Aircraft Type ID,Aircraft Configuration,Departures Performed,Departures Scheduled,Available Capacity in Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2005,4,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,12,1,21.0,0,658981.0,2604.0,1327.0,1879.0,0.0,0,0,2
2005,6,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,12,1,25.0,0,784502.0,3100.0,2005.0,112.0,0.0,0,0,2
2005,6,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,14,1,4.0,0,161784.0,496.0,321.0,18.0,0.0,0,0,2
2005,5,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,12,1,22.0,0,690362.0,2728.0,1085.0,3494.0,0.0,0,0,2
2005,7,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,12,1,24.0,0,753122.0,2976.0,2740.0,3067.0,0.0,0,0,3
2005,7,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,14,1,7.0,0,283122.0,868.0,799.0,893.0,0.0,0,0,3
2005,8,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,12,1,28.0,0,878643.0,3472.0,2515.0,860.0,0.0,0,0,3
2005,8,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,14,1,3.0,0,121339.0,372.0,270.0,92.0,0.0,0,0,3
2005,12,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,12,1,9.0,0,282421.0,1116.0,930.0,1144.0,0.0,0,0,4
2005,12,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,14,1,22.0,0,889812.0,3410.0,2843.0,2794.0,0.0,0,0,4
2005,9,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,12,1,28.0,0,878643.0,3472.0,1360.0,139.0,0.0,0,0,3
2005,11,JFK,63760,22,"NEW YORK,NEW YORK,USA",PTY,67940,162,"PANAMA CITY,PANAMA REPUBLIC",CM,9162C,0,2200,F,6,12,1,30.0,0,941402.0,3720.0,2209.0,1247.0,0.0,0,0,4
