Year,Month,Alpha Code of Origin Airport,Unique Numeric Code of Origin Airport,World Area Code of Origin Airport,City Name of Origin Airport,Alpha Code of Destination Airport,Numeric Code of Destination Airport,World Area Code of Destination Airport,City Name of Destination Airport,Carrier Alpha Code,Carrier Entity Code,Carrier Group Code,Distance of Segment,Service Class,Aircraft Group,Aircraft Type ID,Aircraft Configuration,Departures Performed,Departures Scheduled,Available Capacity in Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2005,11,GRU,81850,316,"SAO PAULO,BRAZIL",JFK,63760,22,"NEW YORK,NEW YORK,USA",JJ,9316F,0,4745,F,6,96,1,12.0,0,1294973.0,2508.0,1411.0,247799.0,0.0,0,0,4
2005,12,GRU,81850,316,"SAO PAULO,BRAZIL",JFK,63760,22,"NEW YORK,NEW YORK,USA",JJ,9316F,0,4745,F,6,96,1,17.0,0,1834545.0,3553.0,1996.0,387985.0,0.0,0,0,4
2005,3,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,58.0,0,6259035.0,12064.0,9148.0,2921732.0,0.0,0,0,1
2005,4,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,56.0,0,6043206.0,11648.0,9283.0,2572064.0,0.0,0,0,2
2005,1,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,56.0,0,6043206.0,11648.0,10408.0,1989665.0,0.0,0,0,1
2005,2,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,52.0,0,5611549.0,10816.0,8194.0,2617120.0,0.0,0,0,1
2005,9,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,55.0,0,5935292.0,11440.0,9650.0,1770835.0,0.0,0,0,3
2005,10,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,49.0,0,5287806.0,10192.0,9136.0,1672308.0,0.0,0,0,4
2005,8,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,57.0,0,6151121.0,11856.0,10227.0,1715395.0,0.0,0,0,3
2005,5,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,57.0,0,6151121.0,11856.0,9106.0,2469931.0,0.0,0,0,2
2005,7,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,57.0,0,6151121.0,11856.0,11310.0,1485015.0,0.0,0,0,3
2005,6,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,56.0,0,6043206.0,11648.0,9150.0,1769618.0,0.0,0,0,2
2005,12,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,58.0,0,6259035.0,12296.0,9828.0,1942862.0,0.0,0,0,4
2005,11,GRU,81850,316,"SAO PAULO,BRAZIL",MIA,57565,33,"MIAMI,FLORIDA,USA",JJ,9316F,0,4072,F,6,96,1,60.0,0,6474864.0,12720.0,8595.0,2024911.0,0.0,0,0,4
2005,12,JFK,63760,22,"NEW YORK,NEW YORK,USA",GRU,81850,316,"SAO PAULO,BRAZIL",JJ,9316F,0,4745,F,6,96,1,17.0,0,1834545.0,3553.0,2854.0,72268.0,0.0,0,0,4
2005,11,JFK,63760,22,"NEW YORK,NEW YORK,USA",GRU,81850,316,"SAO PAULO,BRAZIL",JJ,9316F,0,4745,F,6,96,1,12.0,0,1294973.0,2508.0,1811.0,12091.0,0.0,0,0,4
2005,3,MIA,57565,33,"MIAMI,FLORIDA,USA",BEL,9420,316,"BELEM,BRAZIL",JJ,9316F,0,2830,F,6,96,1,1.0,0,107914.0,208.0,205.0,16832.0,0.0,0,0,1
2005,12,MIA,57565,33,"MIAMI,FLORIDA,USA",GRU,81850,316,"SAO PAULO,BRAZIL",JJ,9316F,0,4072,F,6,96,1,58.0,0,6259035.0,12296.0,9059.0,1836344.0,0.0,0,0,4
2005,11,MIA,57565,33,"MIAMI,FLORIDA,USA",GRU,81850,316,"SAO PAULO,BRAZIL",JJ,9316F,0,4072,F,6,96,1,60.0,0,6474864.0,12720.0,9108.0,923714.0,0.0,0,0,4
2005,5,MIA,57565,33,"MIAMI,FLORIDA,USA",GRU,81850,316,"SAO PAULO,BRAZIL",JJ,9316F,0,4072,F,6,96,1,57.0,0,6151121.0,11856.0,9500.0,1007670.0,0.0,0,0,2
2005,7,MIA,57565,33,"MIAMI,FLORIDA,USA",GRU,81850,316,"SAO PAULO,BRAZIL",JJ,9316F,0,4072,F,6,96,1,57.0,0,6151121.0,11856.0,8123.0,980131.0,0.0,0,0,3
2005,6,MIA,57565,33,"MIAMI,FLORIDA,USA",GRU,81850,316,"SAO PAULO,BRAZIL",JJ,9316F,0,4072,F,6,96,1,56.0,0,6043206.0,11648.0,10155.0,939943.0,0.0,0,0,2
2005,1,MIA,57565,33,"MIAMI,FLORIDA,USA",GRU,81850,316,"SAO PAULO,BRAZIL",JJ,9316F,0,4072,F,6,96,1,56.0,0,6043206.0,11648.0,9485.0,688046.0,0.0,0,0,1
2005,2,MIA,57565,33,"MIAMI,FLORIDA,USA",GRU,81850,316,"SAO PAULO,BRAZIL",JJ,9316F,0,4072,F,6,96,1,52.0,0,5625563.0,10816.0,9075.0,829836.0,0.0,0,0,1
