Year,Month,Alpha Code of Origin Airport,Unique Numeric Code of Origin Airport,World Area Code of Origin Airport,City Name of Origin Airport,Alpha Code of Destination Airport,Numeric Code of Destination Airport,World Area Code of Destination Airport,City Name of Destination Airport,Carrier Alpha Code,Carrier Entity Code,Carrier Group Code,Distance of Segment,Service Class,Aircraft Group,Aircraft Type ID,Aircraft Configuration,Departures Performed,Departures Scheduled,Available Capacity in Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2005,12,AMS,3140,461,"AMSTERDAM,NETHERLANDS",JFK,63760,22,"NEW YORK,NEW YORK,USA",LA,9324B,0,3644,G,6,26,2,1.0,0,118800.0,0.0,0.0,103272.0,0.0,0,0,4
2005,11,AMS,3140,461,"AMSTERDAM,NETHERLANDS",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,4633,G,6,26,2,1.0,0,118800.0,0.0,0.0,91771.0,0.0,0,0,4
2005,12,AMS,3140,461,"AMSTERDAM,NETHERLANDS",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,4633,G,6,26,2,5.0,0,594000.0,0.0,0.0,435668.0,0.0,0,0,4
2005,9,ANC,3291,1,"ANCHORAGE,ALASKA,USA",LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LA,9324B,0,2345,G,6,26,2,1.0,0,118800.0,0.0,0.0,97324.0,0.0,0,0,3
2005,6,BOG,11770,327,"BOGOTA,COLOMBIA",MCO,66600,33,"ORLANDO,FLORIDA,USA",LA,9324B,0,1698,F,6,26,1,1.0,0,85041.0,212.0,209.0,38240.0,0.0,0,0,2
2005,7,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,16.0,0,1405270.0,3431.0,2723.0,670527.0,0.0,0,0,3
2005,4,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,11.0,0,940216.0,2343.0,1191.0,488039.0,0.0,0,0,2
2005,10,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,12.0,0,1054429.0,2570.0,1360.0,466598.0,0.0,0,0,4
2005,11,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,13.0,0,1154864.0,2769.0,1743.0,407682.0,0.0,0,0,4
2005,8,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,13.0,0,1120915.0,2782.0,1754.0,491478.0,0.0,0,0,3
2005,6,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,12.0,0,1045607.0,2544.0,2381.0,459758.0,0.0,0,0,2
2005,5,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,14.0,0,1238125.0,2968.0,1727.0,547246.0,0.0,0,0,2
2005,12,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,16.0,0,1378067.0,3392.0,2906.0,593824.0,0.0,0,0,4
2005,1,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,12.0,0,1060765.0,2544.0,2116.0,407260.0,0.0,0,0,1
2005,3,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,13.0,0,1136817.0,2813.0,1685.0,563897.0,0.0,0,0,1
2005,2,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,12.0,0,1028238.0,2567.0,1205.0,514919.0,0.0,0,0,1
2005,9,BOG,11770,327,"BOGOTA,COLOMBIA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,1506,F,6,26,1,13.0,0,1117481.0,2769.0,1181.0,535269.0,0.0,0,0,3
2005,1,BUE,13690,303,"BUENOS AIRES,ARGENTINA",MIA,57565,33,"MIAMI,FLORIDA,USA",LA,9324B,0,4398,G,6,26,2,2.0,0,237600.0,0.0,0.0,192898.0,0.0,0,0,1
