Year,Month,Alpha Code of Origin Airport,Unique Numeric Code of Origin Airport,World Area Code of Origin Airport,City Name of Origin Airport,Alpha Code of Destination Airport,Numeric Code of Destination Airport,World Area Code of Destination Airport,City Name of Destination Airport,Carrier Alpha Code,Carrier Entity Code,Carrier Group Code,Distance of Segment,Service Class,Aircraft Group,Aircraft Type ID,Aircraft Configuration,Departures Performed,Departures Scheduled,Available Capacity in Pounds,Available Seats,Passengers Transported,Freight Transported,Mail Transported,Ramp in minutes,Airborne in minutes,Quarter
2005,3,GDL,33790,148,"GUADALAJARA,MEXICO",LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LP,9368E,0,1307,F,6,26,1,1.0,0,91254.0,212.0,184.0,37723.0,0.0,0,0,1
2005,7,JFK,63760,22,"NEW YORK,NEW YORK,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,3629,F,6,26,1,2.0,0,185090.0,424.0,377.0,10294.0,0.0,0,0,3
2005,8,JFK,63760,22,"NEW YORK,NEW YORK,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,3629,F,6,26,1,6.0,0,547655.0,1285.0,1141.0,25670.0,0.0,0,0,3
2005,5,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",CIX,18530,368,"CHICLAYO,PERU",LP,9368E,0,3771,F,6,26,1,1.0,0,90814.0,212.0,121.0,18929.0,0.0,0,0,2
2005,9,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,13.0,0,1178720.0,2808.0,1426.0,251900.0,0.0,0,0,3
2005,10,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,13.0,0,1157750.0,2860.0,1154.0,397272.0,0.0,0,0,4
2005,11,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,13.0,0,1161367.0,2873.0,1483.0,295810.0,0.0,0,0,4
2005,12,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,13.0,0,1150197.0,2886.0,2311.0,232962.0,0.0,0,0,4
2005,2,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,12.0,0,1070219.0,2590.0,2009.0,145911.0,0.0,0,0,1
2005,1,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,13.0,0,1180546.0,2779.0,1404.0,212346.0,0.0,0,0,1
2005,3,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,14.0,0,1249763.0,2991.0,2639.0,192672.0,0.0,0,0,1
2005,7,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,13.0,0,1187371.0,2769.0,2488.0,199313.0,0.0,0,0,3
2005,6,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,13.0,0,1170591.0,2769.0,2158.0,178303.0,0.0,0,0,2
2005,4,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,13.0,0,1176613.0,2779.0,1697.0,216641.0,0.0,0,0,2
2005,5,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,12.0,0,1091231.0,2567.0,1323.0,176066.0,0.0,0,0,2
2005,8,LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LIM,50240,368,"LIMA,PERU",LP,9368E,0,4167,F,6,26,1,13.0,0,1079063.0,2795.0,2070.0,258555.0,0.0,0,0,3
2005,7,LIM,50240,368,"LIMA,PERU",JFK,63760,22,"NEW YORK,NEW YORK,USA",LP,9368E,0,3629,F,6,26,1,6.0,0,530559.0,1287.0,277.0,211889.0,0.0,0,0,3
2005,8,LIM,50240,368,"LIMA,PERU",JFK,63760,22,"NEW YORK,NEW YORK,USA",LP,9368E,0,3629,F,6,26,1,6.0,0,547655.0,1285.0,919.0,195868.0,0.0,0,0,3
2005,12,LIM,50240,368,"LIMA,PERU",LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LP,9368E,0,4167,F,6,26,1,14.0,0,1246663.0,3111.0,1746.0,641159.0,0.0,0,0,4
2005,11,LIM,50240,368,"LIMA,PERU",LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LP,9368E,0,4167,F,6,26,1,11.0,0,971106.0,2436.0,1352.0,524797.0,0.0,0,0,4
2005,2,LIM,50240,368,"LIMA,PERU",LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LP,9368E,0,4167,F,6,26,1,12.0,0,1030491.0,2590.0,1869.0,468237.0,0.0,0,0,1
2005,1,LIM,50240,368,"LIMA,PERU",LAX,51410,91,"LOS ANGELES,CALIFORNIA,USA",LP,9368E,0,4167,F,6,26,1,13.0,0,1131612.0,2779.0,2137.0,494470.0,0.0,0,0,1
