AC_TYPEID,AC_GROUP,SSD_NAME,LONG_NAME,SHORT_NAME,,
007,0,AERO COMMANDER 200,AERO COMMANDER 200,COMMANDR,,
008,0,AERO MACCHI AL-60,AERO MACCHI AL-60,AL-60,,
009,0,AERONCA 7-AC,AERONCA 7-AC,AERONCA7,,
010,0,BEECH 35/36,BEECH BONANZA 35A/C/D/E/G/H/J/K/S/V/  36A,BONANZA,,
020,0,BELLANCA CH-300,BELLANCA CH-300,CH-300,,
024,0,BEECH B-23,BEECH B-23 MUSKETEER,MUSKTEER,,
026,0,GIPPS AERO GA8 AIR,GIPPS AERO GA8 AIRVAN,AIRVAN,,
029,0,CESSNA 150/152,CESSNA 150/152,CE-150/2,,
030,0,CESSNA 180,CESSNA 180,CE-180,,
031,0,CESSNA 180A/B,CESSNA 180A/B,CE-180,,
032,0,CESSNA 180C/D/E/F,CESSNA 180C/D/E/F,CE-180C,,
033,0,CESSNA 185A/B/C,CESSNA 185A/B/C SKYWAGON,SKYWAGON,,
034,0,HELIO H250/295/395,HELIO H-250/295/395,COURIER,,
035,0,CESSNA 206/207/209,CESSNA C206/207/209/210 STATIONAIR,CE-206/7,,
036,0,CESSNA 172 SKYHAWK,CESSNA 172 SKYHAWK,SKYHAWK,,
037,0,CESSNA 195,CESSNA 195,CE-195,,
038,0,CESSNA CARDINAL,CESSNA 177 CARDINAL,CARDINAL,,
039,0,CESSNA 182 SKYLANE,CESSNA 182 SKYLANE,SKYLANE,,
040,0,DEHAVILLAND DHC2,DEHAVILLAND DHC2 BEAVER,BEAVER,,
041,0,CESSNA 205,CESSNA 205,CE-205,,
042,0,DEHAVILLAND DHC3,DEHAVILLAND DHC3 OTTER,OTTER,,
044,0,LAKE LA-4,LAKE LA-4,LA-4,,
050,0,HOWARD DGA-15P,HOWARD DGA-15P,DGA-15P,,
051,0,MOONEY M-21,MOONEY M-21,M-21,,
052,0,MOONEY M-20C/E/G,MOONEY M-20C/E/G,M-20C/E,,
065,0,NOORDUYN UC-64AS,NOORDUYN UC-64AS,UC-64AS,,
070,0,PILATUS PORTER PC6,PILATUS PORTER PC6,PC6,,
071,0,PILATUS PC6/350,PILATUS PORTER PC6/350,PC6/350,,
079,0,PIPER PA-32,PIPER PA-32 (CHEROKEE 6),PA-32,,
080,0,PIPER PA-18,PIPER PA-18 (SUPER-CUB),SUPERCUB,,
081,0,PIPER PA-14,PIPER PA-14 (FAMILY-CRUISER),FAMCRUIS,,
082,0,PIPER PA-22,PIPER PA-22 (TRI-PACER),TRIPACER,,
083,0,PIPER PA-24,PIPER PA-24 (COMANCHE),COMANCHE,,
084,0,PIPER PA-28,PIPER PA-28 (CHEROKEE),PA-28,,
085,0,STINSON SR-9,STINSON SR-9,SR-9,,
086,0,PIPER PA-12,PIPER PA-12 (SUPERCRUISER),PA-12,,
087,0,STINSON V-77,STINSON V-77,V-77,,
088,0,STINSON SR-10E,STINSON SR-10E BUSHMAN,BUSHMAN,,
091,0,FLT/AMPHIB TURBINE,FLOAT/AMPHIB TURBINE,FLT/AMPH,,
092,0,PISTON-LT 450 HP,FLOAT/AMPHIB PISTON-LT 450 HP,FLT/AMPH,,
093,0,PISTON-450+ HP,FLOAT/AMPHIB PISTON-450+ HP,FLT/AMPH,,
094,0,LAND-TURBINE,LAND-TURBINE,LAND,,
095,0,PISTON-LT 450 HP,LAND-PISTON-LT 450 HP,LAND,,
096,0,PISTON-450+ HP,LAND-PISTON-450+ HP,LAND,,
097,0,STIN.FW 300-450 HP,STINSON F.W. 300-450 HP,STNSN FW,,
098,0,STIN.FW LT 300 HP,STINSON 0-299 HP,STNSN FW,,
102,1,P2012 TRAVELER,P2012 TRAVELER,P2012,,
