fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
2023-12-31,2024-01-25,0.29,0.1,0.19,190.0,4
2023-09-30,2023-10-19,0.38,0.25,0.13,52.0,3
2023-06-30,2023-07-20,1.92,1.59,0.33,20.7547,2
2023-03-31,2023-04-27,0.05,0.05,0.0,0.0,1
2022-12-31,2023-01-26,1.17,1.14,0.03,2.6316,4
2022-09-30,2022-10-20,0.69,0.56,0.13,23.2143,3
2022-06-30,2022-07-21,0.76,0.76,0.0,0.0,2
2022-03-31,2022-04-21,-2.32,-2.4,0.08,3.3333,1
2021-12-31,2022-01-20,-1.42,-1.48,0.06,4.0541,4
2021-09-30,2021-10-21,-0.99,-1.04,0.05,4.8077,3
2021-06-30,2021-07-22,-1.69,-1.96,0.27,13.7755,2
2021-03-31,2021-04-22,-4.32,-4.31,-0.01,-0.232,1
2020-12-31,2021-01-28,-3.86,-4.11,0.25,6.0827,4
2020-09-30,2020-10-17,-5.54,-5.88,0.34,5.7823,3
2020-06-30,2020-07-23,-7.82,-7.7,-0.12,-1.5584,2
2020-03-31,2020-04-30,-2.65,-2.33,-0.32,-13.7339,1
2019-12-31,2020-01-23,1.15,1.14,0.01,0.8772,4
2019-09-30,2019-10-24,1.42,1.4,0.02,1.4286,3
2019-06-30,2019-07-25,1.82,1.8,0.02,1.1111,2
2019-03-31,2019-04-26,0.52,0.51,0.01,1.9608,1
2018-12-31,2019-01-24,1.04,1.01,0.03,2.9703,4
2018-09-30,2018-10-25,1.13,1.13,0.0,0.0,3
2018-06-30,2018-07-26,1.63,1.59,0.04,2.5157,2
2018-03-31,2018-04-26,0.75,0.72,0.03,4.1667,1
2017-12-31,2018-01-25,0.95,0.92,0.03,3.2609,4
2017-09-30,2017-10-26,1.42,1.4,0.02,1.4286,3
2017-06-30,2017-07-28,1.92,1.87,0.05,2.6738,2
2017-03-31,2017-04-27,0.61,0.57,0.04,7.0175,1
2016-12-31,2017-01-27,0.92,0.92,0.0,0.0,4
2016-09-30,2016-10-20,1.76,1.69,0.07,4.142,3
2016-06-30,2016-07-22,1.77,1.68,0.09,5.3571,2
2016-03-31,2016-04-22,1.99,1.19,0.8,67.2269,1
2015-12-31,2016-01-29,2.0,1.97,0.03,1.5228,4
2015-09-30,2015-10-23,2.77,2.72,0.05,1.8382,3
2015-06-30,2015-07-24,2.62,2.6,0.02,0.7692,2
2015-03-31,2015-04-24,1.73,1.71,0.02,1.1696,1
2014-12-31,2015-01-27,1.52,1.5,0.02,1.3333,4
2014-09-30,2014-10-23,1.66,1.63,0.03,1.8405,3
2014-06-30,2014-07-24,1.98,1.95,0.03,1.5385,2
2014-03-31,2014-04-24,0.54,0.48,0.06,12.5,1
2013-12-31,2014-01-28,0.59,0.55,0.04,7.2727,4
2013-09-30,2013-10-17,1.37,1.34,0.03,2.2388,3
2013-06-30,2013-07-18,0.92,0.8,0.12,15.0,2
2013-03-31,2013-04-18,0.02,-0.09,0.11,122.2222,1
2012-12-31,2013-01-16,-0.23,-0.52,0.29,55.7692,4
2012-09-30,2012-10-17,0.33,0.28,0.05,17.8571,3
2012-06-30,2012-07-18,0.28,-0.04,0.32,800.0,2
2012-03-31,2012-04-19,-0.74,-1.43,0.69,48.2517,1
2011-12-31,2012-02-15,-1.2,-1.01,-0.19,-18.8119,4
2011-09-30,2011-10-19,-0.48,-0.41,-0.07,-17.0732,3
2011-06-30,2011-07-20,-0.85,-0.81,-0.04,-4.9383,2
2011-03-31,2011-04-20,-1.21,-1.32,0.11,8.3333,1
2010-12-31,2011-01-19,-0.21,-0.32,0.11,34.375,4
2010-09-30,2010-10-20,0.39,0.32,0.07,21.875,3
2010-06-30,2010-07-21,-0.03,-0.01,-0.02,-200.0,2
2010-03-31,2010-04-21,-1.36,-1.31,-0.05,-3.8168,1
2009-12-31,2010-01-20,-1.25,-1.22,-0.03,-2.459,4
2009-09-30,2009-10-21,-0.93,-0.95,0.02,2.1053,3
2009-06-30,2009-07-15,-1.14,-1.28,0.14,10.9375,2
2009-03-31,2009-04-15,-1.3,-1.68,0.38,22.619,1
2008-12-31,2009-01-21,-0.77,-0.77,0.0,0.0,4
2008-09-30,2008-10-15,-1.39,-1.4,0.01,0.7143,3
2008-06-30,2008-07-16,-1.13,-1.4,0.27,19.2857,2
2008-03-31,2008-04-16,-1.32,-1.34,0.02,1.4925,1
2007-12-31,2008-01-16,-0.74,-0.75,0.01,1.3333,4
2007-09-30,2007-10-17,0.74,0.73,0.01,1.3699,3
2007-06-30,2007-07-18,1.08,1.19,-0.11,-9.2437,2
2007-03-31,2007-04-18,0.3,0.3,0.0,0.0,1
2006-12-31,2007-01-17,0.07,-0.13,0.2,153.8462,4
2006-09-30,2006-10-18,0.45,0.42,0.03,7.1429,3
2006-06-30,2006-07-19,1.14,1.14,0.0,0.0,2
2006-03-31,2006-04-19,-0.49,-0.77,0.28,36.3636,1
2005-12-31,2006-01-18,-2.39,-2.5,0.11,4.4,4
2005-09-30,2005-10-19,-0.58,-0.55,-0.03,-5.4545,3
2005-06-30,2005-07-20,0.3,0.15,0.15,100.0,2
2005-03-31,2005-04-20,-1.43,-1.61,0.18,11.1801,1
2004-12-31,2005-01-19,-2.94,-3.18,0.24,7.5472,4
2004-09-30,2004-10-20,-1.45,-1.51,0.06,3.9735,3
2004-06-30,2004-07-21,-0.15,-0.1,-0.05,-50.0,2
2004-03-31,2004-04-21,-1.03,-1.04,0.01,0.9615,1
2003-12-31,2004-01-21,-0.59,-1.01,0.42,41.5842,4
2003-09-30,2003-10-22,-0.15,-0.4,0.25,62.5,3
2003-06-30,2003-07-16,-2.26,-2.65,0.39,14.717,2
2003-03-31,2003-04-23,-6.68,-6.08,-0.6,-9.8684,1
2002-12-31,2003-01-22,-3.39,-3.73,0.34,9.1153,4
2002-09-30,2002-10-16,-3.05,-3.02,-0.03,-0.9934,3
2002-06-30,2002-07-17,-3.0,-3.04,0.04,1.3158,2
2002-03-31,2002-04-17,-3.53,-3.55,0.02,0.5634,1
2001-12-31,2002-01-16,-4.75,-5.08,0.33,6.4961,4
2001-09-30,2001-10-24,-3.4,-2.63,-0.77,-29.2776,3
2001-06-30,2001-07-18,-0.68,-0.69,0.01,1.4493,2
2001-03-31,2001-04-18,-0.28,-0.31,0.03,9.6774,1
2000-12-31,2001-01-17,0.34,0.32,0.02,6.25,4
2000-09-30,2000-10-18,1.96,1.75,0.21,12.0,3
2000-06-30,2000-07-19,1.75,1.55,0.2,12.9032,2
2000-03-31,2000-04-19,0.57,0.4,0.17,42.5,1
1999-12-31,2000-01-19,0.69,0.65,0.04,6.1538,4
1999-09-30,1999-10-20,1.76,1.7,0.06,3.5294,3
1999-06-30,1999-07-21,1.7,1.66,0.04,2.4096,2
1999-03-31,1999-04-21,0.34,0.34,0.0,0.0,1
1998-12-31,1999-01-20,1.0,1.18,-0.18,-15.2542,4
1998-09-30,1998-10-21,2.48,2.32,0.16,6.8966,3
1998-06-30,1998-07-15,2.38,2.22,0.16,7.2072,2
1998-03-31,1998-04-15,1.62,1.28,0.34,26.5625,1
1997-12-31,1998-01-21,1.17,1.09,0.08,7.3394,4
1997-09-30,1997-10-15,1.78,1.65,0.13,7.8788,3
1997-06-30,1997-07-16,1.63,1.61,0.02,1.2422,2
1997-03-31,1997-04-16,0.83,0.71,0.12,16.9014,1
1996-12-31,1997-01-15,0.67,0.64,0.03,4.6875,4
1996-09-30,1996-10-16,1.53,1.52,0.01,0.6579,3
1996-06-30,1996-07-17,1.6,1.59,0.01,0.6289,2
1996-03-31,1996-04-17,0.92,0.73,0.19,26.0274,1
