fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
2023-12-31,2024-01-29,0.0836,0.4588,-0.3752,-81.7786,4
2023-09-30,2023-11-05,7.18,7.15,0.03,0.4196,3
2023-06-30,2023-07-23,3.16,2.66,0.5,18.797,2
2023-03-31,2023-05-21,-0.72,-0.98,0.26,26.5306,1
2022-12-31,2023-01-29,0.91,0.68,0.23,33.8235,4
2022-09-30,2022-11-06,4.78,5.54,-0.76,-13.7184,3
2022-06-30,2022-07-31,0.82,0.53,0.29,54.717,2
2022-03-31,2022-05-15,-0.48,-1.02,0.54,52.9412,1
2021-12-31,2022-01-30,-0.46,-0.43,-0.03,-6.9767,4
2021-09-30,2021-11-01,1.17,0.93,0.24,25.8065,3
2021-06-30,2021-07-25,-1.45,-1.04,-0.41,-39.4231,2
2021-03-31,2021-05-16,-1.51,-1.88,0.37,19.6809,1
2020-12-31,2021-01-31,-1.69,-1.34,-0.35,-26.1194,4
2020-09-30,2020-11-01,-1.25,-0.25,-1.0,-400.0,3
2020-06-30,2020-07-26,-0.94,-1.22,0.28,22.9508,2
2020-03-31,2020-05-17,-2.89,-0.94,-1.95,-207.4468,1
2019-12-31,2020-02-02,0.44,-0.12,0.56,466.6667,4
2019-09-30,2019-11-03,4.5,4.15,0.35,8.4337,3
2019-06-30,2019-07-28,1.18,1.13,0.05,4.4248,2
2019-03-31,2019-05-19,-0.91,-0.64,-0.27,-42.1875,1
2018-12-31,2019-02-03,-0.34,-0.14,-0.2,-142.8571,4
2018-09-30,2018-10-21,4.42,4.57,-0.15,-3.2823,3
2018-06-30,2018-07-22,1.62,1.51,0.11,7.2848,2
2018-03-31,2018-05-20,0.25,0.26,-0.01,-3.8462,1
2017-12-31,2018-02-04,0.5,0.46,0.04,8.6957,4
2017-09-30,2017-10-31,4.35,4.49,-0.14,-3.118,3
2017-06-30,2017-07-24,1.76,1.49,0.27,18.1208,2
2017-03-31,2017-05-29,0.26,0.24,0.02,8.3333,1
2016-12-31,2017-02-05,0.43,0.45,-0.02,-4.4444,4
2016-09-30,2016-11-06,4.04,3.85,0.19,4.9351,3
2016-06-30,2016-07-24,1.13,1.03,0.1,9.7087,2
2016-03-31,2016-05-23,0.22,0.26,-0.04,-15.3846,1
2015-12-31,2016-01-31,0.44,0.42,0.02,4.7619,4
2015-09-30,2015-11-01,2.79,3.49,-0.7,-20.0573,3
2015-06-30,2015-07-26,1.03,1.09,-0.06,-5.5046,2
2015-03-31,2015-05-25,0.06,0.11,-0.05,-45.4545,1
2014-12-31,2015-02-01,0.26,0.18,0.08,44.4444,4
2014-09-30,2014-11-02,2.93,3.19,-0.26,-8.1505,3
2014-06-30,2014-07-28,1.0,0.77,0.23,29.8701,2
2014-03-31,2014-05-19,-0.19,0.28,-0.47,-167.8571,1
2013-12-31,2014-02-03,-0.17,-0.15,-0.02,-13.3333,4
2013-09-30,2013-11-04,2.48,2.48,0.0,0.0,3
2013-06-30,2013-07-29,0.35,0.36,-0.01,-2.7778,2
2013-03-31,2013-05-20,-0.21,-0.31,0.1,32.2581,1
2012-12-31,2013-01-28,0.08,-0.01,0.09,900.0,4
2012-09-30,2012-11-05,2.21,1.97,0.24,12.1827,3
2012-06-30,2012-07-30,0.45,0.53,-0.08,-15.0943,2
2012-03-31,2012-05-21,-0.26,-0.37,0.11,29.7297,1
2011-12-31,2012-01-30,0.07,0.03,0.04,133.3333,4
2011-09-30,2011-11-14,1.98,2.15,-0.17,-7.907,3
