fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
2023-12-31,2024-01-31,,0.15,,,4
2023-09-30,2023-10-26,0.55,0.4,0.15,37.5,3
2023-06-30,2023-07-27,0.35,-0.45,0.8,177.7778,2
2023-03-31,2023-04-27,-0.45,-0.56,0.11,19.6429,1
2022-12-31,2023-02-02,-0.93,0.08,-1.01,-1262.5,4
2022-09-30,2022-10-27,0.96,0.75,0.21,28.0,3
2022-06-30,2022-07-28,1.07,0.45,0.62,137.7778,2
2022-03-31,2022-04-28,0.35,0.01,0.34,3400.0,1
2021-12-31,2022-02-03,0.09,-0.01,0.1,1000.0,4
2021-09-30,2021-10-28,1.45,0.7,0.75,107.1429,3
2021-06-30,2021-07-29,1.22,-0.15,1.37,913.3333,2
2021-03-31,2021-04-29,0.71,0.89,-0.18,-20.2247,1
2020-12-31,2021-02-04,-0.93,-0.83,-0.1,-12.0482,4
2020-09-30,2020-10-29,0.66,-0.19,0.85,447.3684,3
2020-06-30,2020-07-30,-3.54,-0.18,-3.36,-1866.6667,2
2020-03-31,2020-05-07,0.59,0.91,-0.32,-35.1648,1
2019-12-31,2020-01-30,1.43,1.41,0.02,1.4184,4
2019-09-30,2019-10-30,1.79,1.74,0.05,2.8736,3
2019-06-30,2019-07-31,1.71,1.59,0.12,7.5472,2
2019-03-31,2019-04-25,1.33,1.15,0.18,15.6522,1
2018-12-31,2019-01-31,1.28,1.08,0.2,18.5185,4
2018-09-30,2018-10-30,1.57,1.4,0.17,12.1429,3
2018-06-30,2018-07-26,1.43,1.22,0.21,17.2131,2
2018-03-31,2018-04-26,1.03,0.86,0.17,19.7674,1
2017-12-31,2018-02-01,0.81,0.71,0.1,14.0845,4
2017-09-30,2017-10-25,1.01,0.97,0.04,4.1237,3
2017-06-30,2017-07-27,0.95,0.87,0.08,9.1954,2
2017-03-31,2017-04-27,0.65,0.52,0.13,25.0,1
2016-12-31,2017-02-02,0.54,0.52,0.02,3.8462,4
2016-09-30,2016-10-27,0.9,0.81,0.09,11.1111,3
2016-06-30,2016-07-28,0.77,0.67,0.1,14.9254,2
2016-03-31,2016-04-28,0.52,0.25,0.27,108.0,1
2015-12-31,2016-02-04,0.49,0.45,0.04,8.8889,4
2015-09-30,2015-10-27,0.71,0.66,0.05,7.5758,3
2015-06-30,2015-07-30,0.61,0.26,0.35,134.6154,2
2015-03-31,2015-04-30,0.18,-0.03,0.21,700.0,1
2014-12-31,2015-02-12,0.82,0.13,0.69,530.7692,4
2014-09-30,2014-10-29,0.5,0.4,0.1,25.0,3
2014-06-30,2014-08-06,-0.2,-0.21,0.01,4.7619,2
2014-03-31,2014-05-08,-0.44,-0.44,0.0,0.0,1
2013-12-31,2014-02-13,0.17,0.14,0.03,21.4286,4
2013-09-30,2013-11-06,0.5,0.46,0.04,8.6957,3
2013-06-30,2013-08-07,0.39,0.34,0.05,14.7059,2
2013-03-31,2013-05-08,0.06,-0.01,0.07,700.0,1
2012-12-31,2013-02-14,0.27,0.19,0.08,42.1053,4
2012-09-30,2012-11-07,0.4,0.31,0.09,29.0323,3
2012-06-30,2012-08-08,0.33,0.14,0.19,135.7143,2
2012-03-31,2012-05-02,-0.01,-0.15,0.14,93.3333,1
