fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,Quarter
2023-09-30,2023-10-26,-0.14,-0.17,0.03,17.6471,3
2023-06-30,2023-08-01,0.31,0.28,0.03,10.7143,2
2023-03-31,2023-05-03,-0.06,-0.08,0.02,25.0,1
2022-12-31,2023-02-08,0.18,0.17,0.01,5.8824,4
2022-09-30,2022-10-26,0.15,0.1,0.05,50.0,3
2022-06-30,2022-07-27,0.09,0.07,0.02,28.5714,2
2022-03-31,2022-04-28,-0.5,-0.43,-0.07,-16.2791,1
2021-12-31,2022-02-07,-0.24,-0.28,0.04,14.2857,4
2021-09-30,2021-11-10,-0.11,-0.21,0.1,47.619,3
2021-06-30,2021-08-04,-0.24,-0.29,0.05,17.2414,2
2021-03-31,2021-04-02,-0.86,-0.8,-0.06,-7.5,1
2020-12-31,2021-02-26,-0.59,0.0,-0.59,,4
2020-09-30,2020-12-31,-0.6371,0.0,-0.6371,,3
2019-09-30,2019-12-31,0.2552,0.0,0.2552,,3
2016-12-31,2017-03-31,-0.0171,0.0,-0.0171,,4
2015-12-31,2016-03-31,0.1442,0.0,0.1442,,4
