fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-09-30,2023-10-26,-1.37,-1.48,0.11,7.4324
2023-06-30,2023-08-03,0.29,0.38,-0.09,-23.6842
2023-03-31,2023-04-26,-0.82,-0.85,0.03,3.5294
2022-12-31,2023-02-06,0.12,0.04,0.08,200
2022-09-30,2022-10-26,0.03,-0.1,0.13,130
2022-06-30,2022-08-09,-0.3,-0.46,0.16,34.7826
2022-03-31,2022-05-04,-1.6,-1.58,-0.02,-1.2658
2021-12-31,2022-02-07,-0.64,-0.87,0.23,26.4368
2021-09-30,2021-10-27,-0.69,-1.02,0.33,32.3529
2021-06-30,2021-07-28,-0.34,-0.81,0.47,58.0247
2021-03-31,2021-04-21,-2.48,-2.54,0.06,2.3622
2020-12-31,2021-02-10,-1.61,-1.43,-0.18,-12.5874
2020-09-30,2020-10-28,-2.32,-2.64,0.32,12.1212
2020-06-30,2020-07-22,-3.59,-2.66,-0.93,-34.9624
2020-03-31,2020-05-06,-0.86,-0.62,-0.24,-38.7097
2019-12-31,2020-02-05,1.24,1.22,0.02,1.6393
2019-09-30,2019-10-23,1.32,1.23,0.09,7.3171
2019-06-30,2019-07-24,1.69,1.65,0.04,2.4242
2019-03-31,2019-04-24,0.84,0.84,0,0
2018-12-31,2019-02-05,1.38,1.38,0,0
2018-09-30,2018-10-24,1.47,1.38,0.09,6.5217
2018-06-30,2018-07-25,1.11,1.09,0.02,1.8349
2018-03-31,2018-04-26,0.44,0.43,0.01,2.3256
2017-12-31,2018-02-06,0.73,0.71,0.02,2.8169
2017-09-30,2017-10-26,0.94,0.9,0.04,4.4444
2017-06-30,2017-07-27,1.14,1.1,0.04,3.6364
2017-03-31,2017-04-28,0.51,0.49,0.02,4.0816
2016-12-31,2017-02-07,0.77,0.74,0.03,4.0541
2016-09-30,2016-10-25,1.24,1.17,0.07,5.9829
2016-06-30,2016-07-29,1.11,1.08,0.03,2.7778
2016-03-31,2016-04-26,1.01,0.96,0.05,5.2083
2015-12-31,2016-02-09,1.02,0.99,0.03,3.0303
2015-09-30,2015-10-27,1.35,1.32,0.03,2.2727
2015-06-30,2015-07-24,1.03,1.01,0.02,1.9802
2015-03-31,2015-04-29,0.96,0.96,0,0
2014-12-31,2015-02-10,0.8,0.78,0.02,2.5641
2014-09-30,2014-10-28,1.01,0.98,0.03,3.0612
2014-06-30,2014-07-29,0.91,0.89,0.02,2.2472
2014-03-31,2014-04-29,0.52,0.51,0.01,1.9608
2013-12-31,2014-02-19,0.56,0.5,0.06,12
2013-09-30,2013-10-30,0.79,0.75,0.04,5.3333
2013-06-30,2013-07-24,0.63,0.63,0,0
2013-03-31,2013-04-30,0.45,0.42,0.03,7.1429
2012-12-31,2013-02-19,0.48,0.24,0.24,100
2012-09-30,2012-10-31,0.35,0.35,0,0
2012-06-30,2012-07-24,0.49,0.47,0.02,4.2553
2012-03-31,2012-05-01,0.33,0.32,0.01,3.125
2011-12-31,2012-02-16,0.33,0.32,0.01,3.125
2011-09-30,2011-10-27,0.39,0.29,0.1,34.4828
2011-06-30,2011-07-28,0.37,0.22,0.15,68.1818
2011-03-31,2011-06-01,0.2954,None,None,None
