fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2023-09-30,2023-10-24,-0.3,0.2,-0.5,-250
2023-06-30,2023-07-25,0.05,0.21,-0.16,-76.1905
2023-03-31,2023-05-11,-0.61,-0.32,-0.29,-90.625
2022-12-31,2023-02-21,0.2,0.18,0.02,11.1111
2022-09-30,2022-11-09,0.03,-0.02,0.05,250
2022-06-30,2022-07-21,-0.4,-0.34,-0.06,-17.6471
2022-03-31,2022-04-27,-0.4,-0.12,-0.28,-233.3333
2021-12-31,2022-02-25,-0.01,0.42,-0.43,-102.381
2021-09-30,2021-10-21,0.64,0.49,0.15,30.6122
2021-06-30,2021-07-15,0.67,-0.02,0.69,3450
2021-03-31,2021-04-23,-0.31,-0.52,0.21,40.3846
2020-12-31,2021-02-18,0.04,0.03,0.01,33.3333
2020-09-30,2020-10-22,-0.96,-0.55,-0.41,-74.5455
2020-06-30,2020-07-26,-0.71,-0.81,0.1,12.3457
2020-03-31,2020-04-23,-0.63,-0.16,-0.47,-293.75
2019-12-31,2020-02-25,0.66,0.41,0.25,60.9756
2019-09-30,2019-10-24,0.36,0.29,0.07,24.1379
2019-06-30,2019-07-25,0.06,0.02,0.04,200
2019-03-31,2019-04-26,0.27,-0.15,0.42,280
2018-12-31,2019-02-22,0.26,0.03,0.23,766.6667
2018-09-30,2018-10-25,-0.06,0.03,-0.09,-300
2018-06-30,2018-07-20,0.02,-0.09,0.11,122.2222
2018-03-31,2018-04-20,-0.6,-0.28,-0.32,-114.2857
2017-12-31,2018-02-21,0.29,0.2,0.09,45
2017-09-30,2017-10-25,0.4,0.36,0.04,11.1111
2017-06-30,2017-07-21,-0.29,-0.09,-0.2,-222.2222
2017-03-31,2017-04-20,-0.71,-0.5,-0.21,-42
2016-12-31,2017-02-17,0.5,0.42,0.08,19.0476
2016-09-30,2016-10-26,0.51,0.42,0.09,21.4286
2016-06-30,2016-07-22,0.51,0.2,0.31,155
2016-03-31,2016-04-25,0.34,0.29,0.05,17.2414
2015-12-31,2016-02-22,0.38,0.27,0.11,40.7407
2015-09-30,2015-10-19,0.67,0.37,0.3,81.0811
2015-06-30,2015-07-27,0.22,0.17,0.05,29.4118
2015-03-31,2015-04-22,0.2,0.06,0.14,233.3333
2014-12-31,2015-02-25,0.47,0.12,0.35,291.6667
2014-09-30,2014-10-22,0.26,0.2,0.06,30
2014-06-30,2014-07-28,-0.06,-0.06,0,0
2014-03-31,2014-04-02,-0.28,-0.1,-0.18,-180
2013-12-31,2014-02-26,-0.04,0.05,-0.09,-180
2013-09-30,2013-10-29,0.2279,None,None,None
