Year,quarter,Price
2006,1,31.694891605763818
2006,2,42.178029324663406
2006,3,42.8811554107901
2006,4,50.15530495739828
2007,1,50.651839827540805
2007,2,34.26139488600578
2007,3,29.229736411456532
2007,4,21.434442272378394
2008,1,11.47285447876049
2008,2,5.840357092902269
2008,3,5.676850293541934
2008,4,6.440102628954618
2009,1,4.645629006384045
2009,2,3.042249065949223
2009,3,3.073152990087399
2009,4,3.755793600556373
2010,1,6.115417063572708
2010,2,7.50650410161629
2010,3,8.831351567468637
2010,4,10.030180002592088
2011,1,9.06061984293078
2011,2,8.375696937396643
2011,3,5.804525494755766
2011,4,5.017965817171554
2012,1,6.98290108122492
2012,2,10.10996678130334
2012,3,10.82465483364446
2012,4,11.630958995025065
2013,1,13.974492375545584
2013,2,15.964774820640303
2013,3,16.68332047805768
2013,4,21.79857629211942
2014,1,32.00622771799324
2014,2,36.70698458514103
2014,3,37.21218291519297
2014,4,40.753962260827244
2015,1,48.16270643820649
2015,2,43.45881351866868
2015,3,39.16603431784546
2015,4,41.321126725911675
2016,1,38.458588142629765
2016,2,32.52767836731069
2016,3,33.94806580796503
2016,4,42.031676408511196
2017,1,43.81772201304019
2017,2,45.02859792138496
2017,3,47.01348844785686
2017,4,48.529440518148355
2018,1,52.29477636818097
2018,2,43.20858009625418
2018,3,38.294155086807415
2018,4,34.33132758590671
2019,1,33.1126289428331
2019,2,31.91842528099046
2019,3,29.081952548412477
2019,4,28.380385678883307
