Year,quarter,Price
2006,4,22.31353187800499
2007,1,26.39071646340252
2007,2,26.316696525802197
2007,3,25.257341811815174
2007,4,27.87159421162124
2008,1,22.125452665841898
2008,2,19.363723600172456
2008,3,22.47456912203107
2008,4,31.513475338416455
2009,1,30.98991281177513
2009,2,36.523342579985176
2009,3,33.74590914112815
2009,4,34.41897552856471
2010,1,43.39011095081871
2010,2,42.513547108496546
2010,3,35.21456588567742
2010,4,39.222438887433306
2011,1,37.143663069915256
2011,2,37.07871374788298
2011,3,38.04490201641831
2011,4,42.949823890127476
2012,1,44.02514482177207
2012,2,52.73596346059792
2012,3,56.895916393554636
2012,4,60.8691344816539
2013,1,68.52557010059964
2013,2,80.68544924913147
2013,3,84.9015675300903
2013,4,91.70229976330397
2014,1,89.44029734442621
2014,2,102.54404237567663
2014,3,107.61883700681616
2014,4,115.57488764132661
2015,1,160.25972259214242
2015,2,149.0115101953406
2015,3,188.29696354966876
2015,4,173.6668075419385
2016,1,148.16521530704813
2016,2,141.03175305390292
2016,3,124.86217842846162
2016,4,143.8009189196362
2017,1,155.7134660592055
2017,2,136.37776540699159
2017,3,120.28636945499704
2017,4,132.62652874428608
2018,1,155.99138902433538
2018,2,146.51094171183615
2018,3,126.8366268838275
2018,4,114.47781454903426
2019,1,122.30473440218451
2019,2,135.33348686387313
2019,3,142.335846860375
2019,4,161.63206556195692
