Year,quarter,Price
2006,1,7.258317338611252
2006,2,8.477910926190317
2006,3,8.36524467189549
2006,4,9.156362906248276
2007,1,9.247889262700113
2007,2,6.9428240255708396
2007,3,5.647066625957783
2007,4,5.597418787527269
2008,1,5.299192255014789
2008,2,4.390608435583576
2008,3,4.274152314853346
2008,4,5.317242584988764
2009,1,5.315067536557917
2009,2,3.9262927841591813
2009,3,5.27855000911621
2009,4,6.677112087583853
2010,1,8.220621421419633
2010,2,10.223432734819452
2010,3,10.939891888104166
2010,4,12.017864205422475
2011,1,13.680148996879222
2011,2,14.655640191217044
2011,3,13.365367829190303
2011,4,15.069131207011983
2012,1,16.318656425546425
2012,2,15.464636974318676
2012,3,15.698355594274412
2012,4,18.20333376615289
2013,1,23.088291191604963
2013,2,26.535006140920586
2013,3,26.88336957258602
2013,4,32.08363131781381
2014,1,37.52751751240253
2014,2,43.25204661238904
2014,3,42.290106138143685
2014,4,48.08854985024978
2015,1,59.380780468819275
2015,2,59.211310343579186
2015,3,70.22645162015627
2015,4,73.15937514661601
2016,1,68.3711355424399
2016,2,64.37100524592569
2016,3,61.40312355509075
2016,4,73.77031235413446
2017,1,88.97468297783807
2017,2,82.84104796875997
2017,3,77.5606413987777
2017,4,67.69164535561173
2018,1,63.48031400326054
2018,2,59.517903028556844
2018,3,62.546566994470545
2018,4,62.864428366274375
2019,1,59.58891899020736
2019,2,59.60268645017113
2019,3,62.148675279805374
2019,4,67.72193278205329
