Year,quarter,Price
2006,1,15.58012437871066
2006,2,15.479401958757178
2006,3,18.269581618069637
2006,4,28.18394701114068
2007,1,38.08235406355454
2007,2,42.906647089990585
2007,3,36.61306800898956
2007,4,25.76390893562705
2008,1,25.355854863489597
2008,2,24.396686717907322
2008,3,24.28273755761654
2008,4,17.59311669028505
2009,1,19.322246350516807
2009,2,24.249549799342116
2009,3,29.74646481585179
2009,4,34.318440008296434
2010,1,38.87494294322876
2010,2,37.9781117578133
2010,3,36.1643242753681
2010,4,38.83963831596467
2011,1,40.12523254088556
2011,2,44.199815016961814
2011,3,49.22914422625461
2011,4,47.50051540469376
2012,1,52.21934116758448
2012,2,60.68896470281661
2012,3,60.2305292905469
2012,4,71.16212357900453
2013,1,83.49825033104385
2013,2,99.75156030543644
2013,3,107.23423736897212
2013,4,118.73228531088634
2014,1,110.15128149340475
2014,2,111.51628073281984
2014,3,106.93638182526908
2014,4,86.02523969964157
2015,1,88.53332113763113
2015,2,78.47636069439352
2015,3,52.6086620153245
2015,4,43.99827177276488
2016,1,47.96516310128038
2016,2,49.968617380863606
2016,3,65.99319861977808
2016,4,79.59250466807728
2017,1,89.6728095368503
2017,2,102.00097211660999
2017,3,112.60662598804733
2017,4,116.59169885605036
2018,1,120.87770395343406
2018,2,102.03956713476032
2018,3,80.18540353317577
2018,4,72.26122680319557
2019,1,82.04917474311056
2019,2,83.3005542493643
2019,3,95.56246948029826
2019,4,99.36270277862826
