Year,quarter,Price
2007,2,16.9871023073337
2007,3,16.31563211977438
2007,4,16.123506923691004
2008,1,12.603884738065931
2008,2,6.352938864718246
2008,3,6.836569444086548
2008,4,7.898678642311807
2009,1,6.495551674919529
2009,2,5.8308674594896175
2009,3,6.36360816428185
2009,4,7.92526509266081
2010,1,11.314751029620142
2010,2,11.765980148733979
2010,3,10.019616328489686
2010,4,11.476033033851193
2011,1,10.003129958105976
2011,2,8.79046175563005
2011,3,6.927170390252346
2011,4,7.202472948957808
2012,1,8.621092231354263
2012,2,9.494152589956066
2012,3,8.450541641059852
2012,4,9.056240136395504
2013,1,12.904108801990503
2013,2,15.317938841806738
2013,3,18.449081745138784
2013,4,23.880925071686427
2014,1,28.589601843166722
2014,2,33.60014469081279
2014,3,34.13311407591169
2014,4,37.65988445321886
2015,1,41.597741022596196
2015,2,39.329795383099864
2015,3,40.43799332684265
2015,4,44.65575554763601
2016,1,42.30574508395001
2016,2,38.7342522529059
2016,3,34.53169612939688
2016,4,41.820861714094086
2017,1,44.99292097162028
2017,2,45.319115098127206
2017,3,46.370599129136615
2017,4,48.87597295095916
2018,1,51.9191253061499
2018,2,50.56966834102122
2018,3,52.5168076072841
2018,4,52.351901387960424
2019,1,47.8325065018859
2019,2,54.515795363210216
2019,3,58.02042363022318
2019,4,55.29437973053506
