Year,quarter,Price
2006,1,15.08125829222724
2006,2,14.657842580117945
2006,3,15.253344094472787
2006,4,14.141622797793126
2007,1,13.761560975385102
2007,2,13.143725599173935
2007,3,13.811290481285075
2007,4,12.423204763146844
2008,1,10.94674906561866
2008,2,11.831854109544716
2008,3,13.502238280584391
2008,4,9.127369094909387
2009,1,6.220579042186033
2009,2,6.244568270829369
2009,3,7.481358683947762
2009,4,8.65912000561341
2010,1,10.956712742808332
2010,2,11.430465603320934
2010,3,10.558557590202467
2010,4,11.997613294261024
2011,1,11.209514543540969
2011,2,10.549246499386047
2011,3,8.29296153236775
2011,4,7.5137909412411155
2012,1,8.097371190947383
2012,2,7.697682081102002
2012,3,8.251710037432984
2012,4,8.501037704127388
2013,1,10.639149175277812
2013,2,12.411734491123438
2013,3,12.416096366501788
2013,4,15.949379570989825
2014,1,20.05913121029933
2014,2,23.141180882020656
2014,3,28.09573047342691
2014,4,34.43823301060937
2015,1,40.32663935097448
2015,2,36.26102373826065
2015,3,34.218721775001484
2015,4,41.0874467199702
2016,1,37.81393854366687
2016,2,39.93098171496022
2016,3,35.529431875194106
2016,4,41.93784667714392
2017,1,50.447995889302426
2017,2,54.69202767929255
2017,3,52.91363357145019
2017,4,55.52242660719197
2018,1,56.89197042997683
2018,2,50.0002178644914
2018,3,55.617918314139274
2018,4,50.77099860832791
2019,1,50.416024308192746
2019,2,49.754339307303724
2019,3,50.42165823939167
2019,4,53.65327031777509
