Year,quarter,Price
2006,1,24.486727720936774
2006,2,21.306866649498385
2006,3,21.04386804666496
2006,4,22.50182999542781
2007,1,23.29471415135902
2007,2,23.626154967580906
2007,3,21.015229678144284
2007,4,23.221743334216722
2008,1,20.794105459210705
2008,2,15.052727299566271
2008,3,14.164115305713578
2008,4,12.79396481663186
2009,1,12.21375579607677
2009,2,10.390252184700937
2009,3,12.578817496317493
2009,4,14.331081309334172
2010,1,13.490295623001591
2010,2,12.620503264537636
2010,3,11.525775366376177
2010,4,14.099639498485951
2011,1,14.549404508675632
2011,2,14.101290816364742
2011,3,11.71658482194946
2011,4,11.126253636927835
2012,1,11.3326372683808
2012,2,7.632191250551269
2012,3,7.77086172041815
2012,4,10.640963899020791
2013,1,12.97721855096468
2013,2,13.32511428758363
2013,3,13.447992265563336
2013,4,14.29333523744878
2014,1,12.339796649992701
2014,2,11.438888990846253
2014,3,9.621990648304356
2014,4,10.239099599301953
2015,1,13.250324482221796
2015,2,14.301410462310088
2015,3,15.430034847101586
2015,4,18.830371336134515
2016,1,16.284000443880196
2016,2,22.03668555758381
2016,3,26.91446365603911
2016,4,32.47254712164529
2017,1,34.62738058554078
2017,2,34.22251829954121
2017,3,36.37060707999708
2017,4,47.843838858115376
2018,1,54.121862060710555
2018,2,54.86965819585886
2018,3,58.1663126237234
2018,4,51.0466966748344
2019,1,50.58396937032695
2019,2,58.48228129720147
2019,3,58.24000297599517
2019,4,60.40482073282398
