Year,quarter,Price
2013,3,14.318333413865831
2013,4,13.93558594956994
2014,1,10.94971308942701
2014,2,7.893769845129952
2014,3,8.827695336192846
2014,4,8.113046858459711
2015,1,9.940778681489288
2015,2,12.309285727758256
2015,3,13.726289071142673
2015,4,17.082226511090994
2016,1,18.380409862174364
2016,2,19.705038975924253
2016,3,18.16882811486721
2016,4,16.65511899902707
2017,1,13.434435482948057
2017,2,13.690833341507684
2017,3,13.426388891916426
2017,4,9.95619047066522
2018,1,8.280368857696407
2018,2,6.254296887665987
2018,3,7.1270634976644365
2018,4,6.3714285634812855
2019,1,7.858565586512206
2019,2,9.268134911855062
2019,3,9.609843768179417
2019,4,10.666706327408079
