fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,285423000,565359000,279936000,492694000,-17883000,28468000,None,583242000,12444000,26189000,50534000,24345000,516851000,-135000,None,55816000,-29919000,-4853000,23745000,-25066000,-24510000,-17883000,50242000,-25066000
2023-06-30,USD,434047000,683810000,249763000,500038000,133429000,29868000,None,550381000,11845000,25678000,54562000,28884000,642989000,-45000,None,53933000,116345000,27876000,28642000,88469000,87866000,133429000,199162000,88469000
2023-03-31,USD,410068000,649687000,239619000,498903000,94825000,26928000,None,554862000,10128000,20436000,50964000,30528000,609277000,-7000,None,54680000,74418000,18269000,30528000,56149000,58134000,94825000,159626000,56149000
2022-12-31,USD,393837000,611549000,217712000,467553000,89199000,25216000,None,522350000,None,14113000,58888000,44775000,564721000,227000,None,51924000,65851000,13376000,44775000,52475000,52578000,89199000,162550000,52475000
2022-09-30,USD,311940000,560325000,248385000,499987000,-30911000,25815000,None,591236000,4918000,24312000,54258000,29946000,516476000,-223000,None,50092000,-56162000,-9703000,29946000,-46459000,-48049000,-30911000,23876000,-46459000
2022-06-30,USD,413544000,629847000,216303000,549635000,26130000,27297000,None,603717000,2218000,22279000,44694000,22415000,592604000,-101000,None,49183000,5858000,1500000,22415000,4358000,1691000,26130000,77456000,4358000
2022-03-31,USD,297264000,500109000,202845000,444186000,7229000,22350000,None,492880000,773000,17802000,36377000,18575000,463961000,6000,None,46343000,-10567000,-2686000,18575000,-7881000,-4526000,7229000,54351000,-7881000
2021-12-31,USD,163202000,496884000,333682000,135296000,33331000,21454000,None,463553000,476000,17983000,36755000,18772000,454057000,41000,None,46940000,15147000,4444000,18843000,10703000,12110000,33331000,80859000,10703000
2021-09-30,USD,140852000,459469000,318617000,124040000,66289000,22047000,None,393180000,375000,15819000,32013000,16194000,423796000,-239000,None,46399000,50231000,10977000,16194000,39254000,40028000,66289000,112824000,39254000
2021-06-30,USD,172946000,472433000,299487000,114573000,138851000,17632000,None,333582000,500000,16220000,32940000,16720000,443818000,11000,None,44522000,122571000,27544000,16649000,95027000,94901000,138851000,183813000,95027000
2021-03-31,USD,17085000,279124000,262039000,87568000,24602000,11609000,None,254522000,463000,16325000,33113000,16788000,256695000,393000,None,43174000,8670000,1801000,16788000,6869000,6897000,25458000,68632000,6869000
2020-12-31,USD,36845000,246561000,209716000,57540000,-23648000,8186000,None,270209000,913000,95066000,112632000,17566000,224840000,-2484000,None,43982000,-39217000,-10379000,16344000,-28843000,-29048000,-21651000,22331000,-28838000
2020-09-30,USD,-37243000,200984000,238227000,55555000,-33081000,7967000,None,234065000,868000,-11943000,868000,11943000,181916000,552000,None,45291000,-44708000,-15565000,11943000,-29143000,-29384000,-32765000,12526000,-29143000
2020-06-30,USD,-123602000,133347000,256949000,28785000,-113252000,8909000,None,246599000,1417000,-14053000,1417000,14053000,116520000,698000,None,43296000,-146416000,-53313000,14053000,-93103000,-92054000,-132363000,-89067000,-93103000
2020-03-31,USD,-28294000,409181000,437475000,89775000,-117805000,18455000,None,526986000,2311000,-18153000,2311000,18153000,377689000,-76000,None,43699000,-130726000,-97717000,19375000,-33009000,-33731000,-112573000,-68874000,-33009000
2019-12-31,USD,186047000,461073000,275026000,103574000,92652000,19853000,None,368421000,2485000,118337000,136607000,18270000,416977000,739000,None,41740000,78651000,18130000,18270000,60551000,60590000,96921000,138661000,60521000
2019-09-30,USD,167313000,436509000,269196000,104583000,72116000,17591000,None,364393000,3335000,-19506000,3335000,19506000,391222000,57000,None,39436000,56929000,13000000,19506000,43929000,43962000,76435000,115871000,43929000
2019-06-30,USD,199146000,491759000,292613000,119987000,108105000,20540000,None,383654000,3502000,-20942000,3502000,20942000,454779000,86000,None,38494000,91789000,21246000,20942000,70543000,70729000,112731000,151225000,70543000
