fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,BRL,4914300000,4914300000,3215000000,3215000000,957400000,205300000,None,3956800000,None,-1290500000,39400000,1329900000,None,None,None,None,-1075000000,None,None,-1075000000,None,671828000,957400000,-1075000000
2023-06-30,BRL,1160900000,4269400000,3108500000,3108500000,591900000,82160000,None,569000000,None,-1084000000,51000000,1135000000,None,None,None,627200000,497900000,1135000000,None,497900000,None,642900000,1270100000,497900000
2023-03-31,BRL,999900000,4453400000,3453500000,3453500000,524700000,15212000,None,475200000,None,-1142200000,53500000,1248400000,None,None,None,659200000,231200000,293500000,None,-322200000,None,524700000,1183900000,-62300000
2022-12-31,BRL,999900000,4453400000,3453500000,3453500000,524700000,217400000,None,475200000,None,-1162300000,86100000,1248400000,None,None,None,659200000,231200000,293500000,None,231200000,None,524700000,1183900000,-62300000
2022-09-30,BRL,869700000,4376800000,3507100000,3507100000,403800000,196900000,None,466000000,None,-1170900000,100200000,1271100000,None,None,None,621500000,-1645000000,2048700000,None,-1645000000,None,403800000,1025300000,-3693700000
2022-06-30,BRL,754000000,3924700000,3170700000,3170700000,136500000,157800000,None,617700000,None,-1027500000,42100000,1069600000,None,None,None,520200000,-2624600000,2760900000,None,-2624600000,None,136500000,656700000,-5385500000
2022-03-31,BRL,1102800000,3729800000,2627000000,2627000000,524900000,126900000,None,577900000,None,-920200000,48900000,1015000000,None,None,None,502000000,-945700000,3633200000,None,2658800000,None,588500000,1090500000,-945700000
2021-12-31,BRL,1102800000,3729800000,2627000000,2627000000,524900000,404100000,None,577900000,None,-3478900000,154300000,1015000000,None,None,None,502000000,-945700000,3633200000,None,-4767700000,None,588500000,1090500000,-945700000
2021-09-30,BRL,606900000,2717800000,2110900000,2110900000,136300000,86500000,None,470500000,None,-900800000,33600000,934400000,None,None,None,349300000,-2243700000,932900000,None,-2243700000,None,168500000,517800000,-2243700000
2021-06-30,BRL,-37700000,1702300000,1740000000,1740000000,-400200000,74400000,None,362500000,None,-794000000,30500000,824500000,None,None,None,349300000,1073200000,823200000,None,1073200000,None,-371000000,-21700000,1073200000
2021-03-31,BRL,232900000,1783700000,1550800000,1550800000,-143200000,86070000,None,376000000,None,-889803000,18026000,852800000,None,None,None,383000000,538200000,-5200000,None,-2786626000,None,-66200000,316800000,543400000
2020-12-31,BRL,232900000,1783700000,1550800000,1550800000,-143200000,103800000,None,376000000,None,-838400000,14400000,852800000,None,None,None,383000000,538200000,-5200000,None,543400000,None,-66200000,316800000,543400000
2020-09-30,BRL,-407900000,805300000,1213200000,1213200000,-247700000,264156000,None,-160300000,None,-563400000,12300000,575700000,None,None,None,445900000,-1204000000,22400000,None,-1226400000,None,-154400000,291500000,-1226300000
2020-06-30,BRL,-546000000,401600000,947600000,947600000,-820200000,56400000,None,274300000,None,-582200000,20800000,603000000,None,None,None,495900000,-2946400000,-9600000,None,-2936800000,None,-1038400000,-542500000,-2936800000
