fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,376183000,867710000,491527000,491527000,205014000,29394000,None,171171000,None,-67818000,15108000,82926000,None,None,None,16975000,214555000,27179000,None,187376000,None,205014000,221989000,187375000
2023-06-30,USD,361573000,809190000,447617000,447617000,194667000,31158000,None,166905000,None,-18547000,152308000,30517000,None,None,None,12895000,43284000,25775000,None,17509000,None,194667000,207562000,17509000
2023-03-31,USD,365751000,867265000,501514000,501514000,193212000,33228000,None,172537000,None,-15523000,8842000,24365000,None,None,None,10077000,142192000,20671000,None,121521000,None,193212000,203289000,121521000
2022-12-31,USD,393048000,890612000,497564000,497564000,219657000,36492000,None,173391000,None,-15975000,109840000,23388000,None,None,None,8635000,111039000,22758000,None,88281000,None,219657000,228292000,88280000
2022-09-30,USD,310034000,809445000,499411000,499411000,143692000,30363000,None,166341000,None,-17982000,4546000,22528000,None,None,None,8775000,128179000,12241000,None,115938000,None,143692000,152467000,115939000
2022-06-30,USD,198726000,693395000,494669000,494669000,42261000,56222000,None,156464000,None,-17744000,3526000,21270000,None,None,None,809000,128636000,4560000,None,124076000,None,42261000,43070000,124076000
2022-03-31,USD,286789000,574995000,288206000,288206000,154989000,46033000,None,131799000,None,-17900000,2545000,18994000,None,None,None,-10017000,125978000,11616000,None,19759000,None,166419000,156402000,114363000
2021-12-31,USD,286789000,574995000,288206000,288206000,154989000,155517000,None,131799000,None,-16423000,27853000,18994000,None,None,None,-10017000,125978000,11616000,None,114362000,None,166419000,156402000,114363000
2021-09-30,USD,174006000,444999000,270993000,270993000,59010000,130993000,None,114997000,None,-15936000,50648000,18615000,None,None,None,1107000,6790000,-1453000,None,8243000,None,59010000,60117000,8242000
2021-06-30,USD,94230000,304258000,210028000,210028000,8736000,28441000,None,85493000,None,-15880000,2745000,18625000,None,None,None,3162000,27935000,-138000,None,28073000,None,8736000,11898000,28073000
2021-03-31,USD,-38560000,158636000,197196000,197196000,-95057000,21652000,None,56496000,None,-14965000,2853000,18360000,None,None,None,4597000,-186535000,-17731000,None,-110733000,None,-95057000,-90460000,-168805000
2020-12-31,USD,-38560000,158636000,197196000,197196000,-95057000,18646000,None,56496000,None,-14789000,3571000,18360000,None,None,None,4597000,-186535000,-17731000,None,-168804000,None,-95057000,-90460000,-168805000
2020-09-30,USD,-86342000,32382000,118724000,118724000,-106966000,5985000,None,20626000,None,9509000,8649000,16264000,None,None,None,1764000,-118245000,-188000,None,267961000,None,-106966000,-105202000,-118057000
2020-06-30,USD,-336895000,14532000,351427000,351427000,-357875000,38257000,None,20980000,None,-16614000,43077000,27056000,None,None,None,6125000,-400504000,-14486000,None,-460292000,None,-357875000,-351750000,-386018000
