fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,BRL,1548505000,4665446000,3116941000,3116941000,680699000,489962000,None,766687000,None,-1119340000,1746765000,974984000,None,None,None,424995000,-1255557000,44810000,None,-1300367000,None,680699000,1105694000,-1300367000
2023-06-30,BRL,1144985000,4145926000,3000941000,3000941000,86854000,514058000,None,884438000,None,-998425000,287183000,752405000,None,None,None,410069000,534599000,-21690000,None,556289000,None,86854000,496923000,556289000
2023-03-31,BRL,1406282000,4920195000,3513913000,3513913000,796495000,378357000,None,609787000,None,-715950000,125295000,728457000,None,None,None,409255000,637183000,17658000,None,619525000,None,796495000,1205750000,619525000
2022-12-31,BRL,1258199000,4726612000,3468413000,3468413000,277384000,567057000,None,493984000,None,-1085174000,56664000,731396000,None,None,None,461821000,250010000,19100000,None,230910000,None,277384000,739205000,230910000
2022-09-30,BRL,760727000,4009606000,3248879000,3248879000,-36837000,324823000,None,797564000,None,-836769000,1358111000,673613000,None,None,None,-23425000,-1537215000,11654000,None,-1548869000,None,-36837000,-60262000,-1548869000
2022-06-30,BRL,523897000,3242055000,2718158000,2718158000,-412329000,284117000,None,715811000,None,-778963000,2548890000,597574000,None,None,None,427249000,-2968475000,-117376000,None,-2851099000,None,-412329000,14920000,-2851099000
2022-03-31,BRL,606951000,3220452000,2613501000,2613501000,-64891000,339514000,None,585301000,None,-750986000,2886729000,608954000,None,None,None,397549000,2738005000,130420000,None,2607585000,None,-64891000,332658000,2607585000
2021-12-31,BRL,-1456446000,2922334000,4378780000,4378780000,-3518772000,807368000,None,915428000,None,260324000,914945000,521022000,None,None,None,382160000,-4546968000,-32143000,None,-2809322000,None,-3518772000,-3136612000,-4514825000
2021-09-30,BRL,-230392000,1915051000,2145443000,2145443000,-752452000,777932000,None,402795000,None,-495976000,1896525000,506500000,None,None,None,319015000,-2719610000,-192884000,None,-2526726000,None,-633187000,-314172000,-2526725000
2021-06-30,BRL,-503905000,1028372000,1532277000,1532277000,-810249000,58489000,None,306344000,None,-484524000,3817000,455280000,None,None,None,298339000,669670000,11635000,None,658035000,None,-810249000,-511910000,642913000
2021-03-31,BRL,-361781000,1567627000,1929408000,1929408000,-522504000,329473000,None,165514000,None,-383396000,1890388000,227323000,None,None,None,336299000,-2484822000,20969000,None,-2505791000,None,-683368000,-347069000,-2528403000
2020-12-31,BRL,-1589848000,1891322000,3481170000,3481170000,269715000,306212000,None,86597000,None,-2820761000,736969000,1389085000,None,None,None,400762000,6867220000,23071000,None,6844149000,None,8256305000,8657067000,16824000
2020-09-30,BRL,15950000,974920000,958970000,958970000,-768024000,423605000,None,783974000,None,-383477000,860624000,442575000,None,None,None,451209000,-1687555000,8370000,None,-1695925000,None,-708926000,-257717000,-1719770000
2020-06-30,BRL,-144158000,357848000,502006000,502006000,-897600000,293633000,None,765213000,None,-571063000,1025994000,369587000,None,None,None,490545000,-1993980000,3101000,None,-1997081000,None,-1107691000,-617146000,-1996913000
2020-03-31,BRL,-2052153000,3803343000,5855496000,5855496000,694677000,296531000,None,174838000,None,153699000,2566867000,443190000,None,None,None,458544000,560533000,124457000,None,-2261609000,None,-2226991000,-1768447000,351709000
2019-12-31,BRL,-2052153000,3803343000,5855496000,5855496000,694677000,759293000,0,174838000,None,-506165000,668370000,443190000,None,0,None,458544000,560533000,124457000,None,436076000,None,-2226991000,-1768447000,351709000
2019-09-30,BRL,901774000,3709937000,2808163000,2808163000,607308000,574089000,0,294466000,None,-177181000,727195000,325282000,None,0,None,448635000,-177477000,-6357000,None,-171120000,None,755409000,1204044000,-242052000
2019-06-30,BRL,677887000,3140616000,2462729000,2462729000,318878000,241472000,0,364063000,None,-463435000,364414000,308375000,None,0,None,415226000,-99226000,21598000,None,-120824000,None,166476000,581702000,-194623000
2019-03-31,BRL,693800000,3210900000,2517100000,2517100000,506200000,400998000,0,187600000,None,-401100000,345099000,296082000,None,0,None,405577000,105100000,69900000,None,35200000,None,506200000,911777000,-32300000
2018-12-31,BRL,274896000,3200854000,2925958000,2925958000,672362000,857497.47,0,-377007000,None,None,None,187387000,None,0,None,178668000,654804000,74528000,None,658756.02,None,750200000,928868000,502407000
2018-09-30,BRL,308000000,2892400000,2584400000,2584400000,180500000,277207000,0,127600000,None,None,None,184700000,None,0,None,174200000,-205400000,103500000,None,-76865185.04,None,73300000,247500000,-409200000
2018-06-30,BRL,387065000,2353828000,1966763000,1966763000,42806000,188755000,0,448194000,None,None,None,173559000,None,0,None,165080000,-1218437000,53516000,None,-325058267.31,None,-13748000,151332000,-1325982000
2018-03-31,BRL,740200000,2978300000,2238100000,2238100000,388000000,742695000,0,352400000,None,None,None,153600000,None,None,None,143554000,-34600000,-98400000,None,66693947.81,None,315400000,458954000,5700000
2017-12-31,BRL,740200000,2978300000,2238100000,2238100000,388000000,742695000,0,352400000,None,None,None,153600000,None,None,None,143554000,-34600000,-98400000,None,-1155114000,None,315400000,458954000,5700000
