fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,158959000,710485000,551526000,272932000,-54917000,29695000,None,114723000,13685000,-20291000,13685000,20291000,730776000,-644000,None,34760000,-60520000,-11800000,20291000,-48720000,-47566000,-54917000,-43583000,-48720000
2023-06-30,USD,182413000,682510000,500097000,234026000,-9580000,28391000,None,114671000,13539000,-20760000,13539000,20760000,703270000,-920000,None,10912000,-14461000,-2126000,20760000,-12335000,-11808000,-9580000,1332000,-12335000
2023-03-31,USD,51429000,586116000,534687000,264516000,-117427000,28238000,None,98095000,16465000,-21422000,16465000,21422000,607538000,155000,None,17386000,-125831000,-27574000,21422000,-98257000,-100309000,-117427000,-100041000,-98257000
2022-12-31,USD,12065000,728305000,716240000,276184000,-32788000,62576000,None,318513000,11858000,-26947000,11858000,26947000,755252000,912000,None,-1606000,-62918000,-12758000,26947000,-50160000,-27666000,-32788000,-21893000,-50160000
2022-09-30,USD,182545000,717946000,535401000,290290000,-3372000,32505000,None,113219000,9287000,-22145000,9287000,22145000,740091000,-688000,None,14738000,-10779000,-1510000,22145000,-9269000,-23411000,-3372000,22760000,-9269000
2022-06-30,USD,-325846000,659840000,318338000,289723000,-26089000,28615000,None,28615000,6562000,1060000,6562000,-1060000,-8568000,-2005000,None,12180000,-53854000,-6480000,7508000,-36774000,-53044000,-26089000,-13909000,-47374000
2022-03-31,USD,123133000,477214000,354081000,150982000,-147805000,20647000,None,30687000,4434000,-23985000,4434000,23985000,477214000,374000,None,16966000,-166298000,-33020000,0,-314455000,-149288000,-147805000,-130839000,-133278000
2021-12-31,USD,-116447000,455905000,572352000,181269000,-71342000,51669000,None,263165000,3942000,-31531000,3942000,31531000,487436000,82000,None,138299000,-119374000,-26800000,66426000,-92574000,-60268000,-71342000,-58970000,-92574000
2021-09-30,USD,106583000,479831000,373248000,171879000,43467000,20964000,None,78458000,2067000,-29017000,2067000,29017000,508848000,-77000,None,33899000,19169000,4500000,29017000,14669000,14959000,43467000,48186000,14669000
2021-06-30,USD,45273000,381242000,335969000,138858000,18475000,17270000,None,79783000,1345000,-29539000,1345000,29539000,410781000,444000,None,35113000,-8294000,-2117000,29539000,-6177000,-5760000,18475000,30228000,-6177000
2021-03-31,USD,33951000,155414000,121463000,97245000,-73164000,11409000,None,58468000,1249000,-23009000,1249000,23009000,178423000,20896000,None,35356000,-76824000,-16133000,27003000,-60691000,-61015000,-73164000,-50038000,-60691000
2020-12-31,USD,-5400000,114865000,5400000,69317000,-209478000,31653000,None,5400000,1003000,-20061000,1003000,20061000,134926000,5489000,None,-1735000,-228759000,-66199000,20061000,-10800000,-160788000,-209478000,-211213000,-162560000
2020-09-30,USD,-32194000,64920000,97114000,54930000,-121073000,5201000,None,62093000,1942000,-10765000,1942000,10765000,75685000,-6244000,None,36734000,-143584000,-46485000,10765000,-97099000,-110228000,-121073000,-108022000,-97099000
2020-06-30,USD,-59316000,52520000,111836000,44566000,-148964000,2927000,None,77710000,2766000,-7300000,2766000,7300000,59820000,774000,None,39333000,-152521000,-45617000,7300000,-106904000,-107522000,-148964000,-111023000,-106904000
2020-03-31,USD,54810000,546728000,491918000,170248000,-168096000,26716000,None,210393000,3020000,-5964000,3020000,5964000,552692000,1966000,None,39449000,-175188000,-30816000,5964000,-144372000,-143041000,-168096000,-56072000,-144372000
2019-12-31,USD,708137000,708137000,1086432000,670796000,69284000,64218000,None,300457000,3378000,-7801000,3378000,7801000,708137000,4434000,None,165759000,67909000,18192000,7801000,67909000,35947000,69284000,241469000,49717000
2019-09-30,USD,478303000,742579000,264276000,41762000,116636000,33291000,None,114828000,3148000,-7319000,3148000,7319000,749898000,-1445000,None,6361000,108519000,28443000,7319000,80076000,83050000,116636000,122199000,80076000
2019-06-30,USD,442159000,700805000,258646000,39641000,88881000,32471000,None,109574000,3074000,-8164000,3074000,8164000,708969000,-3083000,None,6464000,79609000,21776000,8164000,57833000,55625000,88881000,94237000,57833000
