fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,-92525000,114366000,27002000,418000,-20242000,9893000,None,26693000,18000,-13600000,18000,13600000,114961000,392000,13300000,13299000,-31299000,-2954000,15105000,-28345000,-28345000,-17699000,-4400000,-28345000
2023-06-30,USD,168276000,226291000,58015000,864000,-40230000,11346000,None,50429000,8000,-12015000,8000,12015000,117591000,-946000,15300000,15316000,-50324000,-2764000,12015000,-47560000,-47560000,-38309000,-22993000,-47560000
2023-03-31,USD,153646000,201303000,47657000,835000,-26871000,13538000,None,46822000,49000,-13030000,49000,13030000,123934000,538000,16500000,16541000,-37219000,-2097000,13030000,-35122000,-35122000,-24189000,-7648000,-35122000
2022-12-31,USD,141704000,178697000,36993000,4083000,2447000,13988000,None,32910000,71000,-11276000,71000,11276000,148873000,417000,14400000,15203000,-10020000,-930000,11276000,-9090000,-9090000,1256000,16459000,-9090000
2022-09-30,USD,105438000,278937000,173499000,9304000,-141197000,12416000,None,159472000,22000,-10523000,22000,10523000,131060000,-598000,20600000,19630000,-148639000,-33003000,10920000,-115636000,-115636000,-138116000,-118486000,-115636000
2022-06-30,USD,89067000,129581000,40514000,9299000,213000,11112000,None,31215000,24000,-8716000,24000,8716000,138297000,-73000,19300000,20103000,-12478000,-2493000,8716000,-9985000,-9985000,-3762000,16341000,-9985000
2022-03-31,USD,39477000,117393000,77916000,9434000,-44755000,7860000,None,68482000,42000,-8120000,42000,8120000,125513000,-71000,20100000,20747000,-55165000,-12382000,8120000,-42783000,-42783000,-47045000,-26298000,-42783000
2021-12-31,USD,95135000,139822000,44687000,11081000,-3986000,12578000,None,33611000,51000,-7930000,51000,7930000,147752000,-59000,20500000,21028000,-18386000,-4112000,7930000,-14274000,-14274000,-10456000,10572000,-14274000
2021-09-30,USD,248474000,292689000,44215000,9945000,5089000,13531000,None,34298000,78000,-8266000,78000,8266000,130755000,12000,20000000,20739000,-9903000,-2408000,8266000,-7495000,-7495000,-1637000,19102000,-7495000
2021-06-30,USD,73628000,116530000,42902000,9882000,14374000,12087000,None,33020000,82000,-8627000,82000,8627000,125157000,-28000,20600000,20933000,5801000,1525000,8627000,4276000,4276000,14428000,35361000,4276000
2021-03-31,USD,46466000,88525000,42059000,10190000,16761000,11164000,None,31869000,79000,-8755000,79000,8755000,97280000,-506000,20400000,20705000,7579000,1890000,8755000,5689000,5689000,16334000,37039000,5689000
