fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-12-31,EUR,135700000,2698700000,2563000000,2563000000,-18900000,154600000,None,154600000,None,15800000,15800000,None,None,None,None,263400000,2700000,-12100000,None,14800000,None,-24700000,238700000,14800000
2023-09-30,EUR,1943800000,4925900000,2982100000,2982100000,1704600000,239200000,None,239200000,None,13700000,13700000,None,None,None,None,500000,1717800000,202600000,None,1515200000,None,1704600000,1705100000,1515200000
2023-06-30,EUR,-77400000,1847000000,1924400000,1924400000,-224300000,None,None,146900000,None,None,None,-7700000,None,None,None,257400000,-193100000,-41400000,None,None,None,-224300000,33100000,-151700000
2023-03-31,EUR,-77400000,1847000000,1924400000,1924400000,-224300000,146900000,None,146900000,None,7700000,None,7700000,None,None,None,257400000,-193100000,-41400000,None,-151700000,None,-224300000,33100000,-151700000
2022-12-31,EUR,311500000,2312100000,2000600000,2000600000,151400000,160100000,None,160100000,None,-5900000,None,5900000,None,None,None,212700000,212800000,10700000,None,202100000,None,151400000,364100000,202100000
2022-09-30,EUR,1469500000,4014600000,2545100000,2545100000,1275800000,193700000,None,193700000,None,-16100000,None,16100000,None,None,None,226700000,1219700000,143800000,None,1075900000,None,1275800000,1502500000,1075900000
2022-06-30,EUR,-43400000,1176100000,1219500000,1219500000,-172400000,49000000,None,129000000,None,-20100000,None,22700000,None,None,None,189600000,-197100000,-99700000,None,187500000,None,-172400000,17200000,-97400000
2022-03-31,EUR,311500000,2312100000,2000600000,2000600000,151400000,49000000,None,160100000,None,-22700000,None,5900000,None,None,None,212700000,212800000,10700000,None,-97400000,None,151400000,364100000,202100000
2021-12-31,EUR,-2700000,1469900000,1472600000,1472600000,-116700000,114000000,None,114000000,None,-24000000,None,24000000,None,None,None,193600000,-132800000,-37000000,None,-95800000,None,-116700000,76900000,-95800000
2021-09-30,EUR,-232600000,370500000,603100000,603100000,-304500000,96400000,None,71900000,None,-23300000,None,21400000,None,None,None,134300000,-324500000,-51900000,None,225000000,None,-304500000,-170200000,-272600000
2021-06-30,EUR,-286200000,118400000,404600000,404600000,-330300000,33800000,None,44100000,None,-21400000,None,26000000,None,None,None,131600000,-313900000,-30100000,None,-272600000,None,-287900000,-156300000,-283800000
2021-03-31,EUR,-2700000,1469900000,1472600000,1472600000,-116700000,33800000,None,114000000,None,-26000000,None,24000000,None,None,None,193600000,-132800000,-37000000,None,-283800000,None,-116700000,76900000,-95800000
2020-12-31,EUR,-281400000,341200000,622600000,622600000,-332400000,51000000,None,51000000,None,-12400000,None,12400000,None,None,None,142900000,-362500000,-41700000,None,-320800000,None,-332400000,-189500000,-320800000
2020-09-30,EUR,-145200000,125200000,270400000,270400000,-187600000,64000000,None,42400000,None,-5900000,None,9400000,None,None,None,134000000,-210000000,-24900000,None,-225500000,None,-187600000,-53600000,-185100000
2020-06-30,EUR,-109900000,1199100000,1309000000,1309000000,-252200000,42400000,None,142300000,None,-9400000,22400000,13500000,None,None,None,177200000,-670700000,-79000000,None,-185100000,None,-657200000,-480000000,-591700000
2020-03-31,EUR,-281400000,341200000,622600000,622600000,-332400000,142300000,None,51000000,None,-13500000,418500000,12400000,None,None,None,142900000,-362500000,-41700000,None,-591700000,None,-332400000,-189500000,-320800000
2019-12-31,EUR,228700000,1906000000,1677300000,1677300000,91300000,137400000,0,137400000,None,-11300000,9700000,11300000,None,0,None,190400000,81600000,-6200000,None,87800000,None,91300000,281700000,87800000
2019-09-30,EUR,420700000,2312400000,1891700000,1891700000,275200000,154500000,0,145500000,None,-13100000,15400000,13500000,None,0,None,192800000,262300000,19400000,None,910200000,None,275200000,468000000,242900000
2019-06-30,EUR,-184800000,1278000000,1462800000,1462800000,-219700000,54800000,0,240900000,None,-13500000,12900000,13800000,None,0,None,156700000,-231800000,-32200000,None,242900000,None,-428000000,-271300000,-199600000
2019-03-31,EUR,228700000,1906000000,1677300000,1677300000,91300000,54800000,0,137400000,None,-10100000,None,11300000,None,0,None,190400000,81600000,-6200000,None,-199600000,None,91300000,281700000,87800000
2018-12-31,EUR,147300000,1581400000,1434100000,1434100000,-68000000,157561426.69,0,104400000,None,None,None,14200000,None,0,None,164600000,-83600000,-17500000,None,-99758719.39,None,-121700000,42900000,-66100000
2018-09-30,EUR,500200000,2078900000,1578700000,1578700000,370500000,257235471.17,0,129700000,None,None,None,16700000,None,0,None,157200000,345400000,36200000,None,974183838.85,None,361200000,518400000,309200000
2018-06-30,EUR,169800000,1320800000,1151000000,1151000000,64900000,150954376.16,0,104900000,None,None,None,14900000,None,0,None,140800000,52700000,600000,None,359869646.18,None,66900000,207700000,52100000
2018-03-31,EUR,147300000,1581400000,1434100000,1434100000,-68000000,129044162.87,0,104400000,None,None,None,14200000,None,None,None,164600000,-83600000,-17500000,None,64091524.17,None,-121700000,42900000,-66100000
2017-12-31,EUR,207700000,1404900000,1197200000,1197200000,126000000,102375000,0,81700000,None,None,None,13600000,None,None,None,140100000,112900000,7300000,None,4400000,None,126000000,266100000,105600000
2017-09-30,EUR,560800000,1910300000,1349500000,1349500000,460200000,202700000,0,100600000,None,None,None,17800000,None,None,None,139000000,443700000,46600000,None,-295900000,None,460800000,599800000,397100000
2017-06-30,EUR,173100000,1171300000,998200000,998200000,66700000,33500000,0,106400000,None,None,None,13400000,None,None,None,122800000,55200000,1600000,None,397100000,None,67400000,190200000,53600000
2017-03-31,EUR,207700000,1404900000,1197200000,1197200000,126000000,33500000,0,81700000,None,None,None,13600000,None,None,None,140100000,112900000,7300000,None,1315900000,None,126000000,266100000,105600000
2016-12-31,EUR,195900000,1345000000,1149100000,1149100000,118800000,69536000,0,77100000,None,None,None,13900000,None,None,None,122800000,106200000,11500000,None,0,None,119800000,242600000,94700000
2016-09-30,EUR,394400000,1687400000,1293000000,1293000000,306800000,188400000,0,87600000,None,None,None,21000000,None,None,None,125600000,286500000,31000000,None,0,None,308100000,433700000,255500000
2016-06-30,EUR,181600000,1166200000,984600000,984600000,73600000,33500000,0,108000000,None,None,None,18800000,None,None,None,107300000,54300000,3600000,None,0,None,75200000,182500000,50700000
2016-03-31,EUR,195900000,1345000000,1149100000,1149100000,118800000,33500000,0,77100000,None,None,None,13900000,None,None,None,122800000,106200000,11500000,None,1559100000,None,119800000,242600000,94700000
2015-12-31,EUR,195200000,1329500000,1134300000,1134300000,126000000,70629000,0,69200000,None,None,None,17500000,None,None,None,104900000,111100000,8400000,None,0,None,128300000,233200000,102700000
2015-09-30,EUR,363400000,1652700000,1289300000,1289300000,288400000,151800000,0,75000000,None,None,None,17300000,None,None,None,106200000,277800000,32700000,None,0,None,299000000,405200000,245100000
2015-06-30,EUR,115100000,984400000,869300000,869300000,37900000,23800000,0,77200000,None,None,None,16500000,None,None,None,90000000,20600000,-2200000,None,0,None,40900000,130900000,22800000
2015-03-31,EUR,195200000,1329500000,1134300000,1134300000,126000000,23800000,0,69200000,None,None,None,17500000,None,None,None,104900000,111100000,8400000,None,866700000,None,128300000,233200000,102700000
2014-12-31,EUR,128200000,1132200000,1004000000,1004000000,71600000,61962000,0,56600000,None,None,None,19900000,None,None,None,92600000,54300000,5400000,None,0,None,73700000,166300000,48900000
2014-09-30,EUR,291400000,1495700000,1204300000,1204300000,231800000,74869000,0,59600000,None,None,None,19000000,None,None,None,96700000,223600000,26800000,None,0,None,240900000,337600000,196800000
2014-06-30,EUR,31900000,817500000,785600000,785600000,-35600000,22100000,0,67500000,None,None,None,19700000,None,None,None,84100000,-52200000,-8300000,None,0,None,-33300000,50800000,-43900000
2014-03-31,EUR,128200000,1132200000,1004000000,1004000000,71600000,22100000,0,56600000,None,None,None,19900000,None,None,None,92600000,54300000,5400000,None,522800000,None,73700000,166300000,48900000
2013-12-31,EUR,21000000,964400000,943400000,943400000,-23000000,63150000,0,44000000,None,None,None,20800000,None,None,None,85400000,-41800000,-6600000,None,0,None,-20600000,64800000,-35200000
2013-09-30,EUR,157000000,1342200000,1185200000,1185200000,103300000,70088000,0,53700000,None,None,None,21700000,None,None,None,90500000,88500000,10400000,None,0,None,112400000,202900000,78100000
2013-06-30,EUR,31500000,809100000,777600000,777600000,-29100000,388600000,0,60600000,None,None,None,22500000,None,None,None,80600000,-47700000,-3300000,None,0,None,-26000000,54600000,-44400000
2013-03-31,EUR,21000000,964400000,943400000,943400000,-23000000,388600000,0,44000000,None,None,None,20800000,None,None,None,85400000,-41800000,-6600000,None,0,None,-20600000,64800000,-35200000
2012-12-31,EUR,80100000,968800000,888700000,888700000,34600000,124300000,0,45500000,None,None,None,24000000,None,None,None,79100000,19300000,1200000,None,0,None,39400000,118500000,18100000
2012-09-30,EUR,183600000,1283900000,1100300000,1100300000,132000000,82606000,0,51600000,None,None,None,26400000,None,None,None,84800000,112500000,13700000,None,0,None,139700000,224500000,98800000
2012-06-30,EUR,-480600000,833400000,1314000000,1314000000,3300000,20000000,0,-483900000,None,None,None,26700000,None,None,None,77200000,-2100000,-4100000,None,0,None,24600000,101800000,2000000
2012-03-31,EUR,80100000,968800000,888700000,888700000,34600000,124300000,0,45500000,None,None,None,24000000,None,None,None,79100000,19300000,1200000,None,0,None,39400000,118500000,18100000
2011-12-31,EUR,239000000,844400000,605400000,605400000,29400000,48750000,0,209600000,None,None,None,27700000,None,None,None,76200000,15500000,600000,None,0,None,43200000,119400000,14900000
2011-09-30,EUR,398300000,1155400000,757100000,757100000,169900000,66371000,0,228400000,None,None,None,27000000,None,None,None,77900000,156600000,17300000,None,0,None,179600000,257500000,139300000
2011-06-30,EUR,155400000,701600000,546200000,546200000,-56900000,62739000,0,212300000,None,None,None,26300000,None,None,None,72900000,-80600000,-13600000,None,0,None,-46100000,26800000,-67000000
2011-03-31,EUR,239000000,844400000,605400000,605400000,29400000,61094000,0,209600000,None,None,None,27700000,None,None,None,76200000,15500000,600000,None,0,None,43200000,119400000,14900000
2010-12-31,EUR,202700000,746300000,543600000,543600000,-300000,56673000,0,203000000,None,None,None,24000000,None,None,None,69200000,-12700000,-2400000,None,0,None,7500000,76700000,-10300000
2010-09-30,EUR,348600000,896800000,548200000,548200000,119400000,62218000,0,229200000,None,None,None,20200000,None,None,None,61900000,104600000,10900000,None,0,None,125600000,187500000,93700000
2010-06-30,EUR,145200000,609400000,464200000,464200000,-51900000,35029000,0,197100000,None,None,None,19100000,None,None,None,66400000,-65900000,-8600000,None,0,None,-45200000,21200000,-57300000
2010-03-31,EUR,202700000,746300000,543600000,543600000,-300000,54972000,0,203000000,None,None,None,24000000,None,None,None,69200000,-12700000,-2400000,None,0,None,7500000,76700000,-10300000
