fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,USD,30000000,882000000,852000000,574000000,-54000000,44000000,None,97000000,10000000,-1000000,10000000,1000000,883000000,None,None,13000000,-45000000,-13000000,1000000,-32000000,-28000000,-54000000,-31000000,-32000000
2023-06-30,USD,180000000,966000000,786000000,516000000,79000000,47000000,None,112000000,10000000,-1000000,10000000,1000000,967000000,10000000,None,12000000,88000000,17000000,1000000,71000000,74000000,79000000,101000000,71000000
2023-03-31,USD,42000000,848000000,806000000,547000000,-25000000,44000000,None,42000000,8000000,0,8000000,0,848000000,8000000,None,11000000,-17000000,-4000000,0,-13000000,-20000000,-25000000,-6000000,-13000000
2022-12-31,USD,105000000,906000000,801000000,555000000,45000000,48000000,None,46000000,5000000,0,5000000,0,906000000,5000000,None,9000000,50000000,10000000,0,40000000,37000000,45000000,59000000,40000000
2022-09-30,USD,134000000,905000000,771000000,547000000,56000000,46000000,None,83000000,3000000,-1000000,3000000,1000000,906000000,3000000,None,8000000,58000000,27000000,1000000,31000000,38000000,56000000,67000000,31000000
2022-06-30,USD,72000000,908000000,836000000,588000000,7000000,50000000,None,113000000,2000000,-1000000,2000000,1000000,909000000,2000000,None,15000000,8000000,-5000000,1000000,13000000,13000000,7000000,24000000,13000000
2022-03-31,USD,-89000000,590000000,679000000,448000000,-153000000,35000000,None,100000000,0,-8000000,None,8000000,598000000,None,None,13000000,-161000000,-40000000,15000000,-121000000,-121000000,-153000000,-140000000,-121000000
2021-12-31,USD,-12000000,608000000,620000000,416000000,-86000000,32000000,None,78000000,1000000,-1000000,1000000,1000000,609000000,1000000,None,10000000,-86000000,-33000000,1000000,-53000000,-53000000,-86000000,-75000000,-53000000
2021-09-30,USD,18000000,627000000,609000000,402000000,43000000,36000000,None,70000000,1000000,-3000000,1000000,3000000,630000000,1000000,None,10000000,41000000,18000000,3000000,23000000,23000000,43000000,54000000,23000000
2021-06-30,USD,-29000000,546000000,575000000,379000000,18000000,32000000,None,61000000,None,-4000000,None,4000000,550000000,None,None,10000000,14000000,-5000000,4000000,19000000,20000000,18000000,28000000,19000000
2021-03-31,USD,-209000000,250000000,459000000,292000000,-92000000,20000000,None,30000000,None,-21000000,None,21000000,271000000,None,None,8000000,-113000000,-22000000,21000000,-91000000,-91000000,-92000000,-84000000,-91000000
2020-12-31,USD,-156000000,267000000,423000000,423000000,-184000000,16000000,None,28000000,None,-9000000,1000000,10000000,None,None,None,10000000,-193000000,-66000000,None,-127000000,-125000000,-184000000,-174000000,-127000000
2020-09-30,USD,-148000000,245000000,393000000,393000000,-81000000,17000000,None,-67000000,None,-1000000,None,1000000,None,None,None,8000000,-82000000,-31000000,None,-51000000,-44000000,-81000000,-73000000,-51000000
2020-06-30,USD,-45000000,194000000,239000000,239000000,6000000,15000000,None,-51000000,None,None,1000000,1000000,None,None,None,7000000,6000000,-11000000,None,17000000,19000000,6000000,13000000,17000000
2020-03-31,USD,-41000000,544000000,585000000,585000000,-106000000,30000000,None,65000000,None,3000000,3000000,None,None,None,None,8000000,-103000000,-39000000,None,-64000000,-90000000,-106000000,-98000000,-64000000
