fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2023-09-30,MXN,116000000,848000000,732000000,732000000,39000000,49000000,None,77000000,None,-52000000,8000000,60000000,None,None,None,8000000,-34000000,5000000,None,-39000000,None,39000000,47000000,-39000000
2023-06-30,MXN,118000000,782000000,664000000,664000000,51000000,38000000,None,67000000,None,-48000000,9000000,57000000,None,None,None,9000000,8000000,2000000,None,6000000,None,51000000,60000000,6000000
2023-03-31,MXN,29000000,731000000,702000000,702000000,-31000000,35000000,None,60000000,None,-51000000,7000000,58000000,None,None,None,7000000,-96000000,-25000000,None,-71000000,None,-31000000,-24000000,-71000000
2022-12-31,MXN,125000000,820000000,695000000,695000000,44000000,42000000,None,65000000,None,-48000000,7000000,55000000,None,None,None,23000000,28000000,-23000000,None,28000000,None,44000000,67000000,51000000
2022-09-30,MXN,86000000,769000000,683000000,683000000,35000000,29000000,None,51000000,None,-42000000,4000000,46000000,None,None,None,4000000,-9000000,-49000000,None,40000000,None,35000000,39000000,40000000
2022-06-30,MXN,21000000,691000000,670000000,670000000,-20000000,28000000,None,41000000,None,-42000000,2000000,44000000,None,None,None,1000000,-81000000,-32000000,None,-49000000,None,-20000000,-19000000,-49000000
2022-03-31,MXN,191048568.36,681813739.86,490765171.50,490765171.50,148148148.15,25000000,None,42900420.21,None,-46000000,1000000,43095866.31,None,None,None,-2750000000,-29316915.86,-19544610.57,None,-49000000,None,2899027655.62,149027655.62,-9772305.29
2021-12-31,MXN,191048568.36,681813739.86,490765171.50,490765171.50,148148148.15,549000000,None,42900420.21,None,-864000000,18000000,43095866.31,None,None,None,-2750000000,-29316915.86,-19544610.57,None,-200000000,None,2899027655.62,149027655.62,-9772305.29
2021-09-30,MXN,199805262.97,628265719.56,428460456.59,428460456.59,152193130.79,577000000,None,43372361.96,None,-724000000,20000000,36257345.28,None,None,None,5263163.02,105506925.45,31627711.14,None,1516000000,None,152193130.79,157456293.82,73830481.32
2021-06-30,MXN,175115444.52,585130776.58,410015332.06,410015332.06,133745618.96,481000000,None,36476077.90,None,-618000000,21000000,32238193.33,None,None,None,6003669.81,110840861.88,33247213.46,None,1538000000,None,133745618.96,139749288.77,77593648.42
2021-03-31,MXN,-6346548521.95,406393478.05,6752942000,6752942000,48238481.30,355000000,None,358154996.76,None,-555000000,12000000,32860639.63,None,None,None,1545701000,68477223.95,23389241,None,-733000000,None,-1444363136.42,101337863.58,45087982.95
2020-12-31,MXN,-6346548521.95,406393478.05,6752942000,6752942000,48238481.30,335111000,None,358154996.76,None,402668000,1056460000,32860639.63,None,None,None,1545701000,68477223.95,23389241,None,897066000,None,-1444363136.42,101337863.58,45087982.95
2020-09-30,MXN,-44968939.66,218597751.87,263566691.53,263566691.53,-99453686.38,963576000,None,46841491.79,None,-713090000,16677000,1371790.69,None,None,None,1508630000,-122995279.54,-25859618.88,None,-2175052000,None,-1630914531.46,-122284531.46,-97135660.66
2020-06-30,MXN,1525875000,66170403.10,-1459704596.90,-1459704596.90,-99472414.62,179258000,None,165642817.71,None,-1110162000,27221000,34649000,None,None,None,1450615000,-94355699.31,-28315382.19,None,-1643738000,None,-1550087414.62,-99472414.62,-66040317.11
2020-03-31,MXN,-27715655366.10,513714633.90,28229370000,28229370000,103878285.28,963576000,0,409836348.62,None,-607044000,49210000,35663634.48,None,0,None,1439462000,95193050.97,27220070.29,None,-1493134000,None,-1308605314.55,130856685.45,67972980.68
2019-12-31,MXN,-27715655366.10,513714633.90,28229370000,28229370000,103878285.28,1446190000,0,409836348.62,None,-620244000,55191000,35663634.48,None,0,None,1439462000,95193050.97,27220070.29,None,1287343000,None,-1308605314.55,130856685.45,67972980.68
2019-09-30,MXN,482109483.57,482109483.57,0,0,86397841.36,417091000,0,395711642.21,None,-511457000,79456000,1972072.25,None,0,None,65932736.40,51685625.29,15505682.51,None,713060000,None,62419103.03,128351839.43,36179942.78
2019-06-30,MXN,432804498.66,432804498.66,0,0,34261565.31,349962000,0,398542933.35,None,-465589000,54375000,0,None,0,None,70062033.59,10244465.66,4040046.08,None,119403000,None,34085725.88,104147759.47,6204419.58
2019-03-31,MXN,-25880950704.61,402408295.39,26283359000,26283359000,18052675.07,271291000,0,384355620.32,None,-464740000,37805000,34000000,None,0,None,5679621.32,40294566.01,14274483.90,None,519257000,None,15079364.95,20758986.27,26020082.10
2018-12-31,MXN,-25880950704.61,402408295.39,26283359000,26283359000,18052675.07,60490.39,0,384355620.32,None,None,None,34000000,None,0,None,5679621.32,40294566.01,14274483.90,None,68078.76,None,15079364.95,20758986.27,26020082.10
2018-09-30,MXN,390546636.91,390546636.91,106139996.58,106139996.58,13124175.58,18150991.58,0,377422461.33,None,None,None,3040774.46,None,0,None,6951171.04,-10679333.86,-4336592.66,None,-6347929.22,None,35470036.42,42421207.46,-6342741.20
2018-06-30,MXN,312633516.42,312633516.42,94465143.09,94465143.09,-28844916.72,19129303.86,0,341478433.14,None,None,None,2852503.38,None,None,None,-32786354.65,4255163.27,2341298.24,None,1911492.01,None,-28844916.72,-61631271.37,1913865.03
2018-03-31,MXN,-21895978765.78,337360234.22,22233339000,22233339000,6004378.82,60753000,0,331355855.40,None,None,None,1225916.50,None,None,None,4901577.78,46384266.80,18101374.75,None,-1118183000,None,42708605.52,47610183.30,28282892.06
2017-12-31,MXN,-21895978765.78,337360234.22,22233339000,22233339000,6004378.82,46922000,0,331355855.40,None,None,None,1225916.50,None,None,None,4901577.78,46384266.80,18101374.75,None,-1004167000,None,42708605.52,47610183.30,28282892.06
2017-09-30,MXN,363075401.51,363075401.51,253646000,253646000,34977229.95,63632000,0,328098171.56,None,None,None,24524000,None,None,None,8255523.53,42443135.56,2141752.37,None,-1792193000,None,35537434.88,43792958.42,40301383.19
2017-06-30,MXN,330223927.98,330223927.98,272169000,272169000,2140570.81,63400000,0,328083357.16,None,None,None,32027629.67,None,None,None,7912270.60,-28700729.72,-526627370.33,None,3562582000,None,3326899.95,11239170.55,-28700729.72
2017-03-31,MXN,-18670446294.46,312211705.54,18982658000,18982658000,22836850.34,55949000,0,289374855.20,None,None,None,515918.22,None,None,None,5538089.45,64624922.77,17645184.96,None,-1360821000,None,59602751.54,65140840.99,46979737.82
2016-12-31,MXN,-18670446294.46,312211705.54,18982658000,18982658000,22836850.34,45041000,0,289374855.20,None,None,None,515918.22,None,None,None,5538089.45,64624922.77,17645184.96,None,3519489000,None,59602751.54,65140840.99,46979737.82
2016-09-30,MXN,347535821.55,347535821.55,218636000,218636000,53844998.15,46873000,0,293690823.40,None,None,None,484900.30,None,None,None,6283270.85,74490124.13,22361534.68,None,0,None,74975024.43,81258295.29,52128589.45
2016-06-30,MXN,280013698.67,280013698.67,196515000,196515000,21176721,44114000,0,258836977.67,None,None,None,428970.23,None,None,None,7128886.77,72192469.01,21181632.87,None,0,None,72621439.23,79750326.01,51010836.14
2016-03-31,MXN,-3600140727.23,294878272.77,3895019000,3895019000,42590342.89,255098970.69,0,252287929.88,None,None,None,398500.04,None,None,None,456717000,53079544.82,15210749.89,None,0,None,-413525432.77,43191567.23,37868794.93
2015-12-31,MXN,-3600140727.23,294878272.77,3895019000,3895019000,42590342.89,255098970.69,0,252287929.88,None,None,None,398500.04,None,None,None,456717000,53079544.82,15210749.89,None,2463870000,None,-413525432.77,43191567.23,37868794.93
2015-09-30,MXN,86971225.59,308567523.02,221596297.43,221596297.43,63853789.01,41012000,0,23235684.34,None,None,None,295619.39,None,None,None,886858.18,97317904.37,29207196.09,None,0,None,63853789.01,64740647.19,68110708.28
2015-06-30,MXN,44871905.03,260893530.11,216021625.08,216021625.08,22213184.19,42152000,0,22722368.93,None,None,None,381888.55,None,None,None,827425.20,31951342.31,9610861.93,None,0,None,22213184.19,23040609.39,22340480.38
2015-03-31,MXN,53420543.90,268663929.80,215243385.90,215243385.90,28916329.99,41952000,0,24572092.62,None,None,None,610908.38,None,None,None,342515000,51587818.76,3869086.41,None,0,None,-313123519.05,29391480.95,47718732.35
2014-12-31,MXN,53420543.90,268663929.80,215243385.90,215243385.90,28916329.99,80639000,0,24572092.62,None,None,None,610908.38,None,None,None,342515000,51587818.76,3869086.41,None,605184000,None,-313123519.05,29391480.95,47718732.35
2014-09-30,MXN,53783786.20,297598650.79,243814864.59,243814864.59,26891893.10,0,0,26817400.32,None,None,None,670435.01,None,None,None,446956.67,35309577.09,9460582.89,None,0,None,26891893.10,27338849.77,25848994.20
2014-06-30,MXN,16113711.92,255043823.13,238930111.21,238930111.21,-7324414.51,0,0,23438126.43,None,None,None,693891.90,None,None,None,462594.60,-8712198.31,-2929765.80,None,0,None,-7324414.51,-6861819.91,-5782432.51
2014-03-31,MXN,4912756.36,244409628.70,239496872.34,239496872.34,-15122078.16,69277000,0,20034834.51,None,None,None,383809.09,None,None,None,220286000,-13510079.98,-6064183.63,None,0,None,-235024269.07,-14738269.07,-7445896.35
2013-12-31,MXN,4912756.36,244409628.70,239496872.34,239496872.34,-15122078.16,69277000,0,20034834.51,None,None,None,383809.09,None,None,None,220286000,-13510079.98,-6064183.63,None,0,None,-235024269.07,-14738269.07,-7445896.35
2013-09-30,MXN,49350498.55,284338321.35,234987822.80,234987822.80,28571341.26,34835000,0,20779157.28,None,None,None,6417092.69,None,None,None,534757.72,24675249.27,5271183.28,None,-70885000,None,28571341.26,29106098.99,19404065.99
2013-06-30,MXN,27327474.56,234001233.43,206673758.87,206673758.87,7891998.15,34835000,0,19435476.41,None,None,None,1386987.36,None,None,None,648704.90,16949892.08,3579170.52,None,94280000,None,7891998.15,8540703.05,13451665.12
2013-03-31,MXN,22907175.84,248438892.18,225531716.34,225531716.34,3081723.24,5621627.32,0,21635519.71,None,None,None,1494323.76,None,None,None,6592795.76,-6809296.21,-1565408.62,None,-23395000,None,1625051.73,8217847.49,-5054327.98
2012-12-31,MXN,30539835.61,252104764.63,221564929.02,221564929.02,13214091.06,19951391.65,0,21040008.33,None,None,None,1780519.75,None,None,None,-3509259.81,10277793.53,193411.51,None,0,None,13214091.06,9704831.25,10080064.83
2012-09-30,MXN,47972631.50,260389534.66,212416903.16,212416903.16,26046728.61,32205000,0,21925902.89,None,None,None,1866034.29,None,None,None,544260,18193834.31,311005.71,None,-9074000,None,26046728.61,26590988.61,16483302.88
2012-06-30,MXN,21147794.10,202239435.94,181091641.84,181091641.84,2934422.98,32205000,0,18213371.12,None,None,None,1832612.43,None,None,None,3256184.82,8296253.65,139371.26,None,29777000,None,3130993.28,6387178.10,7251118.75
2012-03-31,MXN,2823129.52,188485954.29,185662824.77,185662824.77,-12954717.72,4402500.49,0,17124907.21,None,None,None,1466614.57,None,None,None,3256729.83,-21078570.03,-354131.67,None,-20703000,None,-14097362.77,-10840632.94,-17420589.96
