,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-199427536.231884,0.0,0.0,0.0
Tax Rate For Calcs,0.210145,0.241066,0.21,0.205737
Normalized EBITDA,796000000.0,2311000000.0,557000000.0,1543000000.0
Total Unusual Items,-949000000.0,,-21000000.0,-4000000.0
Total Unusual Items Excluding Goodwill,-949000000.0,,-21000000.0,-4000000.0
Net Income From Continuing Operation Net Minority Interest,-545000000.0,1338000000.0,10000000.0,803000000.0
Reconciled Cost Of Revenue,10795000000.0,9908000000.0,9840000000.0,9933000000.0
EBITDA,-153000000.0,2311000000.0,557000000.0,1543000000.0
EBIT,-153000000.0,2311000000.0,557000000.0,1543000000.0
Net Interest Income,-369000000.0,-386000000.0,-415000000.0,-422000000.0
Interest Expense,537000000.0,548000000.0,540000000.0,532000000.0
Interest Income,168000000.0,162000000.0,125000000.0,110000000.0
Normalized Income,204572463.768116,1338000000.0,10000000.0,803000000.0
Net Income From Continuing And Discontinued Operation,-545000000.0,1338000000.0,10000000.0,803000000.0
Total Expenses,12756000000.0,11892000000.0,11738000000.0,11802000000.0
Rent Expense Supplemental,1087000000.0,1106000000.0,1052000000.0,999000000.0
Total Operating Income As Reported,-223000000.0,2163000000.0,438000000.0,1383000000.0
Diluted Average Shares,654119000.0,719345000.0,656707000.0,716070000.0
Basic Average Shares,654119000.0,653602000.0,652000000.0,650944000.0
Diluted EPS,-0.83,1.88,0.02,1.14
Basic EPS,-0.83,2.05,0.02,1.23
Diluted NI Availto Com Stockholders,-545000000.0,1338000000.0,10000000.0,803000000.0
Average Dilution Earnings,0.0,,,
Net Income Common Stockholders,-545000000.0,1338000000.0,10000000.0,803000000.0
Net Income,-545000000.0,1338000000.0,10000000.0,803000000.0
Net Income Including Noncontrolling Interests,-545000000.0,1338000000.0,10000000.0,803000000.0
Net Income Continuous Operations,-545000000.0,1338000000.0,10000000.0,803000000.0
Tax Provision,-145000000.0,425000000.0,7000000.0,208000000.0
Pretax Income,-690000000.0,1763000000.0,17000000.0,1011000000.0
Other Income Expense,-1047000000.0,-14000000.0,-19000000.0,46000000.0
Other Non Operating Income Expenses,-98000000.0,-14000000.0,-19000000.0,46000000.0
Special Income Charges,-949000000.0,,-21000000.0,-4000000.0
Other Special Charges,949000000.0,,,4000000.0
Impairment Of Capital Assets,0.0,,0.0,0.0
Restructuring And Mergern Acquisition,0.0,,21000000.0,0.0
Net Non Operating Interest Income Expense,-369000000.0,-386000000.0,-415000000.0,-422000000.0
Interest Expense Non Operating,537000000.0,548000000.0,540000000.0,532000000.0
Interest Income Non Operating,168000000.0,162000000.0,125000000.0,110000000.0
Operating Income,726000000.0,2163000000.0,451000000.0,1387000000.0
Operating Expense,1961000000.0,1984000000.0,1898000000.0,1869000000.0
Other Operating Expenses,1531000000.0,1495000000.0,1460000000.0,1385000000.0
Selling General And Administration,430000000.0,489000000.0,438000000.0,484000000.0
Selling And Marketing Expense,430000000.0,489000000.0,438000000.0,484000000.0
Gross Profit,2687000000.0,4147000000.0,2349000000.0,3256000000.0
Cost Of Revenue,10795000000.0,9908000000.0,9840000000.0,9933000000.0
Total Revenue,13482000000.0,14055000000.0,12189000000.0,13189000000.0
Operating Revenue,12614000000.0,13175000000.0,11326000000.0,12394000000.0
