,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-1415525.114155,11423476.968796,3362433.862434,66800000.0
Tax Rate For Calcs,0.141553,0.092125,0.108466,0.4
Normalized EBITDA,2053000000.0,1230000000.0,485000000.0,1064000000.0
Total Unusual Items,-10000000.0,124000000.0,31000000.0,167000000.0
Total Unusual Items Excluding Goodwill,-10000000.0,124000000.0,31000000.0,167000000.0
Net Income From Continuing Operation Net Minority Interest,930000000.0,604000000.0,-344000000.0,496000000.0
Reconciled Depreciation,651000000.0,596000000.0,592000000.0,652000000.0
Reconciled Cost Of Revenue,4312000000.0,5845000000.0,4822000000.0,3031000000.0
EBITDA,2043000000.0,1354000000.0,516000000.0,1231000000.0
EBIT,1392000000.0,758000000.0,-76000000.0,579000000.0
Net Interest Income,-277000000.0,-95000000.0,-157000000.0,351000000.0
Interest Expense,297000000.0,85000000.0,302000000.0,269000000.0
Interest Income,,,27000000.0,31000000.0
Normalized Income,938584474.885845,491423476.968796,-371637566.137566,395800000.0
Net Income From Continuing And Discontinued Operation,930000000.0,604000000.0,-344000000.0,496000000.0
Total Expenses,7236000000.0,7000000000.0,6671000000.0,7156000000.0
Rent Expense Supplemental,706000000.0,659000000.0,503000000.0,541000000.0
Total Operating Income As Reported,1344000000.0,,,134000000.0
Diluted Average Shares,,3180859951.0,2457142857.0,2569328131.0
Basic Average Shares,,2681440781.0,2457142857.0,2569328131.0
Diluted EPS,,0.19,-0.14,0.193047
Basic EPS,,0.19,-0.14,0.193047
Diluted NI Availto Com Stockholders,1054000000.0,480000000.0,-344000000.0,496000000.0
Net Income Common Stockholders,1054000000.0,480000000.0,-344000000.0,496000000.0
Otherunder Preferred Stock Dividend,-124000000.0,124000000.0,0.0,0.0
Net Income,930000000.0,604000000.0,-344000000.0,496000000.0
Minority Interests,-16000000.0,-8000000.0,-7000000.0,-8000000.0
Net Income Including Noncontrolling Interests,946000000.0,612000000.0,-337000000.0,504000000.0
Net Income Continuous Operations,946000000.0,612000000.0,-337000000.0,504000000.0
Tax Provision,155000000.0,62000000.0,-41000000.0,-182000000.0
Pretax Income,1095000000.0,673000000.0,-378000000.0,310000000.0
Other Non Operating Income Expenses,-1000000.0,-5000000.0,3000000.0,-9000000.0
Special Income Charges,35000000.0,39000000.0,6000000.0,10000000.0
Other Special Charges,-39000000.0,-45000000.0,-4000000.0,-48000000.0
Write Off,,,-3000000.0,
Impairment Of Capital Assets,0.0,1000000.0,1000000.0,
Restructuring And Mergern Acquisition,4000000.0,2000000.0,0.0,
Net Non Operating Interest Income Expense,-277000000.0,-95000000.0,-157000000.0,351000000.0
Total Other Finance Cost,61000000.0,-17000000.0,-118000000.0,-589000000.0
Interest Expense Non Operating,297000000.0,85000000.0,302000000.0,269000000.0
Interest Income Non Operating,,,27000000.0,31000000.0
Operating Income,1423000000.0,624000000.0,-342000000.0,-27000000.0
Operating Expense,2924000000.0,1155000000.0,1849000000.0,4125000000.0
Other Operating Expenses,1085000000.0,1392000000.0,1105000000.0,1996000000.0
Selling General And Administration,269000000.0,259000000.0,257000000.0,246000000.0
Selling And Marketing Expense,269000000.0,259000000.0,257000000.0,246000000.0
Gross Profit,4347000000.0,1779000000.0,1507000000.0,4098000000.0
Cost Of Revenue,4312000000.0,5845000000.0,4822000000.0,3031000000.0
Total Revenue,8659000000.0,7624000000.0,6329000000.0,7129000000.0
Operating Revenue,8659000000.0,7624000000.0,6329000000.0,7129000000.0
