,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-317332.293101,161921933.670435,55315.182366,9994800.0
Tax Rate For Calcs,0.013531,0.285086,0.002676,0.4
Normalized EBITDA,7110650000.0,206633000.0,-1618263000.0,-10852602000.0
Total Unusual Items,-23453000.0,567975000.0,20668000.0,24987000.0
Total Unusual Items Excluding Goodwill,-23453000.0,567975000.0,20668000.0,24987000.0
Net Income From Continuing Operation Net Minority Interest,4242149000.0,-524321000.0,-2926407000.0,-10516235000.0
Reconciled Cost Of Revenue,38147982000.0,32891592000.0,26319512000.0,21401893000.0
EBITDA,7087197000.0,774608000.0,-1597595000.0,-10827615000.0
EBIT,7087197000.0,774608000.0,-1597595000.0,-10827615000.0
Net Interest Income,-3080719000.0,-2222586000.0,-1059233000.0,-972107000.0
Interest Expense,1780692000.0,1857564000.0,1684838000.0,1689593000.0
Interest Income,-772462000.0,401357000.0,-109982000.0,-69547000.0
Normalized Income,4265284667.706899,-930374066.329565,-2947019684.817634,-10531227200.0
Net Income From Continuing And Discontinued Operation,4242149000.0,-524321000.0,-2926407000.0,-10516235000.0
Total Expenses,39923097000.0,34364852000.0,28061513000.0,23216908000.0
Total Operating Income As Reported,5253069000.0,-2388067000.0,-3294946000.0,-12739021000.0
Basic Average Shares,,,770107105.0,692382400.0
Diluted EPS,,,-3.8,-15.2
Basic EPS,,,-3.8,-15.2
Net Income Common Stockholders,4242149000.0,-524321000.0,-2926407000.0,-10516235000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4242149000.0,-524321000.0,-2926407000.0,-10516235000.0
Minority Interests,-992556000.0,249899000.0,347241000.0,2247393000.0
Net Income Including Noncontrolling Interests,5234705000.0,-774220000.0,-3273648000.0,-12763628000.0
Net Income Continuous Operations,5234705000.0,-774220000.0,-3273648000.0,-12763628000.0
Tax Provision,71800000.0,-308736000.0,-8785000.0,246420000.0
Pretax Income,5306505000.0,-1082956000.0,-3282433000.0,-12517208000.0
Other Non Operating Income Expenses,53436000.0,1305111000.0,12513000.0,221813000.0
Special Income Charges,-23392000.0,568354000.0,20939000.0,24195000.0
Other Special Charges,-3054000.0,-661249000.0,-25361000.0,-68945000.0
Write Off,4823000.0,7086000.0,4422000.0,-21002000.0
Impairment Of Capital Assets,21623000.0,,,
Net Non Operating Interest Income Expense,-3080719000.0,-2222586000.0,-1059233000.0,-972107000.0
Total Other Finance Cost,527565000.0,766379000.0,-735587000.0,-787033000.0
Interest Expense Non Operating,1780692000.0,1857564000.0,1684838000.0,1689593000.0
Interest Income Non Operating,-772462000.0,401357000.0,-109982000.0,-69547000.0
Operating Income,5940555000.0,180630000.0,-2993802000.0,-12407889000.0
Operating Expense,1775115000.0,1473260000.0,1742001000.0,1815015000.0
Other Operating Expenses,87715000.0,101417000.0,69991000.0,59629000.0
Research And Development,72465000.0,71701000.0,69676000.0,117381000.0
Selling General And Administration,4730346000.0,764726000.0,2230911000.0,2384361000.0
Selling And Marketing Expense,1523012000.0,1353176000.0,1120191000.0,817277000.0
General And Administrative Expense,3207334000.0,-588450000.0,1110720000.0,1567084000.0
Gross Profit,7715670000.0,1653890000.0,-1251801000.0,-10592874000.0
Cost Of Revenue,38147982000.0,32891592000.0,26319512000.0,21401893000.0
Total Revenue,45863652000.0,34545482000.0,25067711000.0,10809019000.0
Operating Revenue,45863652000.0,34545482000.0,25067711000.0,10809019000.0
