,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-5295656.405629,2656296.0,395732.591577,165346.454062
Tax Rate For Calcs,0.162205,0.237,0.245492,0.203128
Normalized EBITDA,27074000.0,134021000.0,103334000.0,97171000.0
Total Unusual Items,-32648000.0,11208000.0,1612000.0,814000.0
Total Unusual Items Excluding Goodwill,-32648000.0,11208000.0,1612000.0,814000.0
Net Income From Continuing Operation Net Minority Interest,-25066000.0,88469000.0,56149000.0,52474000.0
Reconciled Depreciation,,53933000.0,54680000.0,51924000.0
Reconciled Cost Of Revenue,492694000.0,500038000.0,498903000.0,467553000.0
EBITDA,-5574000.0,145229000.0,104946000.0,97985000.0
EBIT,-5574000.0,145229000.0,104946000.0,97985000.0
Net Interest Income,-11901000.0,-17039000.0,-20400000.0,-23575000.0
Interest Expense,24345000.0,28884000.0,30528000.0,32135000.0
Interest Income,12444000.0,11845000.0,10128000.0,8560000.0
Normalized Income,2286343.594371,79917296.0,54932732.591577,51825346.454062
Net Income From Continuing And Discontinued Operation,-25066000.0,88469000.0,56149000.0,52474000.0
Total Expenses,550594000.0,561589000.0,556474000.0,523164000.0
Rent Expense Supplemental,5906000.0,5975000.0,7092000.0,6132000.0
Total Operating Income As Reported,-17883000.0,133429000.0,94825000.0,89199000.0
Diluted Average Shares,17721000.0,17683000.0,17769000.0,17910000.0
Basic Average Shares,17721000.0,17677000.0,17766000.0,17880000.0
Diluted EPS,-1.44,4.8,3.09,2.87
Basic EPS,-1.44,4.8,3.09,2.87
Diluted NI Availto Com Stockholders,-25518000.0,84810000.0,54895000.0,51351000.0
Average Dilution Earnings,,1000.0,,2000.0
Net Income Common Stockholders,-25518000.0,84809000.0,54895000.0,51349000.0
Otherunder Preferred Stock Dividend,452000.0,3660000.0,1254000.0,1125000.0
Net Income,-25066000.0,88469000.0,56149000.0,52474000.0
Net Income Including Noncontrolling Interests,-25066000.0,88469000.0,56149000.0,52474000.0
Net Income Continuous Operations,-25066000.0,88469000.0,56149000.0,52474000.0
Tax Provision,-4853000.0,27876000.0,18269000.0,13376000.0
Pretax Income,-29919000.0,116345000.0,74418000.0,65850000.0
Other Income Expense,-32783000.0,11163000.0,1605000.0,1040000.0
Other Non Operating Income Expenses,-135000.0,-45000.0,-7000.0,226000.0
Special Income Charges,-32648000.0,11208000.0,1612000.0,814000.0
Other Special Charges,32648000.0,-11208000.0,-1612000.0,-814000.0
Net Non Operating Interest Income Expense,-11901000.0,-17039000.0,-20400000.0,-23575000.0
Interest Expense Non Operating,24345000.0,28884000.0,30528000.0,32135000.0
Interest Income Non Operating,12444000.0,11845000.0,10128000.0,8560000.0
Operating Income,14765000.0,122221000.0,93213000.0,88385000.0
Operating Expense,57900000.0,61551000.0,57571000.0,55611000.0
Other Operating Expenses,29432000.0,31683000.0,30643000.0,30395000.0
Selling General And Administration,28468000.0,29868000.0,26928000.0,25216000.0
Selling And Marketing Expense,28468000.0,29868000.0,26928000.0,25216000.0
Gross Profit,72665000.0,183772000.0,150784000.0,143996000.0
Cost Of Revenue,492694000.0,500038000.0,498903000.0,467553000.0
Total Revenue,565359000.0,683810000.0,649687000.0,611549000.0
Operating Revenue,564936000.0,683392000.0,649431000.0,611032000.0
