,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-45886010.362694,-50215384.615385,-18331658.291457,-42342857.142857
Tax Rate For Calcs,0.279793,0.261538,0.286432,0.371429
Normalized EBITDA,497000000.0,538000000.0,-114000000.0,167000000.0
Total Unusual Items,-164000000.0,-192000000.0,-64000000.0,-114000000.0
Total Unusual Items Excluding Goodwill,-164000000.0,-192000000.0,-64000000.0,-114000000.0
Net Income From Continuing Operation Net Minority Interest,139000000.0,240000000.0,-142000000.0,22000000.0
Reconciled Depreciation,113000000.0,113000000.0,104000000.0,105000000.0
Reconciled Cost Of Revenue,2203000000.0,2052000000.0,2075000000.0,2084000000.0
EBITDA,333000000.0,346000000.0,-178000000.0,53000000.0
EBIT,220000000.0,346000000.0,-178000000.0,53000000.0
Net Interest Income,-4000000.0,1000000.0,-4000000.0,0.0
Interest Expense,27000000.0,21000000.0,21000000.0,18000000.0
Interest Income,23000000.0,22000000.0,17000000.0,18000000.0
Normalized Income,257113989.637306,381784615.384615,-96331658.291457,93657142.857143
Net Income From Continuing And Discontinued Operation,139000000.0,240000000.0,-142000000.0,22000000.0
Total Expenses,2472000000.0,2315000000.0,2318000000.0,2342000000.0
Rent Expense Supplemental,231000000.0,221000000.0,211000000.0,215000000.0
Total Operating Income As Reported,211000000.0,337000000.0,-186000000.0,23000000.0
Diluted Average Shares,129188000.0,128919000.0,127501000.0,128470000.0
Basic Average Shares,127187000.0,127440000.0,127501000.0,127303000.0
Diluted EPS,1.08,1.86,-1.11,0.17
Basic EPS,1.09,1.88,-1.11,0.17
Diluted NI Availto Com Stockholders,139000000.0,240000000.0,-142000000.0,22000000.0
Net Income Common Stockholders,139000000.0,240000000.0,-142000000.0,22000000.0
Net Income,139000000.0,240000000.0,-142000000.0,22000000.0
Net Income Including Noncontrolling Interests,139000000.0,240000000.0,-142000000.0,22000000.0
Net Income Continuous Operations,139000000.0,240000000.0,-142000000.0,22000000.0
Tax Provision,54000000.0,85000000.0,-57000000.0,13000000.0
Pretax Income,193000000.0,325000000.0,-199000000.0,35000000.0
Other Income Expense,-170000000.0,-199000000.0,-73000000.0,-102000000.0
Other Non Operating Income Expenses,-6000000.0,-7000000.0,-9000000.0,12000000.0
Special Income Charges,-164000000.0,-192000000.0,-64000000.0,-114000000.0
Other Special Charges,44000000.0,192000000.0,64000000.0,114000000.0
Impairment Of Capital Assets,120000000.0,151000000.0,0.0,
Restructuring And Mergern Acquisition,,,,496000000.0
Net Non Operating Interest Income Expense,-4000000.0,1000000.0,-4000000.0,0.0
Interest Expense Non Operating,27000000.0,21000000.0,21000000.0,18000000.0
Interest Income Non Operating,23000000.0,22000000.0,17000000.0,18000000.0
Operating Income,367000000.0,523000000.0,-122000000.0,137000000.0
Operating Expense,269000000.0,263000000.0,243000000.0,258000000.0
Other Operating Expenses,185000000.0,182000000.0,177000000.0,181000000.0
Selling General And Administration,84000000.0,81000000.0,66000000.0,77000000.0
Selling And Marketing Expense,84000000.0,81000000.0,66000000.0,77000000.0
Gross Profit,636000000.0,786000000.0,121000000.0,395000000.0
Cost Of Revenue,2203000000.0,2052000000.0,2075000000.0,2084000000.0
Total Revenue,2839000000.0,2838000000.0,2196000000.0,2479000000.0
Operating Revenue,2618000000.0,2598000000.0,1984000000.0,2264000000.0
