,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,68764786.795048,-42543883.1631,1952000000.0,175815421.2755
Tax Rate For Calcs,0.249148,0.285529,0.4,0.297992
Normalized EBITDA,93578000000.0,54196000000.0,28416000000.0,73329000000.0
Total Unusual Items,276000000.0,-149000000.0,4880000000.0,590000000.0
Total Unusual Items Excluding Goodwill,276000000.0,-149000000.0,4880000000.0,590000000.0
Net Income From Continuing Operation Net Minority Interest,62520000000.0,30686000000.0,26876000000.0,43059000000.0
Reconciled Depreciation,4397000000.0,4794000000.0,5315000000.0,5508000000.0
Reconciled Cost Of Revenue,405616000000.0,370086000000.0,374394000000.0,352589000000.0
EBITDA,93854000000.0,54047000000.0,33296000000.0,73919000000.0
EBIT,89457000000.0,49253000000.0,27981000000.0,68411000000.0
Net Interest Income,-5338000000.0,-5831000000.0,-5411000000.0,-6197000000.0
Interest Expense,5852000000.0,5979000000.0,5963000000.0,6302000000.0
Interest Income,514000000.0,148000000.0,552000000.0,105000000.0
Normalized Income,62312764786.79505,30792456116.8369,23948000000.0,42644815421.2755
Net Income From Continuing And Discontinued Operation,62520000000.0,30686000000.0,26876000000.0,43059000000.0
Total Expenses,455750000000.0,417242000000.0,427781000000.0,400404000000.0
Total Operating Income As Reported,85953000000.0,43784000000.0,21048000000.0,67535000000.0
Diluted Average Shares,,2602272727.0,2611975654.0,2611765968.0
Basic Average Shares,,2342075000.0,2351655000.0,2351675000.0
Diluted EPS,,11.792,10.274,16.374
Basic EPS,,13.102,11.428,18.31
Diluted NI Availto Com Stockholders,62520000000.0,30686000000.0,26876000000.0,43059000000.0
Net Income Common Stockholders,62520000000.0,30686000000.0,26876000000.0,43059000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,62520000000.0,30686000000.0,26876000000.0,43059000000.0
Minority Interests,-255000000.0,-232000000.0,438000000.0,-542000000.0
Net Income Including Noncontrolling Interests,62775000000.0,30918000000.0,26438000000.0,43601000000.0
Net Income Continuous Operations,62775000000.0,30918000000.0,26438000000.0,43601000000.0
Tax Provision,20830000000.0,12356000000.0,-4420000000.0,18508000000.0
Pretax Income,83605000000.0,43274000000.0,22018000000.0,62109000000.0
Other Non Operating Income Expenses,1748000000.0,3049000000.0,-616000000.0,1201000000.0
Special Income Charges,727000000.0,-149000000.0,5897000000.0,590000000.0
Other Special Charges,-727000000.0,149000000.0,-5897000000.0,-590000000.0
Net Non Operating Interest Income Expense,-5338000000.0,-5831000000.0,-5411000000.0,-6197000000.0
Interest Expense Non Operating,5852000000.0,5979000000.0,5963000000.0,6302000000.0
Interest Income Non Operating,514000000.0,148000000.0,552000000.0,105000000.0
Operating Income,85953000000.0,43784000000.0,21048000000.0,67535000000.0
Operating Expense,50134000000.0,47156000000.0,53387000000.0,47815000000.0
Other Operating Expenses,13654000000.0,12370000000.0,16866000000.0,12576000000.0
Depreciation And Amortization In Income Statement,4397000000.0,4794000000.0,5315000000.0,5508000000.0
Depreciation Income Statement,4397000000.0,4794000000.0,5315000000.0,5508000000.0
Selling General And Administration,21228000000.0,20175000000.0,19608000000.0,19266000000.0
Selling And Marketing Expense,15534000000.0,13898000000.0,13655000000.0,12904000000.0
General And Administrative Expense,5694000000.0,6277000000.0,5953000000.0,6362000000.0
Gross Profit,136087000000.0,90940000000.0,74435000000.0,115350000000.0
Cost Of Revenue,405616000000.0,370086000000.0,374394000000.0,352589000000.0
Total Revenue,541703000000.0,461026000000.0,448829000000.0,467939000000.0
Operating Revenue,541703000000.0,461026000000.0,448829000000.0,467939000000.0
