,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,,0.0,0.0,0.0
Tax Rate For Calcs,,0.0,0.0,0.0
Normalized EBITDA,957400000.0,1270100000.0,1083600000.0,1183900000.0
Total Unusual Items,,990000000.0,357600000.0,868700000.0
Total Unusual Items Excluding Goodwill,,990000000.0,357600000.0,868700000.0
Net Income From Continuing Operation Net Minority Interest,,497900000.0,-322200000.0,231200000.0
Reconciled Depreciation,,627200000.0,567700000.0,573000000.0
Reconciled Cost Of Revenue,,3108500000.0,3394500000.0,3453500000.0
EBITDA,957400000.0,2260100000.0,1441200000.0,2052600000.0
EBIT,957400000.0,1632900000.0,873500000.0,1479600000.0
Net Interest Income,,-1084000000.0,-1142200000.0,-1162300000.0
Interest Expense,,1135000000.0,1195700000.0,1248400000.0
Interest Income,,51000000.0,53500000.0,86100000.0
Normalized Income,,-492100000.0,-679800000.0,-637500000.0
Net Income From Continuing And Discontinued Operation,,497900000.0,-322200000.0,231200000.0
Total Expenses,3956800000.0,3677500000.0,4016000000.0,3928700000.0
Rent Expense Supplemental,274100000.0,247000000.0,262400000.0,250500000.0
Total Operating Income As Reported,957400000.0,591900000.0,462400000.0,524700000.0
Diluted Average Shares,115836536.0,116011425.0,116003203.0,140600000.0
Basic Average Shares,115836536.0,116011425.0,116003203.0,115886536.0
Diluted EPS,,0.21,-6.36,1.65
Basic EPS,,0.21,-6.36,1.995055
Diluted NI Availto Com Stockholders,,497900000.0,-322200000.0,231200000.0
Net Income Common Stockholders,,497900000.0,-322200000.0,231200000.0
Net Income,,497900000.0,-322200000.0,231200000.0
Net Income Including Noncontrolling Interests,,497900000.0,-322200000.0,231200000.0
Net Income Continuous Operations,,497900000.0,-322200000.0,231200000.0
Tax Provision,,0.0,0.0,0.0
Pretax Income,,497900000.0,-322200000.0,231200000.0
Other Income Expense,,990000000.0,357600000.0,868700000.0
Special Income Charges,,,-19398000.0,
Other Special Charges,,,19398000.0,
Gain On Sale Of Security,,990000000.0,357600000.0,868700000.0
Net Non Operating Interest Income Expense,,-1084000000.0,-1142200000.0,-1162300000.0
Total Other Finance Cost,,89839000.0,123583000.0,
Interest Expense Non Operating,,1135000000.0,1195700000.0,1248400000.0
Interest Income Non Operating,,51000000.0,53500000.0,86100000.0
Operating Income,957400000.0,591900000.0,462400000.0,524700000.0
Operating Expense,3956800000.0,569000000.0,621500000.0,475200000.0
Other Operating Expenses,,389200000.0,447500000.0,257800000.0
Depreciation Amortization Depletion Income Statement,,2488000.0,,
Depreciation And Amortization In Income Statement,,2488000.0,,
Selling General And Administration,,179800000.0,174000000.0,217400000.0
Selling And Marketing Expense,205300000.0,179800000.0,174000000.0,217400000.0
General And Administrative Expense,,82160000.0,15212000.0,
Other Gand A,,38086000.0,,
Rent And Landing Fees,,,15212000.0,
Salaries And Wages,,44074000.0,,
Gross Profit,,1160900000.0,1083900000.0,999900000.0
Cost Of Revenue,,3108500000.0,3394500000.0,3453500000.0
Total Revenue,4914300000.0,4269400000.0,4478400000.0,4453400000.0
Excise Taxes,,49073000.0,,
Operating Revenue,4914300000.0,4269400000.0,4478400000.0,4453400000.0
