,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,140139521.0,71866695.962634,-293936804.0,-62751363.511235
Tax Rate For Calcs,0.25,0.049329,0.4,0.040752
Normalized EBITDA,4987438876.0,5427293579.0,4970859668.0,2973555769.0
Total Unusual Items,560558084.0,1456872464.0,-734842010.0,-1539821159.0
Total Unusual Items Excluding Goodwill,560558084.0,1456872464.0,-734842010.0,-1539821159.0
Net Income From Continuing Operation Net Minority Interest,1276168032.0,2671779491.0,1077566447.0,-1933775984.0
Reconciled Depreciation,3262856832.0,2938842909.0,2888829190.0,2515958721.0
Reconciled Cost Of Revenue,19163276033.0,18274930850.0,18159192021.0,18132910230.0
EBITDA,5547996960.0,6884166043.0,4236017658.0,1433734610.0
EBIT,2285140128.0,3945323134.0,1347188468.0,-1082224111.0
Net Interest Income,-1129187316.0,-900558538.0,-726931444.0,-770980164.0
Interest Expense,1373466898.0,1134907423.0,916208927.0,933705797.0
Interest Income,244279582.0,234348885.0,189277483.0,162725633.0
Normalized Income,855749469.0,1286773722.962634,1518471653.0,-456706188.511235
Net Income From Continuing And Discontinued Operation,1276168032.0,2671779491.0,1077566447.0,-1933775984.0
Total Expenses,20955752464.0,20151347141.0,19638918523.0,19450463616.0
Rent Expense Supplemental,491168003.0,482751870.0,444158372.0,469438846.0
Total Operating Income As Reported,2389035613.0,2522562615.0,1238524900.0,-232464281.0
Diluted Average Shares,124325315.0,124074675.0,249990911.0,138926409.0
Basic Average Shares,124325315.0,124074675.0,123530111.0,138926409.0
Diluted EPS,10.264748,21.533641,4.85,-17.15
Basic EPS,10.264748,21.533641,7.3,-17.15
Diluted NI Availto Com Stockholders,1276168032.0,2671779491.0,1212701465.0,-2649797118.0
Net Income Common Stockholders,1276168032.0,2671779491.0,901288965.0,-2649797118.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Preferred Stock Dividends,,,176277482.0,
Net Income,1276168032.0,2671779491.0,1077566447.0,-1933775984.0
Net Income Including Noncontrolling Interests,1276168032.0,2671779491.0,1077566447.0,-1933775984.0
Net Income Continuous Operations,1276168032.0,2671779491.0,1077566447.0,-1933775984.0
Tax Provision,-364494802.0,138636220.0,-646586906.0,-82153924.0
Pretax Income,911673230.0,2810415711.0,430979541.0,-2015929908.0
Special Income Charges,139111404.0,261638219.0,1678685.0,-827015014.0
Other Special Charges,-139111404.0,-261638219.0,-1678685.0,740268120.0
Net Non Operating Interest Income Expense,-1129187316.0,-900558538.0,-726931444.0,-770980164.0
Interest Expense Non Operating,1373466898.0,1134907423.0,916208927.0,933705797.0
Interest Income Non Operating,244279582.0,234348885.0,189277483.0,162725633.0
Operating Income,2389035613.0,2522562615.0,1238524900.0,-232464281.0
Operating Expense,1792476431.0,1876416291.0,1479726502.0,1317553386.0
Selling General And Administration,1792476431.0,1876416291.0,1479726502.0,1317553386.0
Selling And Marketing Expense,727380458.0,796202756.0,845570347.0,806057668.0
General And Administrative Expense,1065095973.0,1080213535.0,634156155.0,511495718.0
Gross Profit,4181512044.0,4398978906.0,2718251402.0,1085089105.0
Cost Of Revenue,19163276033.0,18274930850.0,18159192021.0,18132910230.0
Total Revenue,23344788077.0,22673909756.0,20877443423.0,19217999335.0
Operating Revenue,23344788077.0,22673909756.0,20877443423.0,19217999335.0
