,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,9563035.436135,-53504400.0,-5339872.651063,-19238102.558561
Tax Rate For Calcs,0.126676,0.4,0.145374,0.204955
Normalized EBITDA,221989000.0,207562000.0,203289000.0,228292000.0
Total Unusual Items,75492000.0,-133761000.0,-36732000.0,-93865000.0
Total Unusual Items Excluding Goodwill,75492000.0,-133761000.0,-36732000.0,-93865000.0
Net Income From Continuing Operation Net Minority Interest,187375000.0,17509000.0,121521000.0,88280000.0
Reconciled Cost Of Revenue,491527000.0,447617000.0,501514000.0,497564000.0
EBITDA,297481000.0,73801000.0,166557000.0,134427000.0
EBIT,297481000.0,73801000.0,166557000.0,134427000.0
Net Interest Income,-67818000.0,-18547000.0,-15523000.0,-15975000.0
Interest Expense,82926000.0,30517000.0,24365000.0,23388000.0
Interest Income,15108000.0,11970000.0,8842000.0,7413000.0
Normalized Income,121446035.436135,97765600.0,152913127.348937,162906897.441439
Net Income From Continuing And Discontinued Operation,187375000.0,17509000.0,121521000.0,88280000.0
Total Expenses,662698000.0,614522000.0,674051000.0,670955000.0
Total Operating Income As Reported,205014000.0,194667000.0,193212000.0,219657000.0
Diluted Average Shares,39730180.0,39442367.0,39565223.0,39554071.0
Basic Average Shares,39730180.0,39442367.0,39565223.0,39554071.0
Diluted EPS,4.72,0.44,3.07,2.23
Basic EPS,4.72,0.44,3.07,2.23
Diluted NI Availto Com Stockholders,187375000.0,17509000.0,121521000.0,88280000.0
Net Income Common Stockholders,187375000.0,17509000.0,121521000.0,88280000.0
Net Income,187375000.0,17509000.0,121521000.0,88280000.0
Net Income Including Noncontrolling Interests,187375000.0,17509000.0,121521000.0,88280000.0
Net Income Continuous Operations,187376000.0,17509000.0,121521000.0,88281000.0
Tax Provision,27179000.0,25775000.0,20671000.0,22758000.0
Pretax Income,214555000.0,43284000.0,142192000.0,111039000.0
Other Income Expense,77359000.0,-132836000.0,-35497000.0,-92644000.0
Other Non Operating Income Expenses,1867000.0,925000.0,1235000.0,1221000.0
Gain On Sale Of Security,75492000.0,-133761000.0,-36732000.0,-93865000.0
Net Non Operating Interest Income Expense,-67818000.0,-18547000.0,-15523000.0,-15975000.0
Interest Expense Non Operating,82926000.0,30517000.0,24365000.0,23388000.0
Interest Income Non Operating,15108000.0,11970000.0,8842000.0,7413000.0
Operating Income,205012000.0,194668000.0,193214000.0,219657000.0
Operating Expense,171171000.0,166905000.0,172537000.0,173391000.0
Other Operating Expenses,87719000.0,110309000.0,111131000.0,75401000.0
Selling General And Administration,83452000.0,56596000.0,61406000.0,97990000.0
Selling And Marketing Expense,54058000.0,56596000.0,61406000.0,61498000.0
General And Administrative Expense,29394000.0,31158000.0,33228000.0,36492000.0
Other Gand A,29394000.0,31158000.0,33228000.0,36492000.0
Gross Profit,376183000.0,361573000.0,365751000.0,393048000.0
Cost Of Revenue,491527000.0,447617000.0,501514000.0,497564000.0
Total Revenue,867710000.0,809190000.0,867265000.0,890612000.0
Operating Revenue,856737000.0,797669000.0,857270000.0,879386000.0
