,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-59465483.234714,20936555.891239,28260869.565217,-16685714.285714
Tax Rate For Calcs,0.271532,0.21148,0.282609,0.260714
Normalized EBITDA,1936000000.0,2994000000.0,185000000.0,1976000000.0
Total Unusual Items,-219000000.0,99000000.0,100000000.0,-64000000.0
Total Unusual Items Excluding Goodwill,-219000000.0,99000000.0,100000000.0,-64000000.0
Net Income From Continuing Operation Net Minority Interest,1108000000.0,1827000000.0,-363000000.0,828000000.0
Reconciled Depreciation,,573000000.0,564000000.0,554000000.0
Reconciled Cost Of Revenue,11888000000.0,11312000000.0,11901000000.0,10815000000.0
EBITDA,1717000000.0,3093000000.0,285000000.0,1912000000.0
EBIT,1717000000.0,2520000000.0,-279000000.0,1358000000.0
Net Interest Income,-196000000.0,-203000000.0,-227000000.0,-238000000.0
Interest Expense,196000000.0,203000000.0,227000000.0,238000000.0
Normalized Income,1267534516.765286,1748936555.891239,-434739130.434783,875314285.714286
Net Income From Continuing And Discontinued Operation,1108000000.0,1827000000.0,-363000000.0,828000000.0
Total Expenses,13565000000.0,13148000000.0,13036000000.0,12083000000.0
Rent Expense Supplemental,810000000.0,749000000.0,716000000.0,698000000.0
Total Operating Income As Reported,1984000000.0,2491000000.0,-277000000.0,1470000000.0
Diluted Average Shares,644000000.0,642000000.0,639000000.0,641000000.0
Basic Average Shares,639000000.0,639000000.0,639000000.0,638000000.0
Diluted EPS,1.72,2.84,-0.57,1.29
Basic EPS,1.73,2.86,-0.57,1.3
Diluted NI Availto Com Stockholders,1108000000.0,1827000000.0,-363000000.0,828000000.0
Net Income Common Stockholders,1108000000.0,1827000000.0,-363000000.0,828000000.0
Net Income,1108000000.0,1827000000.0,-363000000.0,828000000.0
Net Income Including Noncontrolling Interests,1108000000.0,1827000000.0,-363000000.0,828000000.0
Net Income Continuous Operations,1108000000.0,1827000000.0,-363000000.0,828000000.0
Tax Provision,413000000.0,490000000.0,-143000000.0,292000000.0
Pretax Income,1521000000.0,2317000000.0,-506000000.0,1120000000.0
Other Income Expense,-206000000.0,90000000.0,-2000000.0,6000000.0
Other Non Operating Income Expenses,13000000.0,-9000000.0,-102000000.0,70000000.0
Special Income Charges,-13000000.0,-29000000.0,-22000000.0,106000000.0
Other Special Charges,13000000.0,29000000.0,22000000.0,0.0
Write Off,,,,12000000.0
Restructuring And Mergern Acquisition,,,,-118000000.0
Gain On Sale Of Security,-206000000.0,128000000.0,122000000.0,-170000000.0
Net Non Operating Interest Income Expense,-196000000.0,-203000000.0,-227000000.0,-238000000.0
Interest Expense Non Operating,196000000.0,203000000.0,227000000.0,238000000.0
Operating Income,1923000000.0,2430000000.0,-277000000.0,1352000000.0
Operating Expense,1677000000.0,1836000000.0,1135000000.0,1268000000.0
Other Operating Expenses,581000000.0,529000000.0,563000000.0,489000000.0
Selling General And Administration,1096000000.0,1307000000.0,572000000.0,779000000.0
Selling And Marketing Expense,618000000.0,651000000.0,500000000.0,507000000.0
General And Administrative Expense,478000000.0,656000000.0,72000000.0,272000000.0
Salaries And Wages,478000000.0,656000000.0,72000000.0,272000000.0
Gross Profit,3600000000.0,4266000000.0,858000000.0,2620000000.0
Cost Of Revenue,11888000000.0,11312000000.0,11901000000.0,10815000000.0
Total Revenue,15488000000.0,15578000000.0,12759000000.0,13435000000.0
Operating Revenue,13273000000.0,13377000000.0,10620000000.0,11137000000.0
