,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,27200000.0
Tax Rate For Calcs,0.193418,0.176249,0.20566,0.4
Normalized EBITDA,2194000000.0,1767000000.0,195000000.0,971000000.0
Total Unusual Items,,,,224000000.0
Total Unusual Items Excluding Goodwill,,,,68000000.0
Net Income From Continuing Operation Net Minority Interest,1191000000.0,874000000.0,-423000000.0,307000000.0
Reconciled Depreciation,563000000.0,562000000.0,592000000.0,735000000.0
Reconciled Cost Of Revenue,8081000000.0,7556000000.0,6714000000.0,7052000000.0
EBITDA,2194000000.0,1767000000.0,195000000.0,1195000000.0
EBIT,1631000000.0,1205000000.0,-397000000.0,460000000.0
Net Interest Income,48000000.0,-20000000.0,-226000000.0,-340000000.0
Interest Expense,142000000.0,144000000.0,133000000.0,154000000.0
Interest Income,66000000.0,62000000.0,43000000.0,39000000.0
Normalized Income,1191000000.0,874000000.0,-423000000.0,266200000.0
Net Income From Continuing And Discontinued Operation,1192000000.0,881000000.0,-467000000.0,307000000.0
Total Expenses,8962000000.0,8303000000.0,7303000000.0,8437000000.0
Total Operating Income As Reported,1313000000.0,1086000000.0,-286000000.0,390000000.0
Diluted Average Shares,1195485644.0,1334848485.0,1195485644.0,1195485644.0
Basic Average Shares,1195485644.0,1190540541.0,1195485644.0,1195485644.0
Diluted EPS,1.0,0.66,-0.39,0.26
Basic EPS,1.0,0.74,-0.39,0.26
Diluted NI Availto Com Stockholders,1192000000.0,881000000.0,-467000000.0,307000000.0
Net Income Common Stockholders,1192000000.0,881000000.0,-467000000.0,307000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1192000000.0,881000000.0,-467000000.0,307000000.0
Minority Interests,-10000000.0,0.0,-2000000.0,-5000000.0
Net Income Including Noncontrolling Interests,1202000000.0,881000000.0,-465000000.0,312000000.0
Net Income Discontinuous Operations,1000000.0,7000000.0,-44000000.0,
Net Income Continuous Operations,1201000000.0,874000000.0,-421000000.0,312000000.0
Tax Provision,288000000.0,187000000.0,-109000000.0,-6000000.0
Pretax Income,1489000000.0,1061000000.0,-530000000.0,306000000.0
Special Income Charges,,,,-236000000.0
Write Off,,,,56000000.0
Net Non Operating Interest Income Expense,48000000.0,-20000000.0,-226000000.0,-340000000.0
Total Other Finance Cost,-124000000.0,-62000000.0,136000000.0,
Interest Expense Non Operating,142000000.0,144000000.0,133000000.0,154000000.0
Interest Income Non Operating,66000000.0,62000000.0,43000000.0,39000000.0
Operating Income,1313000000.0,1086000000.0,-286000000.0,440000000.0
Operating Expense,881000000.0,747000000.0,589000000.0,1385000000.0
Other Operating Expenses,1297000000.0,1347000000.0,1141000000.0,-2463000000.0
Gross Profit,2194000000.0,1833000000.0,303000000.0,1825000000.0
Cost Of Revenue,8081000000.0,7556000000.0,6714000000.0,7052000000.0
Total Revenue,10275000000.0,9389000000.0,7017000000.0,8877000000.0
Operating Revenue,10275000000.0,9389000000.0,7017000000.0,8877000000.0
